,Province,Canton,District,lat,long
96,GUANACASTE,SANTA CRUZ,TEMPATE,10.2609675,-85.5843632
97,GUANACASTE,NICOYA,NICOYA,10.1445678,-85.4530295
98,GUANACASTE,BAGACES,RIO NARANJO,10.6812129,-85.0895694
99,SAN JOSE,DESAMPARADOS,ROSARIO,9.8969706,-84.0616709
100,ALAJUELA,PALMARES,CANDELARIA,10.0311465,-84.41989269999999
101,ALAJUELA,SAN RAMON,ALFARO,10.078698,-84.509827
102,ALAJUELA,PALMARES,SANTIAGO,10.060727,-84.4378495
103,SAN JOSE,TIBAS,CINCO ESQUINAS,9.9466936,-84.08214199999999
104,ALAJUELA,ATENAS,SAN ISIDRO,9.9951563,-84.4330214
105,SAN JOSE,DOTA,COPEY,9.5586413,-83.91089680000002
106,SAN JOSE,PEREZ ZELEDON,GENERAL,9.35473,-83.63484299999999
107,CARTAGO,JIMENEZ,PEJIBAYE,10.1672961,-83.7730237
108,SAN JOSE,TURRUBARES,SAN JUAN DE MATA,9.9280694,-84.0907246
109,LIMON,POCOCI,JIMENEZ,10.1672961,-83.7730237
110,ALAJUELA,ATENAS,ATENAS,9.9784936,-84.3738394
111,ALAJUELA,ALAJUELA,SABANILLA,10.0764186,-84.21602279999999
112,SAN JOSE,ASERRI,DESCONOCIDO,9.8641706,-84.0933652
113,PUNTARENAS,ESPARZA,ESPIRITU SANTO,9.9906919,-84.667374
114,SAN JOSE,ESCAZU,DESCONOCIDO,9.920695,-84.14615189999999
115,LIMON,MATINA,BATAN,10.0836077,-83.33886079999999
116,LIMON,GUACIMO,MERECEDES,10.1838992,-83.62154020000001
117,PUNTARENAS,BUENOS AIRES,PILAS,9.1672952,-83.3308421
118,ALAJUELA,SAN RAMON,PIEDADES NORTE,10.1344107,-84.5104212
119,ALAJUELA,SAN CARLOS,FLORENCIA,10.4150486,-84.5012435
120,ALAJUELA,GUATUSO,KATIRA,10.7416183,-84.91410119999999
121,CARTAGO,PARAISO,OROSI,9.839214,-83.8664076
122,PUNTARENAS,ESPARZA,SAN RAFAEL,9.9826962,-84.60735369999999
123,PUNTARENAS,PUNTARENAS,EL ROBLE,9.981606099999999,-84.7350701
124,CARTAGO,EL GUARCO,DESCONOCIDO,9.8448839,-83.9453168
125,SAN JOSE,SAN JOSE,HOSPITAL,9.9280694,-84.0907246
126,SAN JOSE,PEREZ ZELEDON,BARU,9.35473,-83.63484299999999
127,PUNTARENAS,BUENOS AIRES,POTRERO GRANDE,9.0146122,-83.17695859999999
128,LIMON,SIQUIRRES,DESCONOCIDO,10.0981388,-83.5096859
129,LIMON,MATINA,CARRANDI,10.0770702,-83.29073389999999
130,LIMON,LIMON,LIMON,9.9913106,-83.04150779999999
131,ALAJUELA,NARANJO,SAN JOSE,10.1563794,-84.406761
132,CARTAGO,CARTAGO,SAN FRANCISCO,9.8363706,-83.9158624
133,HEREDIA,SANTA BARBARA,SANTA BARBARA,10.0359937,-84.15742589999999
134,PUNTARENAS,PUNTARENAS,PAQUERA,9.981291599999999,-84.8087797
135,CARTAGO,LA UNION,TRES RIOS,9.907676799999999,-83.9878311
136,SAN JOSE,TARRAZU,SAN CARLOS,9.6174982,-84.1118458
137,LIMON,TALAMANCA,CAHUITA,9.7347856,-82.84521459999999
138,ALAJUELA,POAS,CARRILLOS,10.0341266,-84.2673851
139,ALAJUELA,SAN RAMON,SAN JUAN,10.1078567,-84.4651744
140,LIMON,TALAMANCA,SIXAOLA,9.5022439,-82.61415389999999
141,SAN JOSE,MORAVIA,SAN JERONIMO,10.0322142,-84.00087719999999
142,HEREDIA,BELEN,LA RIBERA,9.9924027,-84.180458
143,PUNTARENAS,PUNTARENAS,PUNTARENAS,9.9778439,-84.82942109999999
144,SAN JOSE,SAN JOSE,HATILLO,9.922704999999999,-84.1076259
145,PUNTARENAS,OSA,BAHIA BALLENA,9.1689176,-83.7305392
146,HEREDIA,HEREDIA,ULLOA,9.9789823,-84.1382368
147,LIMON,DESCONOCIDO,DESCONOCIDO,9.989639799999999,-83.03324169999999
148,PUNTARENAS,CORREDORES,CORREDOR,8.648997,-82.9436183
149,HEREDIA,BARVA,BARVA,10.0190909,-84.1237232
150,GUANACASTE,LA CRUZ,SANTA CECILIA,11.07213,-85.63354439999999
151,CARTAGO,CARTAGO,LLANO GRANDE,9.9412609,-83.910782
152,HEREDIA,SAN ISIDRO,SAN JOSE,10.0182399,-84.055129
153,SAN JOSE,TIBAS,ANSELMO LLORENTE,9.9569277,-84.07091679999999
154,HEREDIA,SAN RAFAEL,CONCEPCION,10.0144716,-84.0986459
155,SAN JOSE,SAN JOSE,URUCA,9.959179299999999,-84.1197643
156,SAN JOSE,VASQUEZ DE CORONADO,DULCE NOMBRE DE JESUS,9.9929583,-83.985008
157,ALAJUELA,OROTINA,MASTATE,9.9120855,-84.54449699999999
158,SAN JOSE,VASQUEZ DE CORONADO,PATALILLO,9.9755112,-84.020708
159,GUANACASTE,BAGACES,FORTUNA,10.6759352,-85.2023569
160,SAN JOSE,CURRIDABAT,CURRIDABAT,9.914550499999999,-84.0386633
161,GUANACASTE,NANDAYURE,SAN PABLO,9.9903778,-85.2521952
162,SAN JOSE,GOICOECHEA,RANCHO REDONDO,9.961952,-83.950935
163,CARTAGO,CARTAGO,DESCONOCIDO,9.8638091,-83.91619349999999
164,SAN JOSE,DOTA,DESCONOCIDO,9.5586413,-83.91089680000002
165,SAN JOSE,DESAMPARADOS,LOS GUIDO,9.8688951,-84.0458176
166,CARTAGO,TURRIALBA,PERALTA,9.9679634,-83.6122266
167,ALAJUELA,SARCHÃ,RODRIGUEZ,10.10127,-84.35293
168,GUANACASTE,CARRILLO,SARDINAL,10.5174123,-85.64747709999999
169,ALAJUELA,UPALA,DOS RIOS,10.8959089,-85.381434
170,ALAJUELA,SAN RAMON,ZAPOTAL,10.159274,-84.6522449
171,ALAJUELA,POAS,SAN RAFAEL,10.0917258,-84.25487790000001
172,SAN JOSE,ASERRI,SAN GABRIEL,9.7856577,-84.10784319999999
173,SAN JOSE,VASQUEZ DE CORONADO,DESCONOCIDO,9.9929583,-83.985008
174,SAN JOSE,DESAMPARADOS,DESAMPARADOS,9.8969706,-84.0616709
175,CARTAGO,ALVARADO,CAPELLADES,9.9218203,-83.7855627
176,SAN JOSE,DESAMPARADOS,SAN RAFAEL ARRIBA,9.876801799999999,-84.0737352
177,ALAJUELA,NARANJO,SAN MIGUEL,10.0738499,-84.3969863
178,SAN JOSE,ACOSTA,SABANILLAS,9.8000005,-84.1580225
179,ALAJUELA,LOS CHILES,EL AMPARO,10.85,-84.7
180,PUNTARENAS,PUNTARENAS,BARRANCA,10.0107286,-84.7054306
181,SAN JOSE,SAN JOSE,CARMEN,9.9359945,-84.0669545
182,SAN JOSE,SAN JOSE,SAN FRANCISCO DE DOS RIOS,9.9108836,-84.0576196
183,PUNTARENAS,MONTES DE ORO,MIRAMAR,10.0832988,-84.729334
184,HEREDIA,SAN PABLO,RINCON DE SABANILLA,9.9867286,-84.10392619999999
185,LIMON,POCOCI,RITA,10.4466974,-83.7836403
186,GUANACASTE,TILARAN,TIERRAS MORENAS,10.5707284,-85.0246453
187,SAN JOSE,LEON CORTES,SAN ANTONIO,9.719422999999999,-84.05882299999999
188,ALAJUELA,NARANJO,DESCONOCIDO,10.0974116,-84.3831166
189,LIMON,POCOCI,LA COLONIA,10.2447363,-83.8037444
190,SAN JOSE,TIBAS,SAN JUAN,9.964000000000002,-84.0775201
191,LIMON,TALAMANCA,TELIRE,9.560164,-83.307343
192,PUNTARENAS,GOLFITO,GUAYCARA,8.6040618,-83.1133792
193,CARTAGO,TURRIALBA,DESCONOCIDO,9.9067054,-83.6800512
194,SAN JOSE,GOICOECHEA,GUADALUPE,9.946603099999999,-84.0536463
195,ALAJUELA,OROTINA,CEIBA,9.9018832,-84.60211819999999
196,SAN JOSE,MONTES DE OCA,SAN PEDRO,9.9301517,-84.0511025
197,PUNTARENAS,GOLFITO,PAVON,8.6040618,-83.1133792
198,LIMON,MATINA,MATINA,10.0770702,-83.29073389999999
199,ALAJUELA,NARANJO,PALMITOS,10.0939183,-84.4238316
200,CARTAGO,TURRIALBA,LA ISABEL,9.9258087,-83.66144000000001
201,SAN JOSE,ESCAZU,ESCAZU,9.920695,-84.14615189999999
202,GUANACASTE,SANTA CRUZ,VEINTISIETE DE ABRIL,10.2471765,-85.7124267
203,ALAJUELA,UPALA,CANALETE,10.8358469,-85.0473773
204,SAN JOSE,PEREZ ZELEDON,SAN ISIDRO DE EL GENERAL,9.366023499999999,-83.6961197
205,ALAJUELA,ATENAS,CONCEPCION,9.949559299999999,-84.3699767
206,SAN JOSE,ESCAZU,SAN RAFAEL,9.9346483,-84.14878999999999
207,HEREDIA,FLORES,LLORENTE,9.9984115,-84.1594676
208,SAN JOSE,MONTES DE OCA,DESCONOCIDO,9.940807699999999,-84.02467329999999
209,ALAJUELA,PALMARES,ZARAGOZA,10.060727,-84.4378495
210,ALAJUELA,SAN RAMON,SAN LORENZO,10.2740379,-84.530014
211,SAN JOSE,LEON CORTES,LLANO BONITO,9.7542888,-84.2048226
212,SAN JOSE,MORA,TABARCIA,9.9323988,-84.080052
213,PUNTARENAS,ESPARZA,SAN JERONIMO,10.036432,-84.6308899
