,Province,Canton,District,lat,long
366,LIMON,SIQUIRRES,CAIRO,10.0981388,-83.5096859
367,LIMON,SIQUIRRES,REVENTAZÃN,10.2440761,83.3873659
368,GUANACASTE,HOJANCHA,PUERTO CARRILLO,9.868858,-85.48138349999999
369,ALAJUELA,GRECIA,RIO CUARTO,10.3415389,-84.21602279999999
370,SAN JOSE,DOTA,JARDIN,9.714281,-83.96946
371,SAN JOSE,SAN JOSE,PAVAS,9.945407099999999,-84.12768179999999
372,ALAJUELA,NARANJO,SAN JERONIMO,10.1068342,-84.3634056
373,ALAJUELA,GUATUSO,DESCONOCIDO,10.7118987,-84.8150781
374,ALAJUELA,UPALA,BIJAGUA,10.7312909,-85.0584152
375,GUANACASTE,SANTA CRUZ,SANTA CRUZ,10.2609675,-85.5843632
376,SAN JOSE,CURRIDABAT,DESCONOCIDO,9.914550499999999,-84.0386633
377,ALAJUELA,SAN CARLOS,TIGRA,10.342772,-84.581879
378,ALAJUELA,GRECIA,SAN JOSE,10.0731003,-84.3122803
379,SAN JOSE,SANTA ANA,SANTA ANA,9.9312697,-84.1820735
380,PUNTARENAS,OSA,DRAKE,9.2169531,-83.33618799999999
381,PUNTARENAS,QUEPOS,DESCONOCIDO,9.431868099999999,-84.16190759999999
382,ALAJUELA,OROTINA,OROTINA,9.9120206,-84.5194688
383,SAN JOSE,MONTES DE OCA,SABANILLA,9.9450974,-84.03128170000001
384,HEREDIA,SAN RAFAEL,SANTIAGO,10.0083127,-84.1045862
385,HEREDIA,HEREDIA,MERCEDES,9.9981413,-84.1197643
386,ALAJUELA,SARCHÃ,SAN PEDRO,9.92829,-84.05074
387,PUNTARENAS,GARABITO,DESCONOCIDO,9.2169531,-83.33618799999999
388,ALAJUELA,SAN CARLOS,PITAL,10.4531184,-84.27791549999999
389,GUANACASTE,DESCONOCIDO,DESCONOCIDO,10.6267399,-85.44367059999999
390,LIMON,TALAMANCA,DESCONOCIDO,9.6540146,-82.75494119999999
391,HEREDIA,SARAPIQUI,CURE?A,10.4539873,-84.01938609999999
392,PUNTARENAS,MONTES DE ORO,UNION,10.0529075,-84.7289442
393,ALAJUELA,SAN CARLOS,BUENAVISTA,10.2752245,-84.4607091
394,ALAJUELA,DESCONOCIDO,DESCONOCIDO,10.0159394,-84.21417009999999
395,GUANACASTE,LA CRUZ,LA CRUZ,11.0708272,-85.6306396
396,GUANACASTE,NICOYA,MANSION,10.1001577,-85.37175169999999
397,PUNTARENAS,OSA,DESCONOCIDO,8.560906,-83.46435509999999
398,HEREDIA,SAN ISIDRO,CONCEPCION,10.0182399,-84.055129
399,CARTAGO,CARTAGO,CARMEN,9.8776546,-83.9135452
400,SAN JOSE,CURRIDABAT,GRANADILLA,9.9295888,-84.01938609999999
401,SAN JOSE,DESAMPARADOS,DAMAS,9.8925327,-84.0499677
402,ALAJUELA,ZARCERO,TAPEZCO,10.222073,-84.4060669
403,PUNTARENAS,PUNTARENAS,DESCONOCIDO,9.9778439,-84.82942109999999
404,ALAJUELA,SARCHÃ,DESCONOCIDO,null,null
405,GUANACASTE,NANDAYURE,ZAPOTAL,9.9903778,-85.2521952
406,SAN JOSE,PURISCAL,BARBACOAS,9.858405,-84.34893
407,PUNTARENAS,ESPARZA,SAN JUAN GRANDE,9.9906919,-84.667374
408,LIMON,SIQUIRRES,ALEGRIA,10.0874521,-83.60424239999999
409,SAN JOSE,DESAMPARADOS,FRAILES,9.7510245,-84.0550659
410,PUNTARENAS,PUNTARENAS,MONTE VERDE,10.2749682,-84.8255097
411,PUNTARENAS,DESCONOCIDO,DESCONOCIDO,9.9778439,-84.82942109999999
412,ALAJUELA,SAN RAMON,DESCONOCIDO,10.0910284,-84.4703933
413,SAN JOSE,MORA,JARIS,9.8702566,-84.2858121
414,SAN JOSE,ACOSTA,CANGREJAL,9.764662999999999,-84.22011599999999
415,SAN JOSE,DESAMPARADOS,SAN MIGUEL,9.8714498,-84.0603563
416,SAN JOSE,PURISCAL,CANDELARITA,9.7957618,-84.3387577
417,GUANACASTE,CANAS,CANAS,10.4274414,-85.09346239999999
418,LIMON,POCOCI,COLORADO,10.6901193,-83.63484299999999
419,ALAJUELA,NARANJO,ROSARIO,10.048253,-84.380478
420,SAN JOSE,TARRAZU,SAN MARCOS,9.6651293,-84.0213754
421,SAN JOSE,PURISCAL,DESAMPARADITOS,9.878428999999999,-84.33991189999999
422,SAN JOSE,DESAMPARADOS,DESCONOCIDO,9.8969706,-84.0616709
423,SAN JOSE,CURRIDABAT,TIRRASES,9.9012344,-84.0261245
424,PUNTARENAS,PUNTARENAS,ARANCIBIA,10.233333,-84.7
425,ALAJUELA,ATENAS,MERCEDES,9.9856835,-84.4013184
426,GUANACASTE,SANTA CRUZ,DESCONOCIDO,10.2609675,-85.5843632
427,SAN JOSE,ASERRI,VUELTA DE JORCO,9.8641706,-84.0933652
428,LIMON,POCOCI,GUAPILES,10.2136788,-83.7890894
429,HEREDIA,FLORES,SAN JOAQUIN,10.0044907,-84.16086059999999
430,SAN JOSE,GOICOECHEA,MATA PLATANO,9.9517808,-84.0219991
431,CARTAGO,LA UNION,DESCONOCIDO,9.8638091,-83.91619349999999
432,ALAJUELA,ZARCERO,GUADALUPE,10.1822452,-84.4100442
433,SAN JOSE,DESAMPARADOS,SAN RAFAEL ABAJO,9.895975199999999,-84.0841227
434,ALAJUELA,ALAJUELA,TAMBOR,10.0365029,-84.24368489999999
435,ALAJUELA,ALAJUELA,ALAJUELA,10.0159394,-84.21417009999999
436,ALAJUELA,GRECIA,DESCONOCIDO,10.0731003,-84.3122803
437,GUANACASTE,NICOYA,SAMARA,9.8820222,-85.5290361
438,SAN JOSE,VASQUEZ DE CORONADO,SAN ISIDRO,9.9739072,-84.0088103
439,SAN JOSE,TIBAS,COLIMA,9.953057699999999,-84.0880839
440,SAN JOSE,PURISCAL,DESCONOCIDO,9.832137,-84.3331694
441,ALAJUELA,PALMARES,BUENOS AIRES,10.0704225,-84.4356468
442,SAN JOSE,VASQUEZ DE CORONADO,CASCAJAL,10.006598,-83.958153
443,PUNTARENAS,GARABITO,JACO,9.6202396,-84.6217487
444,ALAJUELA,ATENAS,JESUS,9.9701404,-84.4356468
445,ALAJUELA,SARCHÃ,SARCHI NORTE,10.09124800,-84.35044100
446,CARTAGO,TURRIALBA,TURRIALBA,9.9067054,-83.6800512
447,GUANACASTE,NICOYA,QUEBRADA HONDA,10.1856733,-85.2968171
448,CARTAGO,PARAISO,DESCONOCIDO,9.839214,-83.8664076
449,SAN JOSE,VASQUEZ DE CORONADO,SAN RAFAEL,9.9929583,-83.985008
450,SAN JOSE,ACOSTA,SAN IGNACIO,9.7993083,-84.1623211
451,ALAJUELA,ALAJUELA,SAN JOSE,10.0170529,-84.24631880000001
452,CARTAGO,ALVARADO,CERVANTES,9.916195,-83.8095774
453,SAN JOSE,ALAJUELITA,ALAJUELITA,9.901608,-84.09947
454,GUANACASTE,LIBERIA,DESCONOCIDO,10.6345964,-85.4406747
455,HEREDIA,SARAPIQUI,HORQUETAS,10.3352857,-83.9506104
456,HEREDIA,SANTA BARBARA,PURABA,10.0371501,-84.15833789999999
457,PUNTARENAS,BUENOS AIRES,DESCONOCIDO,9.1672952,-83.3308421
458,HEREDIA,HEREDIA,HEREDIA,9.9981413,-84.1197643
459,GUANACASTE,NICOYA,BELEN DE NOSARITA,10.031509,-85.5039271
460,SAN JOSE,PEREZ ZELEDON,DANIEL FLORES,9.329197899999999,-83.6734049
461,PUNTARENAS,OSA,PALMAR,8.560906,-83.46435509999999
462,GUANACASTE,HOJANCHA,HOJANCHA,10.057561,-85.41950109999999
463,ALAJUELA,ALAJUELA,RIO SEGUNDO,9.9994338,-84.1936203
464,SAN JOSE,PURISCAL,SAN ANTONIO,9.857633,-84.300659
465,GUANACASTE,CARRILLO,DESCONOCIDO,9.868858,-85.48138349999999
466,GUANACASTE,CANAS,DESCONOCIDO,10.4274414,-85.09346239999999
467,SAN JOSE,GOICOECHEA,CALLE BLANCOS,9.9471209,-84.0669545
468,HEREDIA,SANTO DOMINGO,SANTA ROSA,9.969937999999999,-84.0986459
469,GUANACASTE,NICOYA,DESCONOCIDO,10.1445678,-85.4530295
470,SAN JOSE,ASERRI,LA LEGUA,9.7366951,-84.10982709999999
471,SAN JOSE,PEREZ ZELEDON,RIVAS,9.4648291,-83.6135572
472,SAN JOSE,DESAMPARADOS,SAN JUAN DE DIOS,9.879435899999999,-84.0804177
473,SAN JOSE,MORA,DESCONOCIDO,9.9323988,-84.080052
474,CARTAGO,PARAISO,LLANOS DE SANTA LUCIA,9.839214,-83.8664076
475,ALAJUELA,NARANJO,SAN JUAN,10.117091,-84.39887999999999
476,ALAJUELA,GUATUSO,SAN RAFAEL,10.6705781,-84.8209461
477,HEREDIA,SANTO DOMINGO,SANTO TOMAS,9.9806958,-84.0775201
478,SAN JOSE,ASERRI,MONTERRY,9.756197,-84.109993
479,GUANACASTE,HOJANCHA,HUACAS,10.057561,-85.41950109999999
480,ALAJUELA,SAN CARLOS,QUESADA,10.3271511,-84.430677
481,ALAJUELA,SAN CARLOS,DESCONOCIDO,10.6590277,-84.3542049
482,GUANACASTE,NANDAYURE,DESCONOCIDO,9.9903778,-85.2521952
483,GUANACASTE,LIBERIA,MAYORGA,10.6345964,-85.4406747
484,CARTAGO,OREAMUNO,CIPRESES,9.866349,-83.902951
485,PUNTARENAS,BUENOS AIRES,VOLCAN,9.1672952,-83.3308421
486,ALAJUELA,GRECIA,SAN ROQUE,10.094802,-84.3042517
487,GUANACASTE,BAGACES,BAGACES,10.5251574,-85.254136
488,GUANACASTE,NANDAYURE,BEJUCO,9.8514292,-85.3288713
489,ALAJUELA,PALMARES,GRANJA,10.0517886,-84.4476419
490,CARTAGO,ALVARADO,PACAYAS,9.916195,-83.8095774
491,CARTAGO,EL GUARCO,EL TEJAR,9.841611,-83.946045
492,ALAJUELA,POAS,SABANA REDONDA,10.1168097,-84.2147052
493,HEREDIA,SANTA BARBARA,SAN JUAN,10.0249031,-84.1595215
494,HEREDIA,BARVA,SAN PABLO,10.0411817,-84.1131656
495,SAN JOSE,LEON CORTES,SANTA CRUZ,9.732596299999999,-84.03260329999999
496,GUANACASTE,SANTA CRUZ,TAMARINDO,10.2609675,-85.5843632
497,ALAJUELA,GUATUSO,COTE,10.7118987,-84.8150781
498,LIMON,GUACIMO,DUACARI,10.3064966,-83.6514634
499,PUNTARENAS,PUNTARENAS,GUACIMAL,10.210155,-84.845894
500,ALAJUELA,SAN RAMON,PIEDADES SUR,10.1153205,-84.5366351
501,ALAJUELA,SAN MATEO,DESMONTE,9.9596128,-84.47239
502,HEREDIA,BELEN,ASUNCION,9.9797047,-84.1678982
503,ALAJUELA,SAN RAMON,SAN ISIDRO,9.9951563,-84.4330214
504,ALAJUELA,ALAJUELA,DESCONOCIDO,10.0159394,-84.21417009999999
505,CARTAGO,LA UNION,SAN DIEGO,9.900822999999999,-84.0039922
506,SAN JOSE,SAN JOSE,DESCONOCIDO,9.9280694,-84.0907246
507,HEREDIA,HEREDIA,SAN FRANCISCO,9.9981413,-84.1197643
508,PUNTARENAS,COTO BRUS,GUTIERREZ BRAUN,9.2169531,-83.33618799999999
509,ALAJUELA,SAN RAMON,SAN RAFAEL,10.0632425,-84.4673409
510,ALAJUELA,RIO CUARTO,RIO CUARTO,-33.1012597,-64.3199796
511,SAN JOSE,MORAVIA,DESCONOCIDO,10.0101333,-84.01145439999999
512,ALAJUELA,SAN CARLOS,POCOSOL,10.3777384,-84.61128
513,PUNTARENAS,COTO BRUS,AGUA BUENA,8.7403663,-82.947467
514,ALAJUELA,NARANJO,CIRRI SUR,10.1208655,-84.3686625
515,ALAJUELA,ZARCERO,LAGUNA,10.2113681,-84.4020771
516,SAN JOSE,MORA,GUAYABO,9.8587805,-84.26475219999999
517,GUANACASTE,BAGACES,MOGOTE,10.7043447,-85.2230744
518,HEREDIA,SAN RAFAEL,DESCONOCIDO,10.0144716,-84.0986459
519,ALAJUELA,ATENAS,SAN JOSE,10.0169099,-84.4015075
520,PUNTARENAS,CORREDORES,CANOAS,8.551894599999999,-82.95015579999999
521,ALAJUELA,ALAJUELA,SAN ANTONIO,9.9892098,-84.24631880000001
522,PUNTARENAS,BUENOS AIRES,BRUNKA,9.1708283,-83.3357339
523,ALAJUELA,UPALA,DESCONOCIDO,10.8979462,-85.0155499
524,ALAJUELA,PALMARES,PALMARES,10.060727,-84.4378495
525,LIMON,GUACIMO,RIO JIMENEZ,10.24954671501649,-83.60807012625273
526,SAN JOSE,MORA,PICAGRES,9.9053298,-84.34566009999999
527,ALAJUELA,GRECIA,SAN ISIDRO,10.113615,-84.2713342
528,GUANACASTE,HOJANCHA,MONTE ROMO,9.999863399999999,-85.38207950000002
529,DESCONOCIDO,DESCONOCIDO,DESCONOCIDO,9.748916999999999,-83.753428
530,GUANACASTE,SANTA CRUZ,CABO VELAS,10.2617615,-85.5822573
531,CARTAGO,LA UNION,SAN RAFAEL,9.866349,-83.902951
532,CARTAGO,OREAMUNO,DESCONOCIDO,9.866349,-83.902951
533,CARTAGO,CARTAGO,DULCE NOMBRE,9.845632199999999,-83.90957259999999
534,HEREDIA,BELEN,SAN ANTONIO,9.9799635,-84.1853179
535,ALAJUELA,LOS CHILES,SAN JORGE,10.716667,-84.683333
536,ALAJUELA,ZARCERO,ZAPOTE,10.229087,-84.426109
537,SAN JOSE,SANTA ANA,PIEDADES,9.924018,-84.2183555
538,HEREDIA,BARVA,SANTA LUCIA,10.0244733,-84.1131656
539,SAN JOSE,PURISCAL,SAN RAFAEL,9.83915,-84.29052
540,ALAJUELA,SAN MATEO,LABRADOR,9.9397272,-84.6191317
541,HEREDIA,HEREDIA,DESCONOCIDO,9.9981413,-84.1197643
542,ALAJUELA,SAN CARLOS,VENECIA,10.357123,-84.276558
543,PUNTARENAS,GARABITO,TARCOLES,9.7730312,-84.6295991
544,CARTAGO,TURRIALBA,SANTA TERESITA,9.9762562,-83.64614809999999
545,GUANACASTE,LA CRUZ,LA GARITA,11.0865626,-85.54834269999999
546,SAN JOSE,GOICOECHEA,IPIS,9.9649682,-84.0172628
547,HEREDIA,SARAPIQUI,LLANURAS DEL GASPAR,10.4539873,-84.01938609999999
548,LIMON,SIQUIRRES,FLORIDA,10.0924014,-83.5722955
549,HEREDIA,SANTO DOMINGO,TURES,9.9914528,-84.056387
550,HEREDIA,SANTO DOMINGO,SANTO DOMINGO,9.980723399999999,-84.0909289
551,ALAJUELA,SAN CARLOS,AGUAS ZARCAS,10.375813,-84.3357992
552,PUNTARENAS,PUNTARENAS,CHACARITA,9.986682199999999,-84.7707223
553,ALAJUELA,RIO CUARTO,SANTA RITA,10.3415389,-84.21602279999999
554,SAN JOSE,LEON CORTES,DESCONOCIDO,9.9268176,-84.1345761
555,SAN JOSE,PEREZ ZELEDON,PARAMO,9.35473,-83.63484299999999
556,SAN JOSE,PEREZ ZELEDON,LA AMISTAD,9.35473,-83.63484299999999
557,GUANACASTE,LIBERIA,LIBERIA,10.6345964,-85.4406747
558,SAN JOSE,TARRAZU,SAN LORENZO,9.6051515,-84.0378894
559,SAN JOSE,ALAJUELITA,SAN JOSECITO,9.8936301,-84.1062242
560,GUANACASTE,ABANGARES,SAN JUAN,10.216547,-85.5567068
561,HEREDIA,SAN ISIDRO,SAN FRANCISCO,10.0182399,-84.055129
562,ALAJUELA,SAN CARLOS,CUTRIS,10.5376221,-84.4853746
563,GUANACASTE,TILARAN,TRONADORA,10.5011221,-84.9225623
564,SAN JOSE,GOICOECHEA,DESCONOCIDO,9.9546686,-84.02202980000001
565,ALAJUELA,PALMARES,ESQUIPULAS,10.0580044,-84.4269151
566,HEREDIA,SANTO DOMINGO,PARA,10.007182,-84.02955
567,GUANACASTE,TILARAN,SANTA ROSA,10.3133195,-85.7865257
568,PUNTARENAS,QUEPOS,NARANJITO,9.470624899999999,-84.10392619999999
569,CARTAGO,TURRIALBA,LA SUIZA,9.855402999999999,-83.610896
570,SAN JOSE,ALAJUELITA,SAN FELIPE,9.907466999999999,-84.1052462
