,OBJECTID,CATEGORIA,NOMBRE,ABREVIADO,ID_DISTRITO,PROPIETARIO,SHAPE
75,76,CATÓLICA,IGLESIA SAN JOSÉ OBRERO,IGLESIA SAN JOSÉ OBRERO,11,ESTADO,"{'rings': [[[491145.8186999997, 1095486.0810000002], [491150.62289999984, 1095485.8782000002], [491155.8110999996, 1095485.6591999996], [491156.6787999999, 1095485.6226000004], [491161.5321000004, 1095485.6850000005], [491161.9983999999, 1095485.6703999992], [491166.6381999999, 1095485.5244999994], [491166.3448000001, 1095483.5107000005], [491166.2511999998, 1095482.9284000006], [491165.21839999966, 1095476.5010000002], [491164.534, 1095472.2425999995], [491163.20150000043, 1095462.8786999993], [491160.3848000001, 1095463.2032999992], [491157.46609999985, 1095438.9046], [491156.64020000026, 1095438.9041000009], [491152.00320000015, 1095438.1361999996], [491152.94070000015, 1095450.0428999998], [491150.8367999997, 1095446.8871], [491148.49909999967, 1095445.4845000003], [491145.69400000013, 1095444.3156000003], [491134.1793999998, 1095446.0058999993], [491134.39300000016, 1095447.4200999998], [491139.88800000027, 1095483.799900001], [491140.26800000016, 1095486.3154000007], [491145.8186999997, 1095486.0810000002]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
76,77,NO CATÓLICA,CENTRO CRISTIANO CUADRANGULAR,CUADRANGULAR,11,PRIVADO,"{'rings': [[[492456.10890000034, 1095781.9559000004], [492454.55819999985, 1095782.6190000009], [492435.2675000001, 1095790.8684], [492436.6020999998, 1095798.9769000001], [492437.9968999997, 1095807.451199999], [492457.6755999997, 1095797.5650999993], [492458.4007000001, 1095787.3417000007], [492456.10890000034, 1095781.9559000004]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
77,78,NO CATÓLICA,LA IGLESIA DE DIOS,LA IGLESIA DE DIOS,11,PRIVADO,"{'rings': [[[492448.1414999999, 1095569.4503000006], [492447.81960000005, 1095560.6084000003], [492452.7982000001, 1095560.4913999997], [492452.9319000002, 1095552.2951999996], [492452.9567999998, 1095550.7664], [492448.5443000002, 1095550.7664], [492447.93709999975, 1095558.6590999998], [492439.43730000034, 1095558.7806000002], [492437.0087000001, 1095535.3452000003], [492416.45100000035, 1095536.9804999996], [492419.8797000004, 1095550.6415999997], [492422.3161000004, 1095550.2807], [492425.1020999998, 1095570.3633999992], [492448.1414999999, 1095569.4503000006]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
78,79,CATÓLICA,IGLESIA CATÓLICA DE BARRIO EL CARMEN DE PASO ANCHO,IGLESIA BO. CARMEN - PASO ANCHO,11,ESTADO,"{'rings': [[[491472.38069999963, 1096532.3076000009], [491452.42349999957, 1096539.9748], [491456.91920000035, 1096553.0226000007], [491457.43319999985, 1096555.0002999995], [491475.2335000001, 1096548.6379000004], [491474.90809999965, 1096547.6819000002], [491477.86369999964, 1096546.805400001], [491476.0658999998, 1096542.0517999995], [491474.4846999999, 1096537.8707999997], [491473.35840000026, 1096534.8927999996], [491472.38069999963, 1096532.3076000009]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
79,80,CATÓLICA,IGLESIA NUESTRA SENORA MONSERRAT,IGLESIA MONSERRAT,11,ESTADO,"{'rings': [[[489982.1376, 1095285.6371], [489984.70880000014, 1095284.2525999993], [489976.99509999994, 1095270.6052], [489968.68790000025, 1095275.1543000005], [489971.0614, 1095278.5166999996], [489965.72109999973, 1095281.2858000007], [489966.90780000016, 1095283.4614000004], [489956.4249999998, 1095289.988500001], [489960.77639999986, 1095297.5044999998], [489982.1376, 1095285.6371]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
80,81,NO CATÓLICA,COMUNIDAD CRISTIANA UNÁNIMES,UNÁNIMES,5,PRIVADO,"{'rings': [[[494018.86950000003, 1097213.8001000006], [494014.6673999997, 1097208.3710999992], [494012.86149999965, 1097206.0479000006], [494002.00040000025, 1097213.3050999995], [493993.43489999976, 1097219.1872000005], [493998.89719999954, 1097227.5979999993], [494003.09690000024, 1097224.6269000005], [494018.86950000003, 1097213.8001000006]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
81,82,NO CATÓLICA,COMUNIDAD CRISTIANA UNÁNIMES,UNÁNIMES,5,PRIVADO,"{'rings': [[[494003.37569999974, 1097232.7561000008], [494001.19519999996, 1097229.6469], [494007.1484000003, 1097225.2150999997], [494009.53369999956, 1097228.3812000006], [494022.8389999997, 1097218.9286000002], [494018.86950000003, 1097213.8001000006], [494003.09690000024, 1097224.6269000005], [493998.89719999954, 1097227.5979999993], [494002.6032999996, 1097233.3048], [494003.37569999974, 1097232.7561000008]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
82,83,NO CATÓLICA,COMUNIDAD CRISTIANA UNÁNIMES,UNÁNIMES,5,PRIVADO,"{'rings': [[[494045.5701000001, 1097188.9366999995], [494033.6138000004, 1097176.1707000006], [494026.20160000026, 1097182.7765999995], [494019.58970000036, 1097188.6662000008], [494031.5993999997, 1097201.3341000006], [494045.5701000001, 1097188.9366999995]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
83,84,NO CATÓLICA,IGLESIA DE DIOS PENTECOSTAL,DIOS PENTECOSTAL,5,PRIVADO,"{'rings': [[[494279.48280000035, 1096553.6015000008], [494284.25019999966, 1096550.9904999994], [494270.15390000027, 1096525.6185999997], [494265.86319999956, 1096528.0018000007], [494279.48280000035, 1096553.6015000008]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
84,85,NO CATÓLICA,IGLESIA BAUTISTA MISIONERA HEBRON,BAUTISTA MISIONERA HEBRÓN,5,PRIVADO,"{'rings': [[[492857.1747000003, 1097184.3545999993], [492844.9857999999, 1097183.859099999], [492843.8395999996, 1097206.2621], [492873.3672000002, 1097208.1670999993], [492873.89639999997, 1097196.9487999994], [492856.64549999963, 1097195.7846000008], [492857.1747000003, 1097184.3545999993]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
85,86,CATÓLICA,IGLESIA COLEGIO SALECIANO DON BOSCO,IGLESIA COL. SALECIANO DON BOSCO,5,ESTADO,"{'rings': [[[494265.9815999996, 1097382.4923], [494263.2034, 1097381.0371000003], [494259.3669999996, 1097379.9788000006], [494254.86899999995, 1097381.169399999], [494249.60030000005, 1097370.4168999996], [494247.0373999998, 1097372.0611000005], [494244.2592000002, 1097374.4422999993], [494242.35419999994, 1097376.7442000005], [494240.21109999996, 1097379.9986000005], [494239.33800000045, 1097382.7766999993], [494238.38549999986, 1097386.5074000005], [494238.3060999997, 1097389.2854999993], [494238.6235999996, 1097392.1429999992], [494239.02049999963, 1097394.3654999994], [494239.4967, 1097396.2705000006], [494240.68730000034, 1097398.9693], [494242.4336000001, 1097401.6679999996], [494244.49739999976, 1097404.0493], [494247.91050000023, 1097406.9068], [494251.08550000004, 1097408.4943000004], [494254.4985999996, 1097409.7643], [494258.38800000027, 1097410.1612], [494261.7218000004, 1097410.1612], [494265.2143000001, 1097409.3673999999], [494268.7597000003, 1097408.2892000005], [494263.9972000001, 1097399.1611000001], [494266.11390000023, 1097397.5735999998], [494268.36280000024, 1097395.3246], [494269.68570000026, 1097392.8111000005], [494269.5533999996, 1097389.2391999997], [494269.15660000034, 1097386.7256000005], [494267.8337000003, 1097384.2120999992], [494265.9815999996, 1097382.4923]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
86,87,CATÓLICA,IGLESIA DE ZAPOTE - CAPILLA DE VELACIÓN,IGLESIA DE ZAPOTE ,5,ESTADO,"{'rings': [[[493984.8121999996, 1096938.0592999998], [493985.01570000034, 1096941.4131000005], [493985.90780000016, 1096955.3402999993], [494001.0576999998, 1096954.0692999996], [494000.5285, 1096944.5442999993], [493994.4960000003, 1096944.8618], [493994.28440000024, 1096940.5226000007], [493989.4160000002, 1096940.9459000006], [493989.4160000002, 1096937.9825999998], [493984.8121999996, 1096938.0592999998]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
87,88,CATÓLICA,IGLESIA DE ZAPOTE - SALÓN,IGLESIA DE ZAPOTE,5,ESTADO,"{'rings': [[[494182.16889999993, 1096935.2839000002], [494180.4665999999, 1096914.4474999998], [494180.4617999997, 1096914.385399999], [494158.3439999996, 1096916.1280000005], [494160.40770000033, 1096937.8768000007], [494182.16889999993, 1096935.2839000002]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
88,89,CATÓLICA,IGLESIA DE ZAPOTE,IGLESIA DE ZAPOTE,5,ESTADO,"{'rings': [[[494170.4183, 1096897.0156999994], [494157.6847000001, 1096898.0377999991], [494127.6054999996, 1096900.6820999999], [494128.8163999999, 1096915.3342000004], [494171.83779999986, 1096911.8417000007], [494170.4183, 1096897.0156999994]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
89,90,CATÓLICA,IGLESIA DE ZAPOTE - CASA CURAL,IGLESIA DE ZAPOTE ,5,ESTADO,"{'rings': [[[494170.4183, 1096897.0156999994], [494179.0683000004, 1096896.3213], [494178.1978000002, 1096885.0366999991], [494173.4781999998, 1096885.3621999994], [494173.5839999998, 1096888.1138000004], [494168.8214999996, 1096888.5372000001], [494168.60979999974, 1096883.6688], [494173.1606999999, 1096883.3512999993], [494172.5257000001, 1096875.3080000002], [494174.11319999956, 1096875.3080000002], [494173.4781999998, 1096869.9104999993], [494166.5990000004, 1096870.0163000003], [494166.5990000004, 1096871.2862999998], [494163.52979999967, 1096871.4979999997], [494163.63570000045, 1096873.8263000008], [494158.87320000026, 1096874.2496000007], [494159.50820000004, 1096881.1287999991], [494155.2747999998, 1096881.4463], [494156.12150000036, 1096890.5480000004], [494156.75650000013, 1096890.5480000004], [494157.6847000001, 1096898.0377999991], [494170.409, 1096896.9191999994], [494170.4183, 1096897.0156999994]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
90,91,NO CATÓLICA,IGLESIA NO CATÓLICA,IGLESIA NO CATÓLICA,5,PRIVADO,"{'rings': [[[493827.4084999999, 1096515.3925], [493827.0672000004, 1096512.5976], [493826.65079999994, 1096512.9541999996], [493826.2790000001, 1096491.8060999997], [493816.8828999996, 1096492.1260000002], [493818.8671000004, 1096519.6205000002], [493819.49700000044, 1096524.0660999995], [493823.28359999973, 1096519.8161999993], [493827.4084999999, 1096515.3925]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
91,92,NO CATÓLICA,IGLESIA NO CATÓLICA,IGLESIA NO CATÓLICA,5,PRIVADO,"{'rings': [[[493826.3554999996, 1096496.1550999992], [493831.7767000003, 1096496.2698999997], [493833.0920000002, 1096489.7522999998], [493832.90830000024, 1096489.7262999993], [493826.4526000004, 1096489.2039], [493826.233, 1096489.1862000003], [493826.3554999996, 1096496.1550999992]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
92,93,NO CATÓLICA,IGLESIA PENTECOSTAL,IGLESIA PENTECOSTAL,5,PRIVADO,"{'rings': [[[493354.0959000001, 1096761.9551999997], [493352.1372999996, 1096756.0792999994], [493342.6864, 1096760.114600001], [493341.69290000014, 1096757.8422999997], [493333.8920999998, 1096758.0475999992], [493335.59190000035, 1096764.3528000005], [493337.38379999995, 1096770.7880000006], [493342.64609999955, 1096768.0067999996], [493354.0959000001, 1096761.9551999997]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
93,94,NO CATÓLICA,IGLESIA BAUTISTA CHINA,IGLESIA BAUTISTA CHINA,5,PRIVADO,"{'rings': [[[494085.1453999998, 1096506.0470000003], [494079.88960000034, 1096507.2882000003], [494068.4724000003, 1096512.4033000004], [494068.89580000006, 1096513.4616999999], [494043.17819999997, 1096525.3149999995], [494046.56489999965, 1096533.1467000004], [494045.0832000002, 1096533.8874999993], [494048.3640999999, 1096540.3433999997], [494091.22670000046, 1096519.4942000005], [494085.1453999998, 1096506.0470000003]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
94,95,CATÓLICA,CAPILLA DEL ESPÍRITU SANTO,CAPILLA DEL ESPÍRITU SANTO,5,ESTADO,"{'rings': [[[493444.2122999998, 1097721.4035], [493449.57359999977, 1097731.8451000005], [493462.3454, 1097729.0121999998], [493457.5235000001, 1097717.7149999999], [493444.2122999998, 1097721.4035]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
95,96,NO CATÓLICA,IGLESIA DE JESUCRISTO DE LOS SANTOS DE LOS ÚLTIMOS DÍAS,MORMONES,5,PRIVADO,"{'rings': [[[493863.2960000001, 1096880.6755999997], [493859.0865000002, 1096866.9394000005], [493842.7065000003, 1096872.7975999992], [493839.8448000001, 1096864.0760999992], [493837.02859999985, 1096864.7284999993], [493827.2955, 1096867.0668000001], [493823.3702999996, 1096868.9280999992], [493832.4190999996, 1096896.3918999992], [493843.2934999997, 1096892.3438000008], [493841.7576000001, 1096887.7771000005], [493863.2960000001, 1096880.6755999997]], [[493837.3403000003, 1096874.643100001], [493838.2346999999, 1096874.3968000002], [493837.3624, 1096874.7087999992], [493837.3403000003, 1096874.643100001]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
96,97,NO CATÓLICA,ASAMBLEA APOSTÓLICA DE LA FE EN CRISTO JESÚS,FE EN CRISTO JESÚS,5,PRIVADO,"{'rings': [[[493096.04140000045, 1096458.2945000008], [493103.0016999999, 1096487.8780000005], [493105.9896999998, 1096487.2377000004], [493105.3493999997, 1096482.7555999998], [493111.6457000002, 1096481.3683000002], [493112.6062000003, 1096484.6765], [493115.03170000017, 1096484.1886999998], [493106.4283999996, 1096452.7394999992], [493096.6057000002, 1096452.2504999992], [493097.08189999964, 1096458.0449], [493096.04140000045, 1096458.2945000008]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
97,98,CATÓLICA,IGLESIA BARRIO QUESADA DURÁN,IGLESIA BO. QUESADA DURÁN,5,ESTADO,"{'rings': [[[493612.3241999997, 1096722.4408999998], [493620.4274000004, 1096716.4656000007], [493627.6727, 1096710.5883000009], [493627.87959999964, 1096710.9703000002], [493630.23110000044, 1096709.236300001], [493627.0560999997, 1096707.0138000008], [493625.15110000037, 1096707.1724999994], [493624.0398000004, 1096689.1544000003], [493625.0717000002, 1096688.2811999992], [493624.96079999954, 1096685.1214000005], [493622.07969999965, 1096685.3950999994], [493594.99060000014, 1096708.0471], [493595.9441999998, 1096708.9791], [493611.1341000004, 1096723.3125999998], [493612.3241999997, 1096722.4408999998]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
98,99,NO CATÓLICA,IGLESIA CRISTIANA CHINA,IGLESIA CRISTIANA CHINA,5,PRIVADO,"{'rings': [[[493770.6852000002, 1096910.6685000006], [493805.6102999998, 1096905.9059999995], [493802.30480000004, 1096881.6662000008], [493767.3798000002, 1096886.4287999999], [493770.6852000002, 1096910.6685000006]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
99,100,NO CATÓLICA,IGLESIA MOUNT OF OLIVES,MOUNT OF OLIVES,6,PRIVADO,"{'rings': [[[493050.90139999986, 1095906.2665999997], [493050.7037000004, 1095904.9223999996], [493048.1465999996, 1095888.3110000007], [493046.93479999993, 1095880.5975000001], [493041.75009999983, 1095881.3739], [493017.8251, 1095884.9564999994], [493010.7374, 1095886.0118000004], [493005.65749999974, 1095886.7682000007], [493005.97780000046, 1095889.4662999995], [493008.1655000001, 1095906.977499999], [493008.87399999984, 1095912.8836000003], [493031.3164999997, 1095909.3607], [493050.90139999986, 1095906.2665999997]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
100,101,CATÓLICA,IGLESIA SANTA MARTA,IGLESIA SANTA MARTA,6,ESTADO,"{'rings': [[[492486.06070000026, 1096266.3771000002], [492499.0351, 1096269.7460999992], [492499.8953, 1096261.4310999997], [492507.92349999957, 1096262.1479000002], [492509.0705000004, 1096250.9655000009], [492513.08469999954, 1096251.1088999994], [492513.65809999965, 1096245.8045000006], [492500.75549999997, 1096244.9442999996], [492500.4687000001, 1096246.9515000004], [492463.05090000015, 1096243.9407000002], [492461.61730000004, 1096255.5530999992], [492464.4846999999, 1096255.6964999996], [492464.12629999965, 1096260.6425], [492483.62349999975, 1096262.5063000005], [492483.19350000005, 1096264.2267000005], [492486.20409999974, 1096264.3698999994], [492486.06070000026, 1096266.3771000002]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
101,102,CATÓLICA,IGLESIA SANTA MARTA - PASTORAL SOCIAL,IGLESIA SANTA MARTA ,6,ESTADO,"{'rings': [[[492532.4386999998, 1096243.9407000002], [492523.55009999964, 1096244.0841000006], [492523.55009999964, 1096246.3779000007], [492519.82270000037, 1096246.8081], [492520.39609999955, 1096255.9833000004], [492518.81909999996, 1096255.9833000004], [492519.82270000037, 1096267.8823000006], [492518.81909999996, 1096267.8823000006], [492519.39269999973, 1096276.6274999995], [492522.40330000035, 1096276.6274999995], [492522.68989999965, 1096281.9319000002], [492536.8828999996, 1096281.0716999993], [492534.58910000045, 1096250.9655000009], [492535.87930000015, 1096250.8221000005], [492535.30590000004, 1096243.9407000002], [492532.4386999998, 1096243.9407000002]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
102,103,CATÓLICA,IGLESIA SANTA MARTA - SODA,IGLESIA SANTA MARTA ,6,ESTADO,"{'rings': [[[492465.73450000025, 1096227.5914999992], [492452.4883000003, 1096227.7326999996], [492452.02190000005, 1096234.612400001], [492465.9182000002, 1096234.4788000006], [492465.73450000025, 1096227.5914999992]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
103,104,NO CATÓLICA,IGLESIA CRISTIANA,IGLESIA CRISTIANA,6,PRIVADO,"{'rings': [[[492575.2879999997, 1096176.6764000002], [492568.3365000002, 1096155.6711999997], [492558.2008999996, 1096159.2276000008], [492564.5745000001, 1096179.513699999], [492565.0268000001, 1096180.9531999994], [492565.5362999998, 1096180.8676999994], [492575.2879999997, 1096176.6764000002]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
104,105,NO CATÓLICA,IGLESIA BIBLICA NAZARETH - OFICINAS,BÍBLICA NAZARETH ,6,PRIVADO,"{'rings': [[[492909.15500000026, 1096112.1676000003], [492903.5527999997, 1096114.2197999991], [492876.70490000024, 1096128.1265999991], [492881.0856999997, 1096134.5511000007], [492897.57459999993, 1096124.3804000001], [492903.24179999996, 1096121.5647999998], [492910.0108000003, 1096118.1184999999], [492910.85259999987, 1096117.7017], [492909.15500000026, 1096112.1676000003]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
105,106,NO CATÓLICA,IGLESIA BIBLICA NAZARETH,BÍBLICA NAZARETH,6,PRIVADO,"{'rings': [[[492867.5398000004, 1096085.7606000006], [492864.9274000004, 1096087.5662999991], [492853.8905999996, 1096094.9145999998], [492859.6882999996, 1096103.3784999996], [492863.4395000003, 1096108.8549000006], [492873.18989999965, 1096122.9718999993], [492876.2723000003, 1096127.4923], [492876.4967, 1096127.8213], [492879.8672000002, 1096125.5264999997], [492877.9177000001, 1096122.8948], [492897.7045, 1096109.9309999999], [492877.3328999998, 1096079.6173], [492867.5856999997, 1096085.7580999993], [492867.5398000004, 1096085.7606000006]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
106,107,NO CATÓLICA,IGLESIA MISIONERA SHEKINAL,SHEKINAL,6,PRIVADO,"{'rings': [[[492583.4433000004, 1095949.8402999993], [492560.1091, 1095949.3884999994], [492559.47470000014, 1095949.8652999997], [492559.00270000007, 1095949.8375000004], [492541.00769999996, 1095948.7734999992], [492538.9411000004, 1095970.2842999995], [492557.0214999998, 1095971.9919000007], [492556.85670000035, 1095973.833900001], [492556.9600999998, 1095973.8365000002], [492556.89749999996, 1095974.7945000008], [492564.08949999977, 1095975.1954999994], [492564.4693, 1095975.2177000009], [492565.1606999999, 1095969.6854999997], [492557.3224999998, 1095968.6262999997], [492557.67370000016, 1095964.6993000004], [492563.20050000027, 1095965.3037], [492564.00769999996, 1095958.5004999992], [492558.2701000003, 1095958.0300999992], [492558.57909999974, 1095954.5745], [492572.8865, 1095954.4645000007], [492573.6540999999, 1095975.7350999992], [492576.6571000004, 1095975.8926999997], [492580.61369999964, 1095976.1929000001], [492582.0285, 1095963.0165], [492582.63630000036, 1095957.3556999993], [492583.26070000045, 1095951.5423000008], [492583.4433000004, 1095949.8402999993]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
107,108,NO CATÓLICA,IGLESIA NO CATÓLICA,IGLESIA NO CATÓLICA,6,PRIVADO,"{'rings': [[[492673.0645000003, 1095943.6313000005], [492668.6239, 1095930.7007], [492647.3718999997, 1095938.4320999999], [492652.28830000013, 1095952.053200001], [492673.0645000003, 1095943.6313000005]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
108,109,CATÓLICA,IGLESIA DEL NAZARENO,IGLESIA DEL NAZARENO,6,ESTADO,"{'rings': [[[493015.47030000016, 1095149.6504999995], [493016.60649999976, 1095157.3754999992], [493018.051, 1095167.1963999998], [493019.7117999997, 1095178.4878000002], [493030.99760000035, 1095176.8375000004], [493026.6615000004, 1095147.9717999995], [493015.47030000016, 1095149.6504999995]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
109,110,CATÓLICA,IGLESIA SANTA MARÍA,IGLESIA SANTA MARÍA,6,ESTADO,"{'rings': [[[493468.3661000002, 1095178.3977000006], [493465.97190000024, 1095175.6406999994], [493452.11450000014, 1095174.0446000006], [493441.08660000004, 1095183.0409999993], [493443.98869999964, 1095184.8548000008], [493442.5376000004, 1095196.8258999996], [493445.8025000002, 1095197.1886999998], [493446.7456, 1095200.6711999997], [493450.0398000004, 1095199.7950999998], [493454.8598999996, 1095202.0782999992], [493455.0290000001, 1095203.4312999994], [493456.56799999997, 1095203.5167999994], [493456.24990000017, 1095202.3398000002], [493458.64410000015, 1095201.6142999995], [493459.74170000013, 1095205.8892], [493464.26489999983, 1095204.4474], [493465.43740000017, 1095204.0736999996], [493464.01300000027, 1095199.8005], [493467.3503999999, 1095194.794399999], [493470.1798999999, 1095193.8512999993], [493471.6309000002, 1095199.0749999993], [493468.87399999984, 1095199.6554000005], [493469.6933000004, 1095202.7171], [493481.3909, 1095198.9883999992], [493484.98500000034, 1095197.8428000007], [493481.83800000045, 1095187.3564], [493476.2742999997, 1095188.7726000007], [493475.9115000004, 1095187.4667000007], [493468.3661000002, 1095178.3977000006]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
110,111,NO CATÓLICA,IGLESIA CRISTIANA MISIONERA,IGLESIA CRISTIANA MISIONERA,6,PRIVADO,"{'rings': [[[493542.10170000046, 1095664.2233000007], [493541.5201000003, 1095660.8076000009], [493537.40890000015, 1095636.6642000005], [493537.0228000004, 1095634.3965000007], [493527.56630000006, 1095636.1062000003], [493532.3998999996, 1095665.7316999994], [493532.6950000003, 1095665.6731000002], [493542.10170000046, 1095664.2233000007]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
111,112,NO CATÓLICA,FEDERACION ALIANZA EVANGÉLICA COSTARRICENSE,ALIANZA EVANGÉLICA COSTARRICENSE,6,PRIVADO,"{'rings': [[[492920.63719999976, 1095866.4306000005], [492927.1704000002, 1095866.0171000008], [492927.0859000003, 1095859.9470000006], [492931.2226999998, 1095859.6491999999], [492930.90979999956, 1095849.9554999992], [492927.4559000004, 1095850.0789], [492927.4559000004, 1095847.8586], [492923.0153000001, 1095848.1053], [492923.1180999996, 1095851.1312000006], [492919.80819999985, 1095851.3124000002], [492920.63719999976, 1095866.4306000005]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
112,113,NO CATÓLICA,MUNDO DE FE - CENTRO RELIGIOSO NO CATÓLICO,MUNDO DE FE,6,PRIVADO,"{'rings': [[[493123.89690000005, 1095956.0106000006], [493144.43599999975, 1095956.2155000009], [493144.42899999954, 1095949.5075000003], [493144.4353, 1095948.7127], [493144.53199999966, 1095936.5646000002], [493144.5692999996, 1095931.8881], [493144.6140999999, 1095924.216], [493144.76020000037, 1095912.0991999991], [493124.12770000007, 1095914.6604999993], [493121.2786999997, 1095915.1816000007], [493109.8967000004, 1095916.6330999993], [493105.7391999997, 1095917.1696000006], [493092.1211000001, 1095918.9268999994], [493095.4285000004, 1095940.8027999997], [493095.44799999986, 1095940.9317000005], [493096.9961000001, 1095951.1709000003], [493097.41420000046, 1095953.9495], [493098.0563000003, 1095958.2173999995], [493108.6607999997, 1095957.291099999], [493112.7569000004, 1095956.9332999997], [493111.86099999957, 1095934.5344999991], [493121.17569999956, 1095934.0111999996], [493120.96640000027, 1095938.1975999996], [493127.5599999996, 1095938.3023000006], [493127.6646999996, 1095952.0128000006], [493125.6760999998, 1095952.0128000006], [493123.89690000005, 1095954.8386000004], [493123.89690000005, 1095956.0106000006]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
113,114,NO CATÓLICA,SALÓN DEL REINO DE LOS TESTIGOS DE JEHOVÁ,TESTIGOS DE JEHOVÁ,6,PRIVADO,"{'rings': [[[493298.3431000002, 1095835.1360999998], [493283.8514999999, 1095835.2347], [493279.4128999999, 1095835.3184999991], [493279.43989999965, 1095841.5932999998], [493279.4587000003, 1095845.9463], [493279.50930000003, 1095857.6435000002], [493294.89269999973, 1095857.9087000005], [493294.89269999973, 1095860.0779], [493299.6246999996, 1095859.9784999993], [493299.6246999996, 1095835.1360999998], [493298.3431000002, 1095835.1360999998]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
114,115,NO CATÓLICA,IGLESIA DE JESUCRISTO DE LOS SANTOS DE LOS ÚLTIMOS DÍAS,MORMONES,6,PRIVADO,"{'rings': [[[493355.9820999997, 1095882.4525000006], [493371.2934999997, 1095881.4711000007], [493370.50850000046, 1095866.4211], [493337.33330000006, 1095867.9916999992], [493338.1513, 1095883.2051], [493355.9820999997, 1095882.4525000006]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
115,116,NO CATÓLICA,IGLESIA DIMENSIÓN CRISTIANA,DIMENSIÓN CRISTIANA,6,PRIVADO,"{'rings': [[[493811.9534, 1095404.8664999995], [493811.6755999997, 1095398.8467999995], [493811.4402999999, 1095393.7469999995], [493810.9183, 1095382.4374000002], [493810.8635999998, 1095381.2486000005], [493789.8534000004, 1095381.9707999993], [493790.23790000007, 1095416.5777000003], [493800.8222000003, 1095416.6643000003], [493809.5915000001, 1095416.7018], [493811.68599999975, 1095416.7107999995], [493811.79760000017, 1095411.767000001], [493811.9534, 1095404.8664999995]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
116,117,NO CATÓLICA,"IGLESIA MORAVA, MONTE DE ESPERANZAS","MORAVA, MONTE DE ESPERANZAS",6,PRIVADO,"{'rings': [[[493506.46729999967, 1094936.9725000001], [493511.3877999997, 1094935.3889000006], [493511.84020000044, 1094936.9159999993], [493530.0519000003, 1094931.3732999992], [493527.05429999996, 1094920.6272999998], [493508.55989999976, 1094926.5658999998], [493508.8426999999, 1094927.6970000006], [493504.0917999996, 1094929.2807], [493506.46729999967, 1094936.9725000001]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
