,OBJECTID,CATEGORIA,NOMBRE,ABREVIADO,ID_DISTRITO,PROPIETARIO,SHAPE
10,11,NO CATÓLICA,ASAMBLEA APOSTÓLICA DE LA FE EN CRISTO JESÚS,ASAM. APOSTÓLICA DE LA FE EN CRISTO JESÚS,9,PRIVADO,"{'rings': [[[484054.68960000016, 1099765.2775999997], [484053.2466000002, 1099752.2196999993], [484047.4353, 1099752.8037], [484048.95529999956, 1099768.5778], [484049.36209999956, 1099772.7996999994], [484055.4545999998, 1099772.1996999998], [484054.68960000016, 1099765.2775999997]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
11,12,NO CATÓLICA,CENTRO CRISTIANO PENIEL,PENIEL,9,PRIVADO,"{'rings': [[[484094.1174999997, 1100021.3409000002], [484088.9506999999, 1100007.4038999993], [484085.7708999999, 1100008.7061], [484080.0756999999, 1100010.8465], [484085.33910000045, 1100024.6883000005], [484090.1467000004, 1100022.8520999998], [484091.0399000002, 1100022.5109], [484094.1174999997, 1100021.3409000002]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
12,13,NO CATÓLICA,IGLESIA DE JESUCRISTO DE LOS SANTOS DE LOS ÚLTIMOS DÍAS,MORMONES,9,PRIVADO,"{'rings': [[[485376.83079999965, 1099530.2120999992], [485374.97020000033, 1099520.1852000002], [485342.09860000014, 1099527.5243999995], [485343.85589999985, 1099537.2412], [485376.83079999965, 1099530.2120999992]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
13,14,NO CATÓLICA,IGLESIA BAUTISTA DE ROHRMOSER,IGLESIA BAUTISTA DE ROHRMOSER,9,PRIVADO,"{'rings': [[[485849.45239999983, 1099559.8873999994], [485841.5519000003, 1099543.5373], [485829.4961000001, 1099548.9640999995], [485836.60919999983, 1099565.2413999997], [485849.45239999983, 1099559.8873999994]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
14,15,NO CATÓLICA,IGLESIA BAUTISTA DE ROHRMOSER - AULAS,IGLESIA BAUTISTA DE ROHRMOSER ,9,PRIVADO,"{'rings': [[[485843.12310000043, 1099542.83], [485833.3777999999, 1099523.263699999], [485829.2740000002, 1099525.0234999992], [485838.4342, 1099544.9407000002], [485843.12310000043, 1099542.83]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
15,16,NO CATÓLICA,IGLESIA LA SENDA,IGLESIA LA SENDA,9,PRIVADO,"{'rings': [[[487044.01489999983, 1099362.9481000006], [487028.32969999965, 1099365.520300001], [487030.94209999964, 1099382.3055000007], [487047.08889999986, 1099379.3475000001], [487046.0557000004, 1099375.4581000004], [487044.01489999983, 1099362.9481000006]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
16,17,CATÓLICA,CAPILLA DE LA INMACULADA CONCEPCIÓN,CAPILLA DE LA INMACULADA CONCEPCIÓN,9,ESTADO,"{'rings': [[[486436.41779999994, 1099973.2037000004], [486438.1983000003, 1099970.3227999993], [486439.0586000001, 1099970.5329], [486442.2494999999, 1099966.9718999993], [486438.94859999977, 1099963.1406999994], [486438.0982999997, 1099963.5908000004], [486436.1478000004, 1099960.8399999999], [486432.8468000004, 1099958.5393000003], [486432.9768000003, 1099957.6290000007], [486429.54580000043, 1099955.7284999993], [486425.8147, 1099958.0890999995], [486426.10479999986, 1099959.1194000002], [486423.30399999954, 1099961.0600000005], [486421.59339999966, 1099963.7907999996], [486420.6732000001, 1099963.5007000007], [486417.18209999986, 1099967.6519000009], [486420.82320000045, 1099971.0029000007], [486421.6534000002, 1099970.6928000003], [486423.6540000001, 1099973.5036999993], [486426.5948000001, 1099975.4242000002], [486426.36479999963, 1099976.2744999994], [486430.22589999996, 1099978.6652000006], [486433.8370000003, 1099976.0545000006], [486433.46690000035, 1099975.304300001], [486436.41779999994, 1099973.2037000004]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
17,18,NO CATÓLICA,TEMPLO BUDISTA LA LUZ DE BUDA COSTA RICA,TEMPLO BUDISTA LA LUZ DE BUDA CR,9,PRIVADO,"{'rings': [[[486511.1350999996, 1100619.0364999995], [486483.5510999998, 1100610.0427], [486483.5499, 1100610.0464999992], [486483.5264999997, 1100610.1237000003], [486479.8598999996, 1100622.2032999992], [486507.2934999997, 1100631.0905000009], [486511.1350999996, 1100619.0364999995]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
18,19,NO CATÓLICA,SALÓN DEL REINO DE LOS TESTIGOS DE JEHOVÁ,TESTIGOS DE JEHOVÁ,9,PRIVADO,"{'rings': [[[486165.28029999975, 1099382.9101], [486161.9183, 1099373.9638999999], [486150.5455, 1099378.7752999999], [486153.87509999983, 1099387.6115000006], [486165.28029999975, 1099382.9101]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
19,20,NO CATÓLICA,COMUNIDAD CRISTIANA VIDA ABUNDANTE,VIDA ABUNDANTE,9,PRIVADO,"{'rings': [[[486665.3044999996, 1098635.0804999992], [486671.4184999997, 1098684.5295000002], [486671.4556999998, 1098684.5251000002], [486686.89049999975, 1098682.7247000001], [486684.3598999996, 1098661.1283], [486687.87090000045, 1098660.7583000008], [486685.0702999998, 1098636.6010999996], [486681.58910000045, 1098637.4412999991], [486681.33910000045, 1098637.4713000003], [486680.38889999967, 1098629.0589000005], [486664.7642999999, 1098630.7292999998], [486665.3044999996, 1098635.0804999992]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
