,OBJECTID,NOMBRE,TIPO,USO,DECLARADO,DECRETOLEY,GACETA,FECHA_PUB,INSTITUCIO,IDENTIFI,ID_DISTRITO,SHAPE
69,71,CENAC Fábrica Nacional de Licores, , ,SI,23125-C,79,26/04/94,SI,26,1,"{'x': 492029.6952999998, 'y': 1098638.0288999993, 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
70,72,Hospital Psiquiátrico Chapui, , ,SI,4126-C,180,24/09/74,SI,49,3,"{'x': 490492.2237, 'y': 1098396.3600999992, 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
71,73,Iglesia Nuestra Señora de Las Mercedes, , ,SI,25177-C,110,11/06/96,SI,55,3,"{'x': 490807.43039999995, 'y': 1098376.5396999996, 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
72,74,Banco Anglo Costarricense (Antiguo), , ,SI,29582-C,115,15/06/01,SI,8,4,"{'x': 491474.88570000045, 'y': 1098300.5187, 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
73,75,Parque Metropolitano La Sabana, , ,SI,29305-C,39,23/02/01,SI,74,8,"{'x': 488179.57540000044, 'y': 1098752.9035, 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
74,76,Museo de Arte Costarricense, , ,SI,17338-C,235,11/12/86,SI,68,8,"{'x': 489159.4363000002, 'y': 1098600.7890000008, 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
75,77,Casona de La Finca La Caja, , ,SI,18974-C,94,17/05/89,SI,20,7,"{'x': 485772.8633000003, 'y': 1101733.6665000003, 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
76,78,Edificio Maroy, , ,SI,28555-C,72,12/04/00,SI,35,1,"{'x': 491651.1798999999, 'y': 1098533.0374999996, 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
77,80,Cementerio General, , ,SI,28769-C,139,19/07/00,SI,24,3,"{'x': 490106.9929999998, 'y': 1097940.171599999, 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
78,81,Escuela de Derecho (sección Esquina noroeste), , ,SI,10836-C,120,22/11/79,SI,40,4,"{'x': 492375.11089999974, 'y': 1098091.2059000004, 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
79,82,Templo de La Música,Cultural,Cultural - Patrimonial,SI,4605-C,49,12/03/75, ,81,1,"{'x': 491747.80869999994, 'y': 1098607.0987999998, 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
80,83,Ministerio de Salud,Salud,Institucional - Patrimonial,SI,28389-C,18,26/01/00, ,66,3,"{'x': 490529.2756000003, 'y': 1098228.0336000007, 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
81,84,INS Sucursal La Merced,Oficinas,Institucional - Patrimonial,SI,14650-C, ,30/11/04, ,58,3,"{'x': 490763.4676999999, 'y': 1098443.8027, 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
