,OBJECTID,NOMBRE,ENTIDAD,ABREVIADO,CATEGORIA,ID,ID_DISTRITO,SHAPE
10,11,CINE MAGALY,ENTRETENIMIENTO Y CULTURA,CINE MAGALY,CINE,11,1,"{'rings': [[[492528.27359999996, 1098350.5732000005], [492534.1831, 1098366.9752999991], [492533.7006999999, 1098369.1460999995], [492534.5449000001, 1098370.9551999997], [492537.92179999966, 1098372.0406], [492556.73589999974, 1098364.5632000007], [492569.2786999997, 1098359.4978999998], [492579.2887000004, 1098355.5179999992], [492576.7461000001, 1098350.2423], [492574.92169999983, 1098343.9948999994], [492572.4305999996, 1098338.0047999993], [492569.8923000004, 1098333.4184000008], [492569.0374999996, 1098331.8796999995], [492570.9671, 1098330.7942999993], [492569.2786999997, 1098327.1762000006], [492528.27359999996, 1098350.5732000005]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
11,12,TEATRO LA ESQUINA,ENTRETENIMIENTO Y CULTURA,TEATRO LA ESQUINA,TEATRO,12,1,"{'rings': [[[492389.1299999999, 1098452.2260999996], [492389.75129999965, 1098460.0960000008], [492389.91949999984, 1098462.2266000006], [492410.35479999986, 1098460.0844], [492410.5959999999, 1098462.6275999993], [492423.1513, 1098461.4371000007], [492421.44710000046, 1098448.578400001], [492389.1299999999, 1098452.2260999996]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
12,13,SALA JUAN ENRIQUE ACUÑA,ENTRETENIMIENTO Y CULTURA,SALA JUAN ENRIQUE ACUÑA,TEATRO,13,1,"{'rings': [[[492818.2098000003, 1098837.1005000006], [492824.81340000033, 1098853.8900000006], [492833.38329999987, 1098850.6265999991], [492834.66729999986, 1098850.1356000006], [492839.6524, 1098848.2287000008], [492840.5597000001, 1098847.8850999996], [492841.88350000046, 1098847.3837000001], [492843.9338999996, 1098846.5962000005], [492848.4419, 1098844.8781000003], [492847.17509999964, 1098841.6429999992], [492845.76410000026, 1098838.0302000009], [492843.7909000004, 1098832.9843000006], [492841.88049999997, 1098828.1097], [492841.8485000003, 1098828.0280000009], [492833.79640000034, 1098831.1170000006], [492833.4182000002, 1098831.2601999994], [492829.6459999997, 1098832.7125000004], [492818.2098000003, 1098837.1005000006]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
13,14,MUSEO RAFAEL ÁNGEL CALDERÓN GUARDIA,ENTRETENIMIENTO Y CULTURA,MUSEO CALDERÓN GUARDIA,MUSEO,14,1,"{'rings': [[[492811.5685999999, 1098805.1000999995], [492818.1457000002, 1098821.1608000007], [492817.9604000002, 1098821.6469], [492817.87849999964, 1098821.9871999994], [492817.8049999997, 1098822.6870000008], [492817.86110000033, 1098823.3756000008], [492817.9341000002, 1098823.7194999997], [492818.04200000037, 1098824.053200001], [492818.17480000015, 1098824.3765999991], [492818.4286000002, 1098824.8336999994], [492818.6309000002, 1098825.1115000006], [492818.98890000023, 1098825.4978], [492819.23560000025, 1098825.7152999993], [492819.8333999999, 1098826.1143999994], [492820.4749999996, 1098826.3783], [492821.1556000002, 1098826.5318999998], [492821.8548999997, 1098826.5505999997], [492822.54810000025, 1098826.4494000003], [492823.3644000003, 1098826.1473999992], [492824.0840999996, 1098825.6665000003], [492824.4654000001, 1098825.3084999993], [492824.8898, 1098824.7454000004], [492825.1253000004, 1098824.2838000003], [492825.3104999997, 1098823.7728000004], [492829.53450000007, 1098822.3123000003], [492829.72190000024, 1098822.8690000009], [492830.32320000045, 1098824.2018999998], [492830.99459999986, 1098824.9999000002], [492831.3970999997, 1098825.3357999995], [492832.3104999997, 1098825.8368999995], [492833.15160000045, 1098826.073999999], [492834.19570000004, 1098826.1195], [492834.88889999967, 1098826.0133999996], [492835.8842000002, 1098825.6249000002], [492836.8465999998, 1098824.9169999994], [492837.3947999999, 1098824.2379], [492837.8557000002, 1098823.2949], [492838.0628000004, 1098822.4491000008], [492838.0747999996, 1098821.575099999], [492838.0103000002, 1098821.0613000002], [492837.85539999977, 1098820.5033999998], [492836.90720000025, 1098818.3545999993], [492845.7887000004, 1098814.7587000001], [492854.6701999996, 1098811.1629000008], [492852.7067, 1098806.0868999995], [492849.91810000036, 1098806.9609999992], [492848.3261000002, 1098803.2101000007], [492846.89130000025, 1098803.5825999994], [492844.00009999983, 1098796.4276], [492843.3948999997, 1098795.7639000006], [492842.8273, 1098795.9587999992], [492842.35720000044, 1098794.7744999994], [492837.59080000035, 1098796.735200001], [492836.8340999996, 1098794.7843999993], [492827.96609999985, 1098798.2104000002], [492827.8649000004, 1098798.0665000007], [492827.2896999996, 1098797.4175000004], [492826.5860000001, 1098796.9045000002], [492825.7937000003, 1098796.5420999993], [492825.1129999999, 1098796.3783999998], [492824.2388000004, 1098796.3413999993], [492823.3761, 1098796.4839999992], [492822.71910000034, 1098796.7195999995], [492821.8353000004, 1098797.2869000006], [492821.23170000035, 1098797.9066000003], [492820.69039999973, 1098798.805400001], [492820.3898, 1098799.8018999994], [492820.2748999996, 1098800.5109], [492820.4243000001, 1098801.4046], [492815.99650000036, 1098803.2523999996], [492811.5685999999, 1098805.1000999995]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
14,15,TALLER NACIONAL DE TEATRO,ENTRETENIMIENTO Y CULTURA,TALLER NACIONAL DE TEATRO,TALLER,15,1,"{'rings': [[[492827.3792000003, 1098860.4088000003], [492829.5005000001, 1098859.7303999998], [492832.6020999998, 1098868.0721000005], [492835.34810000006, 1098866.9087000005], [492837.1311999997, 1098871.9164000005], [492840.18560000043, 1098870.6104000006], [492840.8565999996, 1098870.8140999991], [492842.8076999998, 1098870.0873000007], [492843.2801000001, 1098869.3139999993], [492850.09979999997, 1098866.895300001], [492850.31510000024, 1098867.512599999], [492853.32519999985, 1098866.2719], [492856.3351999996, 1098865.0311999992], [492853.5119000003, 1098857.8213999998], [492850.15950000007, 1098859.1344000008], [492849.8629999999, 1098858.3680000007], [492848.5086000003, 1098858.8096999992], [492846.2884999998, 1098852.9670000002], [492839.72030000016, 1098855.5832000002], [492841.1719000004, 1098859.2754999995], [492837.35170000046, 1098860.9379999992], [492833.38329999987, 1098850.6265999991], [492824.81340000033, 1098853.8900000006], [492827.3792000003, 1098860.4088000003]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
15,16,TALLER NACIONAL DE DANZA,ENTRETENIMIENTO Y CULTURA,TALLER NACIONAL DE DANZA,TALLER,16,1,"{'rings': [[[492887.09690000024, 1098775.423800001], [492886.6952999998, 1098778.5036999993], [492885.6337000001, 1098778.3200000003], [492884.3250000002, 1098785.886], [492881.3744000001, 1098785.4232], [492877.733, 1098791.9530999996], [492874.0915000001, 1098798.4828999992], [492872.6498999996, 1098801.4222999997], [492872.29669999983, 1098802.1247000005], [492877.8657999998, 1098805.0008000005], [492879.09640000015, 1098803.0220999997], [492888.30960000027, 1098804.6368000004], [492888.07880000025, 1098805.6175999995], [492892.8724999996, 1098806.693], [492894.40419999976, 1098799.3381999992], [492895.9642000003, 1098791.8134000003], [492893.8411999997, 1098791.1933999993], [492895.91029999964, 1098780.3180999998], [492894.96910000034, 1098780.0569000002], [492895.58110000007, 1098777.0450999998], [492887.09690000024, 1098775.423800001]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
16,17,CENTRO CULTURAL DE ESPAÑA,ENTRETENIMIENTO Y CULTURA,CENTRO CULTURAL DE ESPAÑA,CENTRO CULTURAL,17,1,"{'rings': [[[492946.66920000035, 1098813.6778999995], [492944.5806999998, 1098790.7301000003], [492920.8657999998, 1098793.9443999995], [492920.8657999998, 1098796.5874000005], [492918.9371999996, 1098796.8016999997], [492917.2229000004, 1098806.0162000004], [492915.15139999986, 1098813.7305999994], [492921.65160000045, 1098813.7305999994], [492921.5087000001, 1098812.8019999992], [492931.6518000001, 1098811.8019999992], [492932.53309999965, 1098815.4934999999], [492942.13040000014, 1098814.2982], [492946.66920000035, 1098813.6778999995]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
17,18,CENTRO CULTURAL BRITÁNICO,ENTRETENIMIENTO Y CULTURA,CENTRO CULTURAL BRITÁNICO,CENTRO CULTURAL,18,1,"{'rings': [[[492829.9857000001, 1098607.1183000002], [492830.4408, 1098611.0692999996], [492831.12260000035, 1098616.8859], [492831.52130000014, 1098616.8024000004], [492832.9570000004, 1098616.5198], [492842.0394000001, 1098614.7098999992], [492846.70019999985, 1098613.7788999993], [492851.36110000033, 1098612.8478999995], [492851.2229000004, 1098611.8926], [492856.4685000004, 1098611.1339999996], [492855.95749999955, 1098607.5903999992], [492861.6933000004, 1098606.762], [492861.50179999974, 1098605.1379000004], [492861.24980000034, 1098603.0007000007], [492858.5462999996, 1098603.354699999], [492829.9857000001, 1098607.1183000002]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
18,19,BOLICHE DENT,ENTRETENIMIENTO Y CULTURA,BOLICHE DENT,BOLICHE,19,1,"{'rings': [[[493250.3855999997, 1098347.178200001], [493208.07830000017, 1098349.4378999993], [493208.1342000002, 1098351.1152999997], [493208.14969999995, 1098351.8144000005], [493208.30150000006, 1098357.0066], [493208.45330000017, 1098362.1987999994], [493208.5756999999, 1098366.3526000008], [493208.6980999997, 1098370.5064000003], [493196.07739999983, 1098370.92], [493183.4567, 1098371.3335999995], [493183.5385999996, 1098373.4499999993], [493183.5711000003, 1098374.8730999995], [493183.6162999999, 1098376.296], [493183.70440000016, 1098379.0616999995], [493195.63790000044, 1098378.6544000003], [493207.5686999997, 1098378.1670999993], [493207.61400000006, 1098379.3052999992], [493207.65919999965, 1098380.4434999991], [493213.96910000034, 1098380.1866999995], [493220.28699999955, 1098379.9297000002], [493220.03280000016, 1098373.6798999999], [493235.7918999996, 1098372.9782999996], [493251.5510999998, 1098372.2766999993], [493250.96839999966, 1098359.727499999], [493250.3855999997, 1098347.178200001]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
19,20,TEATRO GIRATABLAS,ENTRETENIMIENTO Y CULTURA,TEATRO GIRATABLAS,TEATRO,20,1,"{'rings': [[[492891.8077999996, 1098265.2218999993], [492904.8652999997, 1098262.3073999994], [492902.9115000004, 1098253.8855000008], [492904.25710000005, 1098253.5836999994], [492903.55069999956, 1098250.5637999997], [492901.90079999994, 1098243.511], [492899.7697999999, 1098234.4581000004], [492899.5724999998, 1098233.6306999996], [492892.94600000046, 1098235.1856999993], [492886.90500000026, 1098236.6016000006], [492885.7999, 1098239.1984], [492887.8753000004, 1098250.0362], [492895.0903000003, 1098248.2532000002], [492895.9506999999, 1098252.8397000004], [492889.1830000002, 1098254.3890000004], [492891.8077999996, 1098265.2218999993]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
