,OBJECTID,NOMBRE,ENTIDAD,ABREVIADO,CATEGORIA,ID,ID_DISTRITO,SHAPE
20,21,MUSEO DEL ORO PRECOLOMBINO,ENTRETENIMIENTO Y CULTURA,MUSEO DEL ORO,MUSEO,21,4,"{'rings': [[[491600.65830000024, 1098408.0831000004], [491583.8705000002, 1098409.4748999998], [491577.32210000046, 1098400.6775000002], [491575.9992000004, 1098382.4211999997], [491578.7111999998, 1098382.4211999997], [491582.01850000024, 1098387.3159999996], [491584.33359999955, 1098387.2498000003], [491589.6913999999, 1098373.954500001], [491588.10390000045, 1098373.0945999995], [491588.0377000002, 1098370.9779000003], [491594.6523000002, 1098370.4487999994], [491594.3819000004, 1098366.3895999994], [491594.3180999998, 1098365.1554000005], [491519.39740000013, 1098373.5296999998], [491519.5865000002, 1098375.0449], [491515.9622999998, 1098375.4704999998], [491520.26180000044, 1098423.3358999994], [491601.4955000002, 1098416.1111999992], [491600.65830000024, 1098408.0831000004]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
21,22,TEATRO Y CINE VARIEDADES,ENTRETENIMIENTO Y CULTURA,TEATRO Y CINE VARIEDADES,TEATRO/CINE,22,1,"{'rings': [[[491658.98319999967, 1098474.4208000004], [491657.2878999999, 1098456.0088999998], [491632.94070000015, 1098458.4704], [491628.3217000002, 1098458.9496], [491632.34240000043, 1098478.4266999997], [491658.98319999967, 1098474.4208000004]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
22,23,TEATRO POPULAR MELICO SALAZAR,ENTRETENIMIENTO Y CULTURA,TEATRO MELICO SALAZAR,TEATRO,23,3,"{'rings': [[[491312.4572999999, 1098370.4526000004], [491275.2503000004, 1098375.6525999997], [491275.4502999997, 1098377.8880000003], [491275.5839999998, 1098379.424900001], [491275.7507999996, 1098381.3011000007], [491277.7187999999, 1098403.4759], [491287.02660000045, 1098402.2931999993], [491287.3838999998, 1098405.6416999996], [491289.1825000001, 1098405.4497999996], [491302.1934000002, 1098404.0039000008], [491310.0055999998, 1098403.1043999996], [491315.4581000004, 1098402.4759], [491316.33019999973, 1098402.3699999992], [491312.4572999999, 1098370.4526000004]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
23,24,TEATRO TORRES,ENTRETENIMIENTO Y CULTURA,TEATRO TORRES,TEATRO,24,4,"{'rings': [[[491902.2934999997, 1098019.0769999996], [491910.46549999993, 1098018.7715000007], [491909.1635999996, 1097997.6022999994], [491900.90249999985, 1097998.0954999998], [491901.21740000043, 1097999.8271999992], [491901.2701000003, 1097999.8872999996], [491902.1246999996, 1098015.9122000001], [491902.2100999998, 1098017.5127000008], [491902.2934999997, 1098019.0769999996]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
24,25,TEATRO EL TRICICLO,ENTRETENIMIENTO Y CULTURA,TEATRO EL TRICICLO,TEATRO,25,4,"{'rings': [[[492086.90330000035, 1097979.8987000007], [492075.9138000002, 1097981.4980999995], [492076.66729999986, 1097989.1838000007], [492076.50850000046, 1097989.1955999993], [492076.55979999993, 1097989.2292], [492088.50179999974, 1097987.4838999994], [492088.98199999984, 1097987.4136999995], [492089.1643000003, 1097987.2842999995], [492086.90330000035, 1097979.8987000007]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
25,26,TEATRO LUCHO BARAHONA,ENTRETENIMIENTO Y CULTURA,TEATRO LUCHO BARAHONA,TEATRO,26,4,"{'rings': [[[491908.7081000004, 1098056.6580999997], [491908.1924999999, 1098044.6647999994], [491885.2028000001, 1098045.6675000004], [491886.0310000004, 1098057.8066000007], [491908.46160000004, 1098057.0631000008], [491908.7081000004, 1098056.6580999997]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
26,27,TEATRO ARLEQUÍN,ENTRETENIMIENTO Y CULTURA,TEATRO ARLEQUÍN,TEATRO,27,4,"{'rings': [[[492105.28110000025, 1098198.1504999995], [492105.13599999994, 1098190.2438999992], [492089.6900000004, 1098190.7183999997], [492086.8276000004, 1098190.8062999994], [492083.7531000003, 1098190.9006999992], [492082.5750000002, 1098190.9368999992], [492082.9095999999, 1098195.1328999996], [492083.2763, 1098199.7309000008], [492105.28110000025, 1098198.1504999995]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
27,28,TEATRO MOLIÈRE,ENTRETENIMIENTO Y CULTURA,TEATRO MOLIÈRE,TEATRO,28,4,"{'rings': [[[492029.93230000045, 1098216.9267999995], [492053.1880000001, 1098216.2411000002], [492053.17179999966, 1098216.0141000003], [492053.27410000004, 1098215.9970999993], [492053.78029999975, 1098215.9126999993], [492054.4140999997, 1098206.5572999995], [492051.36099999957, 1098206.5572999995], [492051.34640000015, 1098206.5825999994], [492051.34640000015, 1098208.1545000002], [492044.2279000003, 1098208.1545000002], [492042.82909999974, 1098208.1545000002], [492026.47640000004, 1098208.1545000002], [492026.4183, 1098210.8269999996], [492030.18759999983, 1098210.6446000002], [492029.93230000045, 1098216.9267999995]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
28,29,TEATRO URBANO,ENTRETENIMIENTO Y CULTURA,TEATRO URBANO,TEATRO,29,4,"{'rings': [[[492096.0636, 1098239.7254000008], [492092.45129999984, 1098218.8904], [492081.2218000004, 1098219.8078000005], [492081.18460000027, 1098219.9028999992], [492085.4698000001, 1098240.394200001], [492085.62760000024, 1098241.1484999992], [492096.0636, 1098239.7254000008]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
29,30,TEATRO LA MÁSCARA,ENTRETENIMIENTO Y CULTURA,TEATRO LA MÁSCARA,TEATRO,30,4,"{'rings': [[[492012.5864000004, 1098212.2832999993], [491963.0284000002, 1098206.9315000009], [491967.31620000023, 1098217.2453000005], [491966.85890000034, 1098217.2577], [491967.1997999996, 1098217.4736000001], [491975.12129999977, 1098216.8135000002], [491975.02699999977, 1098217.9451000001], [491975.25129999965, 1098217.9716999996], [491979.77469999995, 1098218.5073000006], [491989.36120000016, 1098219.6426], [491990.63320000004, 1098219.7806000002], [491994.3942, 1098220.1887999997], [492001.5263, 1098220.9627999999], [492010.64439999964, 1098221.4940000009], [492012.0820000004, 1098221.5777000003], [492012.5864000004, 1098212.2832999993]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
30,31,TEATRO SANCHETO,ENTRETENIMIENTO Y CULTURA,TEATRO SANCHETO,TEATRO,31,4,"{'rings': [[[491980.92260000017, 1098061.9246999994], [491993.20270000026, 1098057.9888000004], [491993.88719999976, 1098059.8465], [491997.30929999985, 1098058.8687999994], [491996.9182000002, 1098057.2065999992], [492000.53589999955, 1098056.1311000008], [492001.0247999998, 1098058.1843999997], [492005.42459999956, 1098057.1087999996], [492005.0334999999, 1098055.0556000005], [492006.14080000017, 1098054.6269000005], [492006.0832000002, 1098053.3999000005], [492002.4913999997, 1098053.5888999999], [492002.43290000036, 1098052.0677000005], [491998.18929999974, 1098052.4027999993], [491991.83389999997, 1098052.9045000002], [491991.83389999997, 1098054.2733999994], [491980.5521999998, 1098055.1152999997], [491980.92260000017, 1098061.9246999994]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
31,32,TEATRO CHAPLIN,ENTRETENIMIENTO Y CULTURA,TEATRO CHAPLIN,TEATRO,32,4,"{'rings': [[[491897.37739999965, 1097816.1291000005], [491895.8054999998, 1097801.4163000006], [491888.12090000045, 1097802.1348], [491876.5686999997, 1097803.2148000002], [491880.7625000002, 1097817.1129], [491897.37739999965, 1097816.1291000005]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
32,33,TEATRO ILUSIÓN,ENTRETENIMIENTO Y CULTURA,TEATRO ILUSIÓN,TEATRO,33,4,"{'rings': [[[491984.6355999997, 1097839.3168000001], [491984.9916000003, 1097843.7070000004], [491989.5099999998, 1097843.2490999997], [491987.5815000003, 1097822.6525999997], [491978.42200000025, 1097823.4585999995], [491979.36730000004, 1097840.0010000002], [491984.6355999997, 1097839.3168000001]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
33,34,TEATRO REVENTÓN,ENTRETENIMIENTO Y CULTURA,TEATRO REVENTÓN,TEATRO,34,4,"{'rings': [[[492163.6961000003, 1097678.8392999992], [492144.76520000026, 1097654.5294000003], [492138.3996000001, 1097659.3243000004], [492138.70430000033, 1097659.740700001], [492149.30840000045, 1097674.2361999992], [492153.83210000023, 1097680.42], [492156.2204, 1097683.6846999992], [492156.42929999996, 1097683.7134000007], [492163.4930999996, 1097678.9755000006], [492163.6961000003, 1097678.8392999992]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
34,35,TEATRO NACIONAL,ENTRETENIMIENTO Y CULTURA,TEATRO NACIONAL,TEATRO,35,4,"{'rings': [[[491539.04640000034, 1098339.9277], [491525.3800999997, 1098342.4452], [491526.4589999998, 1098350.1174999997], [491522.2631999999, 1098350.4770999998], [491523.1024000002, 1098360.427100001], [491527.1782999998, 1098359.7079000007], [491528.2571999999, 1098369.7777999993], [491541.68369999994, 1098368.579], [491541.6858000001, 1098370.9198000003], [491586.2159000002, 1098365.9759999998], [491586.03920000046, 1098364.2632999998], [491592.3929000003, 1098363.4241000004], [491589.2759999996, 1098335.6119999997], [491582.56269999966, 1098336.451199999], [491581.84339999966, 1098330.8168000001], [491538.4469999997, 1098336.3312999997], [491539.04640000034, 1098339.9277]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
35,36,TEATRO ARNOLDO HERRERA,ENTRETENIMIENTO Y CULTURA,TEATRO ARNOLDO HERRERA,TEATRO,36,8,"{'rings': [[[489114.8108999999, 1098938.7991000004], [489114.92009999976, 1098933.3822000008], [489119.25009999983, 1098933.1221999992], [489119.6732999999, 1098940.2533], [489132.51209999993, 1098939.4912999999], [489130.73330000043, 1098906.3155000005], [489095.24540000036, 1098908.7705000006], [489097.42009999976, 1098923.9122000001], [489099.05009999964, 1098932.3922000006], [489099.7285000002, 1098936.9996000007], [489100.14690000005, 1098939.8409000002], [489114.8108999999, 1098938.7991000004]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
36,37,TEATRO MOZART,ENTRETENIMIENTO Y CULTURA,TEATRO MOZART,TEATRO,37,6,"{'rings': [[[494356.8677000003, 1095330.1000999995], [494358.60479999986, 1095326.9620999992], [494362.1116000004, 1095328.5855999999], [494364.89740000013, 1095323.0372000001], [494351.3707999997, 1095316.2629000004], [494345.29289999977, 1095313.2190000005], [494343.9090999998, 1095316.1007000003], [494348.99349999987, 1095318.7795000002], [494347.24010000005, 1095322.2214000002], [494342.2324000001, 1095319.5923999995], [494341.1437999997, 1095321.8595000003], [494356.8677000003, 1095330.1000999995]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
37,38,CENTRO CULTURAL TEORÉTICA,ENTRETENIMIENTO Y CULTURA,CENTRO CULTURAL TEORÉTICA,CENTRO CULTURAL,38,1,"{'rings': [[[491794.19930000044, 1098918.2495000008], [491795.04810000025, 1098916.0245999992], [491792.2056999998, 1098899.8903], [491778.8753000004, 1098902.4475999996], [491779.83079999965, 1098906.4940000009], [491777.35059999954, 1098906.9726999998], [491777.86039999966, 1098909.4980999995], [491784.1127000004, 1098908.4028999992], [491784.9494000003, 1098913.6787999999], [491783.5876000002, 1098913.955], [491783.2921000002, 1098912.0121999998], [491778.5187999997, 1098912.7380999997], [491780.20150000043, 1098921.0026999991], [491794.19930000044, 1098918.2495000008]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
38,39,GALERÍA TALENTUM,ENTRETENIMIENTO Y CULTURA,GALERÍA TALENTUM,GALERÍA,39,1,"{'rings': [[[491691.31819999963, 1098966.0008000005], [491689.6355999997, 1098954.1657999996], [491685.3565999996, 1098954.4989], [491684.9195999997, 1098954.2232000008], [491682.6677000001, 1098954.8028999995], [491682.41559999995, 1098955.6440999992], [491678.2467, 1098956.301000001], [491677.3722000001, 1098955.6896000002], [491675.3792000003, 1098956.1871000007], [491675.03529999964, 1098956.8193999995], [491676.9944000002, 1098968.606899999], [491691.31819999963, 1098966.0008000005]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
39,40,GALERÍA NAMU,ENTRETENIMIENTO Y CULTURA,GALERÍA NAMU,GALERÍA,40,1,"{'rings': [[[491703.5884999996, 1098751.5788000003], [491708.44070000015, 1098750.5782999992], [491707.4216, 1098744.4382000007], [491702.5268000001, 1098745.3641999997], [491703.5884999996, 1098751.5788000003]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
40,41,TEATRO JOSÉ JOAQUÍN VARGAS CALVO,ENTRETENIMIENTO Y CULTURA,TEATRO VARGAS CALVO,TEATRO,41,4,"{'rings': [[[491606.13350000046, 1098343.7712999992], [491607.9698999999, 1098356.3274000008], [491609.00189999957, 1098356.1890999991], [491630.02190000005, 1098353.3726000004], [491629.3713999996, 1098349.3398000002], [491631.35780000035, 1098348.9992999993], [491630.8691999996, 1098345.1021999996], [491618.5593999997, 1098346.9372000005], [491618.2555999998, 1098342.076199999], [491606.13350000046, 1098343.7712999992]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
41,42,SALA GARBO,ENTRETENIMIENTO Y CULTURA,SALA GARBO,CINE,42,3,"{'rings': [[[489930.06099999975, 1098497.0461], [489943.16449999996, 1098495.9388999995], [489941.6098999996, 1098479.5798000004], [489931.3499999996, 1098480.5548], [489928.7889999999, 1098483.4144000001], [489930.06099999975, 1098497.0461]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
42,44,TEATRO GRÁFICA GÉNESIS,ENTRETENIMIENTO Y CULTURA,TEATRO GRÁFICA GÉNESIS,TEATRO,44,4,"{'rings': [[[491967.4221999999, 1097772.1071000006], [491967.67030000035, 1097780.8658000007], [492030.3707999997, 1097775.8443], [492029.7101999996, 1097765.9538000003], [491967.4221999999, 1097772.1071000006]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
43,45,CCM CINEMAS PLAZA MAYOR,ENTRETENIMIENTO Y CULTURA,CCM PLAZA MAYOR,CINE,45,9,"{'rings': [[[487012.94990000036, 1099666.5171000008], [487032.2187000001, 1099654.4335999992], [487025.3837000001, 1099643.8904999997], [487008.0884999996, 1099654.8636000007], [487005.5077999998, 1099656.4941000007], [487006.7681, 1099658.4747000001], [487005.0394000001, 1099659.5801], [487009.65780000016, 1099666.9752999991], [487012.20969999954, 1099665.3567999993], [487012.94990000036, 1099666.5171000008]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
44,46,MUSEO DE LOS NIÑOS: CENTRO COSTARRICENSE DE LA CIENCIA Y LA  CULTURA,ENTRETENIMIENTO Y CULTURA,MUSEO DE LOS NIÑOS,MUSEO,46,2,"{'rings': [[[491152.0717000002, 1099246.6149000004], [491148.4556999998, 1099242.6418999992], [491143.5505999997, 1099246.8074999992], [491140.87990000006, 1099249.0755000003], [491144.8487, 1099253.3619], [491152.0717000002, 1099246.6149000004]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
45,47,MUSEO DE LOS NIÑOS: CENTRO COSTARRICENSE DE LA CIENCIA Y LA  CULTURA,ENTRETENIMIENTO Y CULTURA,MUSEO DE LOS NIÑOS,MUSEO,47,2,"{'rings': [[[491238.98089999985, 1099187.1479000002], [491247.6485000001, 1099211.1307999995], [491247.9807000002, 1099210.9995000008], [491253.23589999974, 1099208.9229000006], [491254.6118999999, 1099211.6744999997], [491256.30510000046, 1099212.2037000004], [491262.6551000001, 1099209.5579000004], [491263.7134999996, 1099208.4995000008], [491263.50189999957, 1099206.9119000006], [491262.7609000001, 1099204.1602999996], [491265.51269999985, 1099202.572899999], [491256.6227000002, 1099180.8769000005], [491253.87090000045, 1099181.6176999994], [491252.1776999999, 1099177.8077000007], [491250.6958999997, 1099177.172700001], [491243.6051000003, 1099180.0303000007], [491242.86429999955, 1099181.829500001], [491244.6634999998, 1099185.5337000005], [491242.75850000046, 1099186.1687000003], [491242.4408999998, 1099185.3219000008], [491241.38269999996, 1099185.9569000006], [491238.98089999985, 1099187.1479000002]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
46,48,MUSEO DE LOS NIÑOS: CENTRO COSTARRICENSE DE LA CIENCIA Y LA  CULTURA,ENTRETENIMIENTO Y CULTURA,MUSEO DE LOS NIÑOS,MUSEO,48,2,"{'rings': [[[491206.21690000035, 1099211.7360999994], [491204.4165000003, 1099187.7316999994], [491217.4269000003, 1099186.7558999993], [491216.1369000003, 1099169.6161000002], [491206.1238000002, 1099170.4031000007], [491202.7198999999, 1099170.6707000006], [491195.34690000024, 1099171.2500999998], [491191.8047000002, 1099171.5285999998], [491184.0853000004, 1099172.1352999993], [491185.3569, 1099189.1558999997], [491198.2969000004, 1099188.1859000009], [491200.1769000003, 1099212.1859000009], [491203.1776999999, 1099213.3435999993], [491206.21690000035, 1099211.7360999994]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
47,49,MUSEO DE LOS NIÑOS: CENTRO COSTARRICENSE DE LA CIENCIA Y LA  CULTURA,ENTRETENIMIENTO Y CULTURA,MUSEO DE LOS NIÑOS,MUSEO,49,2,"{'rings': [[[491247.6485000001, 1099211.1307999995], [491238.98089999985, 1099187.1479000002], [491228.5767000001, 1099192.3069000002], [491228.26669999957, 1099192.6513999999], [491228.80599999987, 1099193.2905000001], [491229.08669999987, 1099193.9942000005], [491229.3510999996, 1099194.6568], [491233.5251000002, 1099205.1186999995], [491235.27699999977, 1099209.5099], [491237.26889999956, 1099214.5024999995], [491235.66839999985, 1099214.0322999991], [491237.55090000015, 1099215.1582999993], [491240.1124999998, 1099214.1086999997], [491247.6485000001, 1099211.1307999995]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
48,50,MUSEO DE LOS NIÑOS: CENTRO COSTARRICENSE DE LA CIENCIA Y LA  CULTURA,ENTRETENIMIENTO Y CULTURA,MUSEO DE LOS NIÑOS,MUSEO,50,2,"{'rings': [[[491151.15500000026, 1099216.2898999993], [491149.6640999997, 1099221.2149], [491149.92870000005, 1099221.2149], [491151.15500000026, 1099216.2898999993]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
49,51,MUSEO DE LOS NIÑOS: CENTRO COSTARRICENSE DE LA CIENCIA Y LA  CULTURA,ENTRETENIMIENTO Y CULTURA,MUSEO DE LOS NIÑOS,MUSEO,51,2,"{'rings': [[[491151.15500000026, 1099216.2898999993], [491149.92870000005, 1099221.2149], [491170.40249999985, 1099225.2666999996], [491170.5109000001, 1099222.7513999995], [491171.0878999997, 1099220.2630000003], [491151.15500000026, 1099216.2898999993]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
50,52,MUSEO DE LOS NIÑOS: CENTRO COSTARRICENSE DE LA CIENCIA Y LA  CULTURA,ENTRETENIMIENTO Y CULTURA,MUSEO DE LOS NIÑOS,MUSEO,52,2,"{'rings': [[[491149.6640999997, 1099221.2149], [491151.15500000026, 1099216.2898999993], [491150.06319999974, 1099216.0723], [491148.7627999997, 1099215.8122000005], [491148.99289999995, 1099214.6619000006], [491150.23330000043, 1099208.4200999998], [491151.0235000001, 1099208.5801], [491152.1338999998, 1099203.0085000005], [491169.0187999997, 1099206.3795999996], [491188.18769999966, 1099209.797700001], [491188.30709999986, 1099208.9361000005], [491188.5186999999, 1099207.5073000006], [491190.47670000046, 1099206.3431000002], [491191.37629999965, 1099204.7556999996], [491191.85250000004, 1099202.9035], [491191.7997000003, 1099201.2101000007], [491190.42370000016, 1099199.0406999998], [491188.78330000024, 1099197.929300001], [491186.9313000003, 1099197.5061000008], [491185.2909000004, 1099197.6646999996], [491183.49170000013, 1099198.5643000007], [491182.32749999966, 1099199.9931000005], [491181.58669999987, 1099202.0039000008], [491180.7399000004, 1099201.9510999992], [491180.62569999974, 1099201.4028999992], [491174.2121000001, 1099200.1328999996], [491170.5290999999, 1099199.3497000001], [491170.4232999999, 1099200.0271000005], [491169.28029999975, 1099199.9635000005], [491169.0686999997, 1099199.3708999995], [491168.8359000003, 1099198.1643000003], [491168.3066999996, 1099197.3811000008], [491167.62930000015, 1099196.7884999998], [491166.92810000014, 1099196.7277000006], [491166.86209999956, 1099195.9339000005], [491165.4729000004, 1099195.8676999994], [491165.7374999998, 1099194.2803000007], [491148.34109999985, 1099190.9067000002], [491147.34889999963, 1099196.1323000006], [491145.62909999955, 1099196.0000999998], [491144.5047000004, 1099201.1594999991], [491142.9171000002, 1099201.0271000005], [491142.1895000003, 1099206.2526999991], [491140.6020999998, 1099206.1203000005], [491140.53589999955, 1099206.9141000006], [491139.7421000004, 1099211.2796999998], [491138.10170000046, 1099211.4781], [491137.3344999999, 1099216.0819000006], [491136.8317, 1099220.5004999992], [491137.3081, 1099222.140900001], [491138.2341, 1099223.7813000008], [491139.8214999996, 1099225.2629000004], [491142.6791000003, 1099226.1890999991], [491145.4307000004, 1099225.7920999993], [491146.9653000003, 1099225.1042999998], [491148.49990000017, 1099223.4109000005], [491149.6640999997, 1099221.2149]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
