,OBJECTID,ACT_COMPL,OBSERVAC_U,NIVEL_EDUC,NOMBRE_CEN,SECUND_TIP,ABREVIADO,MATRICULA_2016,PROPIETARIO,ID_DISTRITO,SHAPE
70,74, , ,PREESCOLAR,JARDÍN INFANTIL COLONIA KENNEDY (M.E.P),ACADÉMICO,J.N. COLONIA KENNEDY,MATRICULA,ESTADO,11,"{'rings': [[[490163.5669, 1096063.4538000003], [490179.42119999975, 1096053.9648000002], [490179.62200000044, 1096045.8450000007], [490179.86319999956, 1096036.0913999993], [490159.28450000007, 1096040.7161999997], [490161.7281999998, 1096052.2295999993], [490161.9254999999, 1096053.159], [490161.6983000003, 1096053.2105], [490161.8973000003, 1096053.3743999992], [490163.5669, 1096063.4538000003]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
71,75, , ,UNIDAD PEDAGÓGICA,CENTRO EDUCATIVO VIRGEN DE GUADALUPE,ACADÉMICO,CENTR. EDUC. VIRGEN DE GUADALUPE,MATRICULA,PRIVADO,11,"{'rings': [[[490579.3901000004, 1095955.4962000009], [490578.50629999954, 1095955.7902000006], [490577.29640000034, 1095956.1926000006], [490539.86560000014, 1095968.6427999996], [490536.7687999997, 1095969.6728000008], [490536.40419999976, 1095969.7940999996], [490543.3685999997, 1095990.8902000003], [490549.7253999999, 1095993.792199999], [490584.3421, 1095980.4569000006], [490586.76049999986, 1095977.4167], [490579.3901000004, 1095955.4962000009]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
72,76, , ,PRIMARIA,ESCUELA CAROLINA DENT ALVARADO,ACADÉMICO,ESC. CAROLINA DENT,,ESTADO,10,"{'rings': [[[490282.74370000046, 1096617.4466999993], [490287.68680000026, 1096635.2611999996], [490292.7111999998, 1096633.9505000003], [490293.7522999998, 1096639.1561999992], [490289.12289999984, 1096640.4365999997], [490291.8465, 1096650.2521000002], [490329.1509999996, 1096639.8069000002], [490332.1442999998, 1096651.5197], [490294.8540000003, 1096661.0909000002], [490297.6057000002, 1096671.0078999996], [490335.26769999973, 1096660.7598], [490338.52130000014, 1096672.3424999993], [490300.74370000046, 1096682.3167000003], [490303.12509999983, 1096690.8991], [490306.6196999997, 1096693.1970000006], [490334.9456000002, 1096685.6276999991], [490351.9774000002, 1096680.9123], [490337.2198000001, 1096628.2241999991], [490340.2131000003, 1096627.4433999993], [490334.6169999996, 1096605.7095999997], [490328.2400000002, 1096607.4013999999], [490327.4592000004, 1096604.7985999994], [490282.74370000046, 1096617.4466999993]], [[490297.52639999986, 1096637.5944999997], [490296.3552000001, 1096633.2997999992], [490325.37689999957, 1096624.9705999997], [490326.4179999996, 1096629.3955000006], [490297.52639999986, 1096637.5944999997]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
73,77, , ,PRIMARIA,ESCUELA MONTE ESPERANZA,ACADÉMICO,ESCUELA MONTE ESPERANZA,MATRICULA,PRIVADO,11,"{'rings': [[[491114.63269999996, 1096786.5895000007], [491115.0541000003, 1096785.8331000004], [491119.69409999996, 1096777.136499999], [491111.3008000003, 1096768.1709000003], [491107.03560000006, 1096772.986300001], [491103.40440000035, 1096769.7182], [491099.4598000003, 1096773.5560999997], [491114.63269999996, 1096786.5895000007]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
74,78, , ,PRIMARIA,ESCUELA MONTE ESPERANZA,ACADÉMICO,ESCUELA MONTE ESPERANZA,MATRICULA,PRIVADO,11,"{'rings': [[[491108.09729999956, 1096734.1372999996], [491097.2444000002, 1096744.3779000007], [491092.8038999997, 1096748.5678000003], [491092.8937999997, 1096748.6625999995], [491096.6508999998, 1096752.6218999997], [491099.3474000003, 1096755.4637000002], [491102.1979, 1096752.7298000008], [491114.25069999974, 1096741.1699], [491108.09729999956, 1096734.1372999996]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
75,79, , ,PRIMARIA,CENTRO EDUCATIVO BILINGÜE SAN ESTEBAN,ACADÉMICO,CENTR. EDUC. BILINGÜE SAN ESTEBAN,MATRICULA,PRIVADO,11,"{'rings': [[[491422.5547000002, 1096242.1897], [491422.5547000002, 1096262.5592999998], [491426.8350999998, 1096262.5548], [491427.6878000004, 1096262.476399999], [491427.6878000004, 1096260.6214000005], [491429.7207000004, 1096260.3133000005], [491429.4742999999, 1096258.5885000005], [491431.19909999985, 1096258.1572999991], [491431.3838999998, 1096259.6973], [491432.9911000002, 1096259.3759000003], [491432.54530000035, 1096255.7585000005], [491430.7396999998, 1096241.1078999992], [491422.6612, 1096242.1805000007], [491422.5547000002, 1096242.1897]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
76,80, , ,PREESCOLAR,JARDÍN INFANTIL HUELLITAS,ACADÉMICO,J.N. HUELLITAS,,PRIVADO,11,"{'rings': [[[490064.7988, 1095709.2785], [490061.7093000002, 1095699.7233000007], [490060.59410000034, 1095696.2740000002], [490059.88900000043, 1095694.2365000006], [490050.3700000001, 1095697.6317999996], [490051.1880999999, 1095700.0721000005], [490055.09020000044, 1095711.7106999997], [490055.2862999998, 1095712.295499999], [490064.7988, 1095709.2785]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
77,81, , ,PREESCOLAR,KÍNDER HUELLITAS,ACADÉMICO,KÍNDER HUELLITAS,,PRIVADO,11,"{'rings': [[[489988.9168999996, 1095615.4463999998], [489985.07299999986, 1095603.9324999992], [489975.7993000001, 1095607.0238000005], [489977.3236999996, 1095611.6677], [489979.5513000004, 1095618.4537000004], [489987.3214999996, 1095615.952299999], [489988.9168999996, 1095615.4463999998]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
78,82, , ,PRIMARIA,ESCUELA CIENTÍFICA BILINGÜE DEL SUR,CIENTÍFICO,ESC. BILINGÜE DEL SUR,MATRICULA,PRIVADO,11,"{'rings': [[[490467.5948999999, 1095650.5591000002], [490463.62540000025, 1095637.9793999996], [490462.52190000005, 1095634.4824], [490450.4539000001, 1095638.7627000008], [490451.15270000044, 1095640.8754999992], [490454.21970000025, 1095650.1481999997], [490455.53199999966, 1095654.1158000007], [490457.5889999997, 1095660.3348999992], [490465.9709999999, 1095657.9102999996], [490468.86980000045, 1095666.6066999994], [490472.6719000004, 1095665.2842999995], [490470.96360000037, 1095660.3101000004], [490468.0042000003, 1095651.6927000005], [490467.5948999999, 1095650.5591000002]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
79,83, , ,PREESCOLAR,JARDÍN INFANTIL DE SAN SEBASTIÁN,ACADÉMICO,J.N. DE SAN SEBASTIÁN,MATRICULA,ESTADO,11,"{'rings': [[[490195.6919, 1095329.4612000007], [490181.1730000004, 1095304.0624000002], [490176.8099999996, 1095306.4484], [490182.5432000002, 1095316.1099999994], [490180.7525000004, 1095317.0480000004], [490182.6326000001, 1095320.2597000003], [490187.63570000045, 1095328.7265000008], [490189.7156999996, 1095332.2466000002], [490190.1886999998, 1095333.0427], [490195.6919, 1095329.4612000007]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
80,84, , ,SECUNDARIA,COLEGIO BILINGÜE BOCA DEL MONTE,ACADÉMICO,COL. BOCA DEL MONTE,MATRICULA,ESTADO,11,"{'rings': [[[490873.5521999998, 1095776.0386999995], [490872.9522000002, 1095768.4442999996], [490874.4304999998, 1095768.197899999], [490873.93769999966, 1095765.734099999], [490878.8652999997, 1095765.2412999999], [490877.14070000034, 1095756.617900001], [490873.69130000006, 1095757.3571000006], [490872.21300000045, 1095749.7193], [490852.9951999998, 1095753.414999999], [490849.05310000014, 1095734.9363000002], [490838.40050000045, 1095737.2339999992], [490842.0187999997, 1095755.6008000001], [490847.08210000023, 1095754.1541000009], [490851.02419999987, 1095773.6183000002], [490857.92289999966, 1095771.8936], [490858.66199999955, 1095774.8501999993], [490862.6041000001, 1095774.1110999994], [490863.09690000024, 1095777.5603999998], [490873.5521999998, 1095776.0386999995]], [[490851.051, 1095783.2843999993], [490846.6298000002, 1095760.5643000007], [490843.1723999996, 1095761.4564999994], [490844.5943, 1095768.6744], [490847.18479999993, 1095782.9805999994], [490847.36209999956, 1095783.9596999995], [490850.36259999964, 1095783.4008000009], [490851.051, 1095783.2843999993]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
81,85, , ,PREESCOLAR,ESCUELA REPÚBLICA DE HAITÍ,ACADÉMICO,J.N. REPÚBLICA DE HAITÍ,MATRICULA,ESTADO,11,"{'rings': [[[490752.0215999996, 1095480.1502], [490762.58579999954, 1095473.9335999992], [490778.0257000001, 1095464.7509000003], [490778.2695000004, 1095465.238500001], [490774.85649999976, 1095467.2699999996], [490772.41860000044, 1095472.1458], [490775.7503000004, 1095477.2654], [490780.3010999998, 1095477.0216000006], [490781.11369999964, 1095478.321799999], [490790.2150999997, 1095472.8772], [490789.48369999975, 1095471.7394999992], [490792.5717000002, 1095467.1075], [490789.07739999983, 1095461.4190999996], [490783.9578999998, 1095461.7442000005], [490781.19489999954, 1095463.5319999997], [490780.8699000003, 1095462.8818999995], [490788.9149000002, 1095458.3311], [490793.05929999985, 1095465.238500001], [490797.8537999997, 1095465.6448], [490800.29169999994, 1095467.6764000002], [490808.58050000016, 1095467.1887999997], [490812.9687000001, 1095460.5252], [490809.5555999996, 1095454.3493000008], [490801.26680000033, 1095454.9586999994], [490796.71609999985, 1095461.1347000003], [490797.04119999986, 1095462.1910999995], [490795.7410000004, 1095461.8661000002], [490791.6777999997, 1095456.4214999992], [490798.2600999996, 1095452.2771000005], [490796.95990000013, 1095449.5954], [490750.5588999996, 1095477.7936000004], [490748.2834999999, 1095475.4368999992], [490743.3722000001, 1095478.9839999992], [490748.98000000045, 1095485.3307000007], [490749.70050000027, 1095486.1493999995], [490754.05319999997, 1095482.5880999994], [490752.0215999996, 1095480.1502]], [[490780.05730000045, 1095447.8889000006], [490781.84509999957, 1095446.7511999998], [490785.5831000004, 1095452.6020999998], [490790.5401999997, 1095452.5209], [490799.8854, 1095447.076199999], [490802.56709999964, 1095442.4442999996], [490797.3448999999, 1095432.3868000004], [490781.49810000043, 1095441.7851999998], [490764.84169999976, 1095451.9085000008], [490763.7533999998, 1095452.5657000002], [490764.53610000014, 1095453.7398000006], [490762.66700000037, 1095458.3717999998], [490765.9988000002, 1095464.3039999995], [490772.41860000044, 1095464.3039999995], [490780.3822999997, 1095459.2656999994], [490783.6327999998, 1095453.9023000002], [490780.05730000045, 1095447.8889000006]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
82,86, , ,PREESCOLAR,JARDÍN DE NIÑOS MANITAS ACTIVAS,ACADÉMICO,J.N. MANITAS ACTIVAS,MATRICULA,PRIVADO,11,"{'rings': [[[491247.2625000002, 1095827.5210999995], [491232.1660000002, 1095824.7718000002], [491217.7084999997, 1095822.3001000006], [491215.6788999997, 1095831.704], [491236.3300000001, 1095835.8342000004], [491237.60080000013, 1095830.1949000005], [491246.33779999986, 1095831.6245000008], [491247.2625000002, 1095827.5210999995]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
83,87, , ,PREESCOLAR,JARDÍN INFANTIL CREANDO ILUSIONES,ACADÉMICO,J.N. CREANDO ILUSIONES,,PRIVADO,11,"{'rings': [[[491570.3613999998, 1095837.9963000007], [491568.8821999999, 1095838.2190000005], [491565.86670000013, 1095838.5925999992], [491563.6975999996, 1095838.8594000004], [491562.21690000035, 1095839.6017000005], [491561.7564000003, 1095840.261], [491562.29669999983, 1095845.1239999998], [491563.2281999998, 1095845.1239999998], [491564.4422000004, 1095854.2556999996], [491572.4704, 1095853.1388000008], [491570.3613999998, 1095837.9963000007]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
84,88, SODA - SALA DE AUDIOVISUALES, ,PRIMARIA,ESCUELA REPÚBLICA DE HAITÍ,ACADÉMICO,ESC. REP. DE HAITÍ,MATRICULA,ESTADO,11,"{'rings': [[[490791.9232000001, 1095565.8135000002], [490796.51219999976, 1095563.7259999998], [490812.95139999967, 1095557.1229999997], [490817.2461000001, 1095568.2890000008], [490821.9919999996, 1095566.3906999994], [490817.32739999983, 1095555.3653999995], [490844.4751000004, 1095544.4612000007], [490831.50179999974, 1095510.7488000002], [490827.26269999985, 1095511.9263000004], [490800.45579999965, 1095522.5741000008], [490778.87040000036, 1095530.8409000002], [490781.7089999998, 1095539.5302000009], [490787.8364000004, 1095555.1325000003], [490791.84219999984, 1095565.6018000003], [490791.9232000001, 1095565.8135000002]], [[490812.50019999966, 1095541.8703000005], [490809.0198999997, 1095533.4858999997], [490830.37629999965, 1095525.1015000008], [490833.38210000005, 1095533.4858999997], [490812.50019999966, 1095541.8703000005]], [[490791.4600999998, 1095540.9211], [490804.7485999996, 1095535.2260999996], [490807.59609999973, 1095543.4521999992], [490794.46580000035, 1095548.8309000004], [490791.4600999998, 1095540.9211]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
85,89, ,OFICINAS ADMINISTRATIVAS,SECUNDARIA,COLEGIO TÉCNICO PROFESIONAL DE SAN SEBASTIÁN,TÉCNICO,CTP SAN SEBASTIÁN,MATRICULA,ESTADO,11,"{'rings': [[[490095.54959999956, 1096251.4253000002], [490102.7993000001, 1096247.5690000001], [490108.9693, 1096260.3717999998], [490143.3671000004, 1096242.6329999994], [490137.8141000001, 1096229.2133000009], [490110.66610000003, 1096243.0957999993], [490108.0438000001, 1096237.8512999993], [490129.0218000002, 1096226.7453000005], [490122.6975999996, 1096213.7882000003], [490100.3312999997, 1096225.6655000001], [490098.4752000002, 1096221.6439999994], [490088.29980000015, 1096227.0537999999], [490087.37430000026, 1096225.2028], [490097.8315000003, 1096220.2492999993], [490097.55480000004, 1096219.6498000007], [490108.1980999997, 1096213.9425000008], [490101.8738000002, 1096200.2141999993], [490086.44880000036, 1096209.0065000001], [490084.1349999998, 1096202.5280000009], [490078.89049999975, 1096206.5384999998], [490076.11400000006, 1096203.1449999996], [490069.3269999996, 1096201.9110000003], [490065.08999999985, 1096204.4957999997], [490066.5504999999, 1096207.541099999], [490074.8799999999, 1096209.3921000008], [490084.59779999964, 1096228.5190999992], [490078.2735000001, 1096232.5296], [490077.5022999998, 1096230.6786000002], [490082.284, 1096227.9021000005], [490075.49700000044, 1096214.7908999994], [490053.43929999974, 1096226.5139000006], [490060.53479999956, 1096239.7794000003], [490074.1087999996, 1096232.6839000005], [490076.26829999965, 1096237.0029000007], [490086.1403000001, 1096231.1414], [490094.62409999967, 1096247.1063], [490088.29980000015, 1096250.6539999992], [490087.6827999996, 1096249.1115000006], [490092.4645999996, 1096246.6435000002], [490085.36899999995, 1096233.2237999998], [490063.7740000002, 1096244.6382999998], [490065.47080000024, 1096248.3402999993], [490062.23149999976, 1096249.8827999998], [490065.7792999996, 1096256.9782999996], [490069.3269999996, 1096254.6645], [490070.86950000003, 1096257.7495000008], [490084.1349999998, 1096250.9625000004], [490086.60309999995, 1096256.9782999996], [490073.80030000024, 1096262.8398000002], [490080.89580000006, 1096276.5680999998], [490101.5652999999, 1096265.3078000005], [490095.54959999956, 1096251.4253000002]], [[490030.87849999964, 1096152.8896999992], [490018.33079999965, 1096122.3157000002], [489996.76999999955, 1096131.6822999995], [490009.4944000002, 1096161.7260999996], [490011.2616999997, 1096166.4978], [490029.81819999963, 1096159.0752000008], [490028.22759999987, 1096154.1268000007], [490030.87849999964, 1096152.8896999992]], [[490066.57770000026, 1096116.3069000002], [490060.0387000004, 1096101.8151999991], [490023.10250000004, 1096121.4320999999], [490030.87849999964, 1096135.2169000003], [490066.57770000026, 1096116.3069000002]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
86,90, , ,UNIDAD PEDAGÓGICA,COLEGIO CIENTÍFICO BILINGÜE REINA DE LOS ÁNGELES,CIENTÍFICO,COL. REINA DE LOS ÁNGELES,MATRICULA,PRIVADO,11,"{'rings': [[[492290.47020000033, 1096021.8252000008], [492289.70330000017, 1096019.9748999998], [492288.0888, 1096016.0797000006], [492277.7380999997, 1095991.1070000008], [492261.0650000004, 1095997.5105000008], [492280.54110000003, 1096045.0505], [492290.9573999997, 1096041.1291000005], [492283.8792000003, 1096024.1711], [492290.47020000033, 1096021.8252000008]], [[492301.02049999963, 1096069.3738000002], [492312.8099999996, 1096063.4791], [492309.86259999964, 1096056.9294000007], [492296.43570000026, 1096063.3153000008], [492301.02049999963, 1096069.3738000002]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
87,91, ,SODA,SECUNDARIA,COLEGIO TÉCNICO PROFESIONAL DE SAN SEBASTIÁN,TÉCNICO,CTP SAN SEBASTIÁN,MATRICULA,ESTADO,11,"{'rings': [[[490063.5546000004, 1096201.2941999994], [490067.78450000007, 1096199.1345000006], [490103.10780000035, 1096180.1616999991], [490096.9378000004, 1096167.1275999993], [490089.84229999967, 1096170.5210999995], [490085.6775000002, 1096162.0373], [490096.9378000004, 1096155.7130999994], [490089.84229999967, 1096142.1391000003], [490084.7520000003, 1096144.9156], [490082.4382999996, 1096139.2083], [490086.44880000036, 1096136.8945000004], [490080.4330000002, 1096123.7832999993], [490065.47080000024, 1096131.4957999997], [490071.48649999965, 1096144.2985999994], [490073.80030000024, 1096143.0646000002], [490080.89580000006, 1096158.0267999992], [490079.5075000003, 1096158.7981000002], [490086.2945999997, 1096173.1433000006], [490068.24729999993, 1096182.3982999995], [490066.08779999986, 1096177.6165999994], [490061.30599999987, 1096180.855799999], [490063.46549999993, 1096184.5578000005], [490060.2263000002, 1096186.2545999996], [490040.1738, 1096149.0802999996], [490042.33330000006, 1096148.0006000008], [490047.2692999998, 1096157.7182999998], [490065.9335000003, 1096148.0006000008], [490059.3008000003, 1096134.5808000006], [490034.92929999996, 1096146.9208000004], [490041.0992999999, 1096159.7236000001], [490026.7539999997, 1096166.5106000006], [490031.84420000017, 1096177.6165999994], [490023.5147000002, 1096181.6271000002], [490029.06769999955, 1096192.7331000008], [490050.04580000043, 1096181.1643000003], [490048.0405000001, 1096176.0741000008], [490049.73730000015, 1096175.148600001], [490053.90199999977, 1096183.7865999993], [490025.0571999997, 1096199.2116], [490032.15270000044, 1096211.8600999992], [490059.91779999994, 1096196.8979000002], [490057.6040000003, 1096193.5044], [490059.3008000003, 1096192.4245999996], [490063.5546000004, 1096201.2941999994]], [[490046.96079999954, 1096169.8555999994], [490035.29679999966, 1096175.6875999998], [490031.58550000004, 1096167.5581], [490043.0728000002, 1096162.2563000005], [490046.96079999954, 1096169.8555999994]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
88,92, , ,PRIMARIA,ESCUELA CENTRAL DE SAN SEBASTIÁN,ACADÉMICO,ESC. SAN SEBASTIÁN,MATRICULA,ESTADO,11,"{'rings': [[[490269.4709999999, 1095347.3089000005], [490248.88570000045, 1095320.0578000005], [490213.00829999987, 1095346.1326000001], [490233.5937000001, 1095373.5797000006], [490269.4709999999, 1095347.3089000005]], [[490243.20019999985, 1095313], [490270.84339999966, 1095291.0423000008], [490271.62760000024, 1095292.4145999998], [490277.3130999999, 1095288.6897], [490275.35259999987, 1095285.5527999997], [490278.4894000003, 1095284.1805000007], [490277.5091000004, 1095282.6120999996], [490281.0379999997, 1095279.6712999996], [490277.4464999996, 1095275.4872999992], [490262.02109999955, 1095257.5176], [490257.5119000003, 1095261.0464999992], [490259.86450000014, 1095264.3793000001], [490238.4950000001, 1095279.2792000007], [490234.1819000002, 1095273.0055999998], [490227.3201000001, 1095277.9068999998], [490222.61479999963, 1095272.0252999999], [490215.94909999985, 1095277.514799999], [490223.20299999975, 1095287.1212000009], [490225.1634999998, 1095285.1607000008], [490227.3201000001, 1095288.1015000008], [490224.96750000026, 1095289.2777999993], [490232.80950000044, 1095299.864600001], [490266.9223999996, 1095274.3779000007], [490268.68680000026, 1095276.9266], [490234.76999999955, 1095302.2171999998], [490243.20019999985, 1095313]], [[490195.7758999998, 1095328.4045000002], [490226.99120000005, 1095304.1096], [490227.0582999997, 1095303.3377999999], [490226.34979999997, 1095302.5799000002], [490220.2647000002, 1095294.8622999992], [490194.2917999998, 1095313.2660000008], [490192.51070000045, 1095310.5944999997], [490218.0384999998, 1095292.0423000008], [490210.61760000046, 1095281.2079000007], [490195.0338000003, 1095292.4876000006], [490194.44020000007, 1095291.5971000008], [490213.5860000001, 1095277.2006], [490207.50090000033, 1095269.928200001], [490189.0087000001, 1095285.1150000002], [490176.7785, 1095295.1590999998], [490181.2709999997, 1095303.0209], [490187.62509999983, 1095314.1404999997], [490189.2302000001, 1095316.9495], [490195.7758999998, 1095328.4045000002]], [[490207.2039999999, 1095345.1755999997], [490240.301, 1095319.2027000003], [490242.9726, 1095322.4678000007], [490253.65859999973, 1095314.1565000005], [490257.36899999995, 1095319.0541999992], [490263.0088999998, 1095314.1565000005], [490265.68039999995, 1095318.3122000005], [490285.41980000027, 1095303.6188999992], [490276.81159999967, 1095291.8938999996], [490244.1599000003, 1095316.976399999], [490235.99700000044, 1095307.0325000007], [490232.7318000002, 1095309.4070999995], [490230.81319999974, 1095307.4673999995], [490198.29899999965, 1095332.8570000008], [490205.7198999999, 1095344.5820000004], [490207.2039999999, 1095345.1755999997]], [[490233.20160000026, 1095257.7136000004], [490224.96750000026, 1095248.1071000006], [490209.4793999996, 1095261.4386], [490217.71360000037, 1095270.6530000009], [490233.20160000026, 1095257.7136000004]], [[490253.78699999955, 1095253.7926000003], [490235.35819999967, 1095246.9308000002], [490233.7898000004, 1095251.636], [490235.35819999967, 1095252.2241999991], [490234.96609999985, 1095253.5965], [490236.3383999998, 1095253.5965], [490235.35819999967, 1095255.3609999996], [490251.63040000014, 1095260.6544000003], [490253.78699999955, 1095253.7926000003]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
89,93, , ,SECUNDARIA,COLEGIO RICARDO FERNÁNDEZ GUARDIA,ACADÉMICO,COL. RICARDO FERNÁNDEZ G.,MATRICULA,ESTADO,11,"{'rings': [[[490157.3183000004, 1095928.6243999992], [490150.92679999955, 1095928.4666000009], [490150.3476, 1095936.6917000003], [490130.87569999974, 1095936.1607000008], [490130.87569999974, 1095937.7537999991], [490120.60869999975, 1095937.2227999996], [490120.2547000004, 1095942.0022], [490117.0684000002, 1095941.6481999997], [490116.5373999998, 1095961.1201000009], [490112.466, 1095961.1201000009], [490112.64300000016, 1095929.7881000005], [490084.1431999998, 1095930.0995000005], [490084.1431999998, 1095941.4712000005], [490108.39460000023, 1095941.2941999994], [490108.5716000004, 1095948.9058999997], [490083.25820000004, 1095947.8438000008], [490082.9040999999, 1095963.7752999999], [490107.68649999984, 1095963.7752999999], [490107.68649999984, 1095967.6697000004], [490082.9040999999, 1095967.6697000004], [490082.5022999998, 1095983.5417], [490116.71439999994, 1095982.8932000007], [490116.8914000001, 1095968.5548], [490111.5809000004, 1095968.3778000008], [490111.7578999996, 1095964.6603999995], [490126.6272999998, 1095964.8374000005], [490126.80429999996, 1095975.6355000008], [490120.96279999986, 1095975.4584], [490119.9007000001, 1095988.5577000007], [490122.91000000015, 1095988.7347], [490122.733, 1095998.1165999994], [490139.7265999997, 1095999.1787], [490139.7265999997, 1096004.1351999994], [490150.17059999984, 1096003.9582000002], [490149.81659999955, 1096008.9146999996], [490128.5745000001, 1096008.2065999992], [490127.8663999997, 1096021.3058000002], [490136.3633000003, 1096022.545], [490136.15139999986, 1096033.2445], [490150.3476, 1096034.0511000007], [490150.3476, 1096032.1039000005], [490157.60529999994, 1096032.2808999997], [490157.60529999994, 1096029.979699999], [490168.75739999954, 1096030.1567000002], [490168.75739999954, 1096025.7313], [490174.95299999975, 1096025.8660000004], [490174.95299999975, 1096022.367900001], [490172.82880000025, 1096022.367900001], [490172.82880000025, 1096009.2687], [490153.7109000003, 1096009.6227000002], [490153.88790000044, 1096003.7811999992], [490157.07430000044, 1096003.9582000002], [490157.25129999965, 1095999.7097999994], [490171.5895999996, 1095999.8868000004], [490172.12069999985, 1095985.1943999995], [490154.2419999996, 1095985.1943999995], [490154.77300000004, 1095974.9274000004], [490172.6517000003, 1095975.9894999992], [490173.5367999999, 1095961.6511000004], [490154.77300000004, 1095961.4740999993], [490155.48110000044, 1095951.0300999992], [490172.6517000003, 1095952.0921999998], [490173.5367999999, 1095937.0458000004], [490156.89719999954, 1095937.0458000004], [490157.3183000004, 1095928.6243999992]], [[490131.0985000003, 1095985.0448000003], [490131.53330000024, 1095975.0442999993], [490143.49039999954, 1095975.0442999993], [490143.7078, 1095978.9574999996], [490150.4473000001, 1095978.5227000006], [490150.4473000001, 1095985.2621999998], [490131.0985000003, 1095985.0448000003]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
90,94, , ,PRIMARIA,ESCUELA REPÚBLICA DE HAITÍ,ACADÉMICO,ESC. REP. DE HAITÍ,MATRICULA,ESTADO,11,"{'rings': [[[490821.9919999996, 1095566.3906999994], [490817.2461000001, 1095568.2890000008], [490800.7937000003, 1095574.7751000002], [490795.97759999987, 1095576.2259999998], [490801.2854000004, 1095589.7751000002], [490797.95430000033, 1095591.8949999996], [490801.4068, 1095604.6428999994], [490803.4774000002, 1095611.4661999997], [490804.95150000043, 1095613.0741000008], [490829.4271999998, 1095604.6741000004], [490830.00090000033, 1095606.9689000007], [490835.9715999998, 1095605.2477000002], [490834.3311999999, 1095600.5610000007], [490862.1350999996, 1095590.3529000003], [490850.79339999985, 1095560.8802000005], [490848.9195999997, 1095556.0108000003], [490821.9919999996, 1095566.3906999994]], [[490850.94180000015, 1095578.8882], [490832.90749999974, 1095586.1652000006], [490829.9018000001, 1095577.7807999998], [490847.7779000001, 1095570.8202], [490850.94180000015, 1095578.8882]], [[490821.83380000014, 1095580.9447000008], [490823.8903000001, 1095588.0635000002], [490804.4321999997, 1095595.4988000002], [490801.90110000037, 1095588.6963], [490821.83380000014, 1095580.9447000008]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
91,95, SALON COMPUTO, ,PRIMARIA,ESCUELA REPÚBLICA DE HAITÍ,ACADÉMICO,ESC. REP. DE HAITÍ,MATRICULA,ESTADO,11,"{'rings': [[[490800.45579999965, 1095522.5741000008], [490827.26269999985, 1095511.9263000004], [490821.1124, 1095496.8483000007], [490807.81989999954, 1095502.4033000004], [490809.8038999997, 1095506.3712000009], [490800.08249999955, 1095510.5374999996], [490793.3371000001, 1095492.4836], [490806.8278999999, 1095484.3493000008], [490799.28890000004, 1095472.4455999993], [490767.54569999967, 1095491.2931999993], [490772.1087999996, 1095499.2290000003], [490765.6235999996, 1095504.0929000005], [490766.4611999998, 1095505.0482], [490768.9835000001, 1095508.7118999995], [490789.56180000026, 1095495.0441999994], [490791.6183000002, 1095500.1064999998], [490774.0585000003, 1095507.0671999995], [490777.22250000015, 1095516.5589000005], [490774.66810000036, 1095517.1974999998], [490777.87789999973, 1095527.6954999994], [490799.22030000016, 1095519.1144999992], [490800.45579999965, 1095522.5741000008]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
