,OBJECTID,ID_DISTRITO,CATEGORIA,NOMBRE,ABREVIADO,SHAPE
10,11,2,TERMINAL DE AUTOBUSES,"TERMINAL DE AUTOBUSES PURISCAL , CONTRASULI","TERMINAL DE AUTOBUSES PURISCAL , CONTRASULI","{'rings': [[[490458.83690000046, 1098627.9958999995], [490460.94689999986, 1098634.1459], [490464.46690000035, 1098644.4459000006], [490465.83690000046, 1098648.4559000004], [490466.77689999994, 1098652.4459000006], [490468.6869000001, 1098652.2458999995], [490471.7868999997, 1098651.9058999997], [490470.4168999996, 1098639.3059], [490482.4968999997, 1098637.9958999995], [490484.1668999996, 1098637.7759000007], [490482.7868999997, 1098625.6859000009], [490458.83690000046, 1098627.9958999995]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
11,12,2,ALBERGUE,ALBERGUE SANTIAGO CRESPO,ALBERGUE SANTIAGO CRESPO,"{'rings': [[[490391.12689999957, 1098670.8759000003], [490402.77699999977, 1098669.6963999998], [490409.2455000002, 1098669.0470000003], [490409.2569000004, 1098669.0459000003], [490411.7468999997, 1098668.7858000007], [490411.18790000025, 1098662.6073000003], [490413.51690000016, 1098662.3859], [490413.1568999998, 1098658.6459], [490413.1431, 1098658.6471999995], [490384.2269000001, 1098661.3059], [490384.57710000034, 1098666.1490000002], [490389.65270000044, 1098665.7819999997], [490389.76690000016, 1098667.3659000006], [490378.96690000035, 1098668.3759000003], [490379.2468999997, 1098671.9359000009], [490380.2759999996, 1098671.8434999995], [490391.12689999957, 1098670.8759000003]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
12,13,2,TERMINAL DE AUTOBUSES,TERMINAL DE AUTOBUSES NICA EXPRESS,TERMINAL DE AUTOBUSES NICA EXPRESS,"{'rings': [[[490648.2385, 1098717.0462999996], [490654.22360000014, 1098708.6535], [490654.83690000046, 1098707.7859000005], [490643.1270000003, 1098709.3268], [490637.2868999997, 1098710.0958999991], [490638.34690000024, 1098718.2458999995], [490648.2385, 1098717.0462999996]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
13,14,2,TERMINAL DE AUTOBUSES,TERMINAL DE AUTOBUSES TICA BUS,TERMINAL DE AUTOBUSES TICA BUS,"{'rings': [[[490049.1171000004, 1098768.5559], [490050.6769000003, 1098782.4359000009], [490061.12689999957, 1098791.1059000008], [490068.87689999957, 1098782.2458999995], [490082.0089999996, 1098765.1567000002], [490080.3766000001, 1098762.7082000002], [490061.7860000003, 1098766.1542000007], [490049.1171000004, 1098768.5559]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
14,15,2,ALCOHÓLICOS ANÓNIMOS,ALCOHÓLICOS ANÓNIMOS,ALCOHÓLICOS ANÓNIMOS,"{'rings': [[[491019.6668999996, 1098793.9760999996], [491018.9168999996, 1098780.0559], [490992.94409999996, 1098781.0870999992], [490993.1568999998, 1098785.5359000005], [490993.4068999998, 1098794.4261000007], [490994.1168999998, 1098798.8059], [491019.6668999996, 1098793.9760999996]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
15,16,2,TERMINAL DE AUTOBUSES,TERMINAL DE AUTOBUSES TRANSNICA,TERMINAL DE AUTOBUSES TRANSNICA,"{'rings': [[[490363.79310000036, 1098857.046599999], [490380.66000000015, 1098855.7753999997], [490399.62689999957, 1098854.3458999991], [490398.71690000035, 1098839.9058999997], [490398.6568999998, 1098838.8759000003], [490397.77689999994, 1098838.9359000009], [490397.6069, 1098836.1259000003], [490396.8169, 1098836.1758999992], [490396.4168999996, 1098829.7159000002], [490395.28780000005, 1098829.8290999997], [490395.2868999997, 1098829.8158999998], [490390.5278000003, 1098830.2457999997], [490390.7567999996, 1098833.164999999], [490380.8869000003, 1098833.8559000008], [490374.76070000045, 1098834.3259999994], [490357.18769999966, 1098835.5119000003], [490358.2679000003, 1098849.3746000007], [490347.15859999973, 1098850.5143999998], [490347.7468999997, 1098858.2558999993], [490363.79310000036, 1098857.046599999]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
16,17,2,TERMINAL DE AUTOBUSES,TERMINAL DE AUTOBUSES ALFARO,TERMINAL DE AUTOBUSES ALFARO,"{'rings': [[[490686.7269000001, 1098857.9459000006], [490681.4269000003, 1098848.9559000004], [490673.64690000005, 1098853.0259000007], [490665.19689999986, 1098857.3859], [490665.7569000004, 1098858.4760999996], [490669.3668999998, 1098865.4559000004], [490670.1668999996, 1098867.0058999993], [490686.7269000001, 1098857.9459000006]], [[490633.60250000004, 1098889.8324999996], [490627.9199000001, 1098878.6947000008], [490614.0544999996, 1098886.195699999], [490620.64630000014, 1098896.4241000004], [490633.60250000004, 1098889.8324999996]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
17,18,2,TERMINAL DE AUTOBUSES,TERMINAL DE AUTOBUSES,TERMINAL DE AUTOBUSES,"{'rings': [[[490694.8069000002, 1098871.6459], [490690.0669, 1098863.5958999991], [490663.0630999999, 1098878.5558000002], [490665.35199999996, 1098881.383199999], [490674.7767000003, 1098881.383199999], [490678.5466, 1098887.5766000003], [490675.9885, 1098888.9230000004], [490678.2774, 1098893.2314], [490698.7424999997, 1098882.3257], [490694.8069000002, 1098871.6459]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
18,19,2,TERMINAL DE AUTOBUSES,TERMINAL DE AUTOBUSES ALFARO,TERMINAL DE AUTOBUSES ALFARO,"{'rings': [[[490669.2876000004, 1098874.8554999996], [490690.0669, 1098863.5958999991], [490686.7269000001, 1098857.9459000006], [490670.02689999994, 1098867.0858999994], [490643.9269000003, 1098881.3659000006], [490646.71690000035, 1098887.0259000007], [490657.4068999998, 1098881.2859000005], [490669.2876000004, 1098874.8554999996]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
19,20,2,ALCOHÓLICOS ANÓNIMOS,CENTRO DE RESTAURACION EJÉRCITO DE SALVACIÓN,CENTRO DE RESTAURACION EJÉRCITO DE SALVACIÓN,"{'rings': [[[491166.8569, 1099002.3659000006], [491164.57689999975, 1098997.5758999996], [491160.94689999986, 1098989.9559000004], [491156.1369000003, 1098979.8258999996], [491140.20689999964, 1098983.1459], [491154.70689999964, 1099007.9459000006], [491166.8569, 1099002.3659000006]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
