,OBJECTID,CED_JUR_COND,NOMBRE,MATRIZ,NIVELES,CANT_FF,FF_MENOR,FF_MAYOR,LOCALIZACION,created_user,created_date,last_edited_user,last_edited_date,OBSERVACIONES,GlobalID,SHAPE.STArea(),SHAPE.STLength(),SHAPE
168,182,0,CONDOMINIO INMOBILIARIA TUMAN S.A,00000202 M,3,3,00003568 F,00003570 F,08000960003 C,,,SDE,2019-01-30 19:14:58,,{025435A5-A62E-4049-BFEC-B9DBBC3407E8},962.7056884765625,138.39190610758547,"{'rings': [[[488286.5762, 1099380.5097000003], [488285.43929999974, 1099380.6195999999], [488272.4667999996, 1099381.7971], [488267.1102999998, 1099382.3090000004], [488271.5604999997, 1099416.805400001], [488273.50260000024, 1099431.8603000008], [488292.4614000004, 1099429.9912999999], [488286.5762, 1099380.5097000003]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
169,183,0,CONDOMINIO MENORCA,00000267 M,1,14,00004448 F,00004461 F,08001310031 C,,,SDE,2019-01-30 19:14:58,,{33266A71-C0B2-47E2-8474-4B102DD16DC8},1938.5707702636719,315.23205704739416,"{'rings': [[[488825.2335000001, 1099106.2270999998], [488826.23230000027, 1099106.0681999996], [488826.44400000013, 1099107.2324], [488843.37739999965, 1099101.9407000002], [488844.1182000004, 1099100.8824000005], [488844.27699999977, 1099099.9827999994], [488840.8903000001, 1099078.8902000003], [488846.18200000003, 1099078.0435000006], [488849.46279999986, 1099100.1733], [488853.16700000037, 1099112.5029000007], [488856.0245000003, 1099118.9057999998], [488851.5264999997, 1099121.3928999994], [488848.3514999999, 1099113.7729000002], [488847.34609999973, 1099110.7566999998], [488847.02859999985, 1099109.3279], [488846.4994999999, 1099107.793299999], [488845.6528000003, 1099107.1582999993], [488844.7002999997, 1099106.9996000007], [488843.642, 1099106.8937], [488826.8492999999, 1099112.1406999994], [488828.0696999999, 1099115.6720000003], [488829.96549999993, 1099120.1666], [488830.45660000015, 1099121.3310000002], [488833.4793999996, 1099128.0474999994], [488836.02410000004, 1099132.8069000002], [488836.97759999987, 1099134.4881999996], [488871.87490000017, 1099114.1651000008], [488868.0752999997, 1099104.6942999996], [488867.9996999996, 1099104.1482999995], [488866.83889999986, 1099095.7621999998], [488866.7424999997, 1099095.0658999998], [488866.63680000044, 1099093.9387999997], [488865.62459999975, 1099083.146400001], [488865.5264999997, 1099082.1005000006], [488864.30319999997, 1099070.2588999998], [488823.2966, 1099075.6991000008], [488821.22860000003, 1099076.0984000005], [488821.2576000001, 1099077.4244999997], [488821.4753999999, 1099083.4032000005], [488821.90469999984, 1099089.2228999995], [488822.00960000046, 1099089.9123], [488823.2898000004, 1099098.3221000005], [488824.29949999973, 1099102.5539999995], [488824.8173000002, 1099104.5903999992], [488825.2335000001, 1099106.2270999998]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
170,184,0,CONDOMINIO BRUMASCO,00000287 M,2,3,00004652 F,00004654 F,08000120001 C,,,SDE,2019-01-30 19:14:59,,{10854A92-DED3-4573-AF64-62E89CCF6DCF},666.1614379882812,129.77824707780792,"{'rings': [[[488906.00239999965, 1097629.386], [488901.8063000003, 1097632.7511], [488896.25, 1097638.3072999995], [488892.1224999996, 1097643.7841999996], [488891.9638, 1097652.5949000008], [488892.0432000002, 1097656.7224000003], [488889.3443999998, 1097656.5636], [488889.4238, 1097667.4379999992], [488886.8043999998, 1097667.5174000002], [488886.7402999997, 1097674.9174000006], [488888.8043999998, 1097675.5502000004], [488904.79559999984, 1097673.7074999996], [488904.8356999997, 1097664.2995999996], [488904.66199999955, 1097649.8022000007], [488914.6805999996, 1097648.3542999998], [488906.00239999965, 1097629.386]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
171,185,0,CONDOMINIO MIRAVALLES,00000398 M,8,13,00006008 F,00006020 F,08000870004 C,,,SDE,2019-01-30 19:14:59,,{B44AFC71-6F81-4652-9672-024FD29A8342},1947.2573852539062,174.88127963417915,"{'rings': [[[487939.2675000001, 1098826.9207000006], [487938.5268000001, 1098824.1379000004], [487901.14219999965, 1098833.8867000006], [487899.0264999997, 1098834.5767], [487897.9693, 1098835.5302000009], [487897.6531999996, 1098836.9061999992], [487897.5482999999, 1098837.7529000007], [487902.4216, 1098856.2769000009], [487905.60890000034, 1098868.3922000006], [487907.0301000001, 1098873.794399999], [487907.8934000004, 1098876.545499999], [487907.91980000027, 1098876.6295999996], [487908.40490000043, 1098878.1754], [487927.5843000002, 1098873.7796999998], [487930.5136000002, 1098873.0395], [487950.21740000043, 1098868.0603999998], [487948.6747000003, 1098862.2642], [487939.2675000001, 1098826.9207000006]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
172,186,0,CONDOMINIO BALOT DE ESCAZU,00000416 M,3,12,00006306 F,00006317 F,08001310027 C,,,SDE,2019-01-30 19:14:59,,{928CA404-55A1-429F-80AD-288B812C495C},389.5425720214844,123.12068138246754,"{'rings': [[[488876.2653999999, 1099064.0355999991], [488875.5136000002, 1099057.7018], [488875.3677000003, 1099056.6522000004], [488875.29679999966, 1099056.1319999993], [488823.56570000015, 1099065.7015000004], [488822.73039999977, 1099065.7216999996], [488823.1397000002, 1099072.9346999992], [488837.83860000037, 1099070.9726999998], [488838.5992999999, 1099070.5757999998], [488839.1283999998, 1099069.9804999996], [488839.32689999975, 1099069.3190000001], [488876.2653999999, 1099064.0355999991]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
173,187,0,CONDOMINIO PRAVAL,00000417 M,2,4,00006319 F,00006322 F,08000650019 C,,,SDE,2019-01-30 19:14:59,,{61484D7E-ED36-4D2A-8B79-D204A0105201},243.1552734375,106.7684980407587,"{'rings': [[[487564.6149000004, 1098460.5857999995], [487567.9099000003, 1098462.2715000007], [487571.8521999996, 1098454.1488000005], [487571.32299999986, 1098453.8841999993], [487574.1804999998, 1098447.8200000003], [487577.0909000002, 1098449.3016], [487575.5828, 1098452.7148000002], [487574.7626, 1098452.635399999], [487574.25989999995, 1098452.8205999993], [487573.8365000002, 1098453.0852000006], [487573.5455, 1098453.455600001], [487570.0530000003, 1098460.7846000008], [487571.2965000002, 1098461.393100001], [487570.29110000003, 1098463.4198000003], [487574.2429999998, 1098465.4196000006], [487584.8403000003, 1098441.9738999996], [487576.3065999998, 1098439.2529000007], [487573.86110000033, 1098438.4730999991], [487564.6149000004, 1098460.5857999995]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
174,188,0,CONDOMINIO MARIA FERNANDA,00000434 M,3,10,00006708 F,00006717 F,08000110005 C,,,SDE,2019-01-30 19:15:00,,{7628EB51-494E-4676-AA01-529F05578058},521.8254699707031,97.51554554436079,"{'rings': [[[488993.5234000003, 1097586.0763000008], [488991.6440000003, 1097585.9159999993], [488991.66509999987, 1097585.6089999992], [488988.94519999996, 1097585.3655999992], [488988.9134999998, 1097585.6513999999], [488976.8929000003, 1097584.6206], [488976.9140999997, 1097584.2607000005], [488974.39520000014, 1097584.0066999998], [488974.3529000003, 1097584.3454], [488972.32969999965, 1097584.1822999995], [488969.2430999996, 1097608.8036000002], [488976.2030999996, 1097609.4485], [488976.4280000003, 1097607.6757999994], [488984.09300000034, 1097608.4166], [488983.88129999954, 1097610.1761000007], [488990.84530000016, 1097610.8473000005], [488993.5234000003, 1097586.0763000008]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
175,189,0,CONDOMINIO CENTRO COMERCIAL ELICE,00000437 M,1,14,00006748 F,00006761 F,08001310024 C,,,SDE,2019-01-30 19:15:00,,{CD755711-7DA2-4AB6-854F-98AE6D62EB9F},1489.6784973144531,274.0681508090689,"{'rings': [[[488874.53419999965, 1098996.1247000005], [488874.00069999974, 1098994.5062000006], [488867.2818, 1098995.1417999994], [488859.80730000045, 1099003.3107999992], [488861.49399999995, 1099024.0939000007], [488829.2148000002, 1099027.2028], [488829.2148000002, 1099027.7981000002], [488827.39580000006, 1099030.0140000004], [488828.267, 1099041.7313], [488873.10780000035, 1099034.0691], [488873.0011999998, 1099032.9949999992], [488881.6242000004, 1099031.5574999992], [488879.5990000004, 1099017.4323999994], [488879.5235000001, 1099017.0851000007], [488876.3559999997, 1099002.5149000008], [488874.53419999965, 1098996.1247000005]], [[488859.5229000002, 1098995.7701999992], [488859.36539999954, 1098992.9353], [488857.7670999998, 1098993.0743000004], [488825.3607999999, 1098995.8929999992], [488826.23819999956, 1099006.4528], [488831.62909999955, 1099011.0168999992], [488834.2750000004, 1099007.7425999995], [488834.1096000001, 1099005.8904999997], [488857.8691999996, 1099003.4430999998], [488857.76999999955, 1099001.9218000006], [488861.54030000046, 1098997.820699999], [488859.5229000002, 1098995.7701999992]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
176,190,0,CONDOMINIO MAR DE PLATA,00000486 M,5,10,00007177 F,00007186 F,08000950011 C,,,SDE,2019-01-30 19:15:00,,{602AFC2B-9076-4917-9B56-CB3A699786FA},552.5775756835938,261.64543006253353,"{'rings': [[[488327.4891999997, 1099329.0128000006], [488329.44710000046, 1099327.5310999993], [488330.02919999976, 1099328.3778000008], [488335.3208999997, 1099324.4619999994], [488335.9559000004, 1099325.3615000006], [488338.01960000023, 1099323.8269999996], [488338.0248999996, 1099323.8369999994], [488338.0724999998, 1099323.7740000002], [488343.15249999985, 1099320.2815000005], [488342.6233999999, 1099319.3818999995], [488347.86209999956, 1099315.8365000002], [488347.43879999965, 1099315.148600001], [488349.44959999993, 1099313.8257], [488350.1376, 1099314.8839999996], [488352.4659000002, 1099313.2435999997], [488350.0845999997, 1099310.2803000007], [488346.5921, 1099312.7674000002], [488341.9354999997, 1099305.9940000009], [488335.4796000002, 1099310.3332000002], [488337.54339999985, 1099313.4024], [488335.53249999974, 1099314.8311], [488330.08210000023, 1099306.9993999992], [488328.01829999965, 1099308.428200001], [488333.4159000004, 1099316.3127999995], [488331.24629999977, 1099317.6357000005], [488329.28830000013, 1099314.5665000007], [488322.7796, 1099319.1702999994], [488327.70079999976, 1099326.0494999997], [488323.67920000013, 1099328.6952999998], [488325.74289999995, 1099331.8173999991], [488328.23000000045, 1099330.1769999992], [488327.4891999997, 1099329.0128000006]], [[488323.78500000015, 1099296.172700001], [488349.07919999957, 1099294.0031000003], [488351.75150000025, 1099294.7704000007], [488352.1880999999, 1099294.8497000001], [488352.5585000003, 1099294.8497000001], [488353.0214999998, 1099294.7704000007], [488353.67399999965, 1099294.4815999996], [488349.6755999997, 1099289.8390999995], [488319.26460000034, 1099291.3526000008], [488319.76800000016, 1099299.1909999996], [488319.91530000046, 1099309.8729999997], [488324.20830000006, 1099309.5077], [488323.78500000015, 1099296.172700001]], [[488356.21410000045, 1099303.9889000002], [488355.81319999974, 1099299.2356000002], [488348.30960000027, 1099299.9209000003], [488348.7725999998, 1099304.8157000002], [488356.21410000045, 1099303.9889000002]], [[488359.3559999997, 1099305.741800001], [488357.99619999994, 1099304.1937000006], [488357.96690000035, 1099304.2204], [488354.92420000024, 1099306.7008999996], [488356.21410000045, 1099308.1560999993], [488359.3559999997, 1099305.741800001]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
177,191,0,CONDOMINIO ENGARA UNO,00000519 M,2,7,00007674 F,00007680 F,080001 0083 C,,,SDE,2019-01-30 19:15:00,,{9791D08B-C343-4B9F-BCF9-0B7978F907AD},377.45916748046875,144.25801421102972,"{'rings': [[[488978.7045999998, 1097939.8477999996], [488975.56909999996, 1097913.5106000006], [488969.84250000026, 1097914.2763], [488971.9434000002, 1097931.8587999996], [488959.93790000025, 1097933.2808999997], [488961.06230000034, 1097942.2105999999], [488978.7045999998, 1097939.8477999996]], [[488962.3256999999, 1097927.1822999995], [488960.8690999998, 1097915.466], [488953.9472000003, 1097916.3757000007], [488951.97169999965, 1097916.635399999], [488953.0701000001, 1097928.4169999994], [488962.3256999999, 1097927.1822999995]], [[488956.8289999999, 1097940.9208000004], [488956.2006000001, 1097936.0260000005], [488954.4146999996, 1097936.2244000006], [488955.0745000001, 1097941.0944999997], [488956.8289999999, 1097940.9208000004]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
178,192,0,CONDOMINIO ILKERIN,00000535 M,2,6,00007995 F,00008000 F,080001700071C,,,SDE,2019-01-30 19:15:00,,{84EEDEFD-0069-4FB0-8AEA-41F0EA6F58C7},277.4842834472656,160.0568596871606,"{'rings': [[[488999.88939999975, 1097875.585000001], [488999.5345999999, 1097872.6105000004], [489002.1936999997, 1097872.2929999996], [489005.6068000002, 1097867.7686], [489002.4715, 1097865.1888999995], [489005.1701999996, 1097861.577299999], [489000.5080000004, 1097858.0346000008], [488997.28029999975, 1097862.0853000004], [488993.16420000046, 1097858.8531999998], [488990.0175000001, 1097862.8394000009], [488986.0772000002, 1097859.6432000007], [488983.23089999985, 1097863.3553], [488979.9354999997, 1097860.3279], [488976.56340000033, 1097864.8633999992], [488978.8652999997, 1097866.9272000007], [488976.21549999993, 1097870.6053], [488979.4530999996, 1097873.3574], [488981.0957000004, 1097874.7535999995], [488983.1991999997, 1097874.4361000005], [488983.43290000036, 1097877.6827000007], [488999.88939999975, 1097875.585000001]], [[488991.97809999995, 1097874.6265999991], [488990.50960000046, 1097874.7852999996], [488990.15249999985, 1097871.2531000003], [488982.9689999996, 1097872.0469000004], [488982.966, 1097872.0480000004], [488984.19930000044, 1097870.3402999993], [488980.7067999998, 1097867.2843999993], [488983.24679999985, 1097863.8712000009], [488987.4139999999, 1097867.3241000008], [488990.15249999985, 1097863.6728000008], [488993.9227999998, 1097866.8081], [488997.2167999996, 1097862.6011999995], [489000.5903000003, 1097865.5381000005], [488996.74060000014, 1097870.3800000008], [488991.66060000006, 1097870.9752999991], [488991.97809999995, 1097874.6265999991]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
179,193,0,CONDOMINIO ALFA,00000546 M,2,4,00008341 F,00008344 F,08000120014 C,,,SDE,2019-01-30 19:15:01,,{08215605-3BCD-4798-BE6F-3BD9C0A563A6},399.7058410644531,88.69409143152842,"{'rings': [[[489053.8485000003, 1097656.6195999999], [489053.59020000044, 1097652.8374000005], [489054.1524, 1097652.7381999996], [489053.5240000002, 1097643.5373], [489053.35869999975, 1097640.0313000008], [489052.2790999999, 1097640.0317000002], [489052.2775999997, 1097636.2565000001], [489050.1387, 1097636.2573000006], [489044.0268000001, 1097632.7964999992], [489043.84839999955, 1097630.4597999994], [489035.4735000003, 1097628.758199999], [489034.10780000035, 1097643.6435000002], [489038.8306999998, 1097644.2917999998], [489040.8317999998, 1097658.0318], [489053.8485000003, 1097656.6195999999]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
180,194,0,INMOBILIARIA PERSI S A,00000570 M,2,6,00008895 F,00008900 F,08000160002 C,,,SDE,2019-01-30 19:15:01,,{99C5A7BD-6AD6-48DF-AE37-0E8843717E7B},831.0194702148438,115.57880039093381,"{'rings': [[[489094.6035000002, 1097893.7024000008], [489094.6727, 1097894.3705000002], [489097.6540999999, 1097921.1629000008], [489127.53249999974, 1097918.0724999998], [489125.87459999975, 1097903.7444000002], [489125.83380000014, 1097903.3913000003], [489124.49619999994, 1097890.4024999999], [489114.9219000004, 1097891.5505999997], [489094.6035000002, 1097893.7024000008]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
181,195,0,CONDOMINIO AMCHAM PLAZA,00000591 M,3,9,00009024 F,00009032 F,080014 0041 C,,,SDE,2019-01-30 19:15:01,,{E32179F5-FD4C-4A83-A693-3B2F2CA9A149},944.9180603027344,350.1011582318128,"{'rings': [[[488999.86039999966, 1099265.9609999992], [489019.94240000006, 1099263.6987999994], [489019.98199999984, 1099264.7306999993], [489023.59360000025, 1099264.3337999992], [489023.4746000003, 1099262.9448000006], [489023.1967000002, 1099262.9448000006], [489021.60919999983, 1099247.3476], [489021.76800000016, 1099247.3476], [489021.6489000004, 1099245.9981999993], [489018.15639999975, 1099246.3950999994], [489018.15639999975, 1099247.3871999998], [489008.9885999998, 1099248.3794], [489004.86110000033, 1099245.1646999996], [489003.1941999998, 1099247.2284999993], [489002.5592, 1099248.3794], [489002.44010000024, 1099249.0938000008], [488998.1141999997, 1099249.5701000001], [488997.99509999994, 1099248.5382000003], [488994.4232000001, 1099248.9351000004], [488994.54229999986, 1099250.3638000004], [488994.8201000001, 1099250.3638000004], [488996.4473000001, 1099265.9212999996], [488996.2092000004, 1099265.9609999992], [488996.29760000017, 1099267.2871000003], [488999.9397999998, 1099266.9134999998], [488999.86039999966, 1099265.9609999992]], [[488996.13520000037, 1099283.9396000002], [489029.02020000014, 1099280.3173999991], [489029.15550000034, 1099281.2642], [489031.1386000002, 1099281.0505], [489036.92370000016, 1099280.3851999994], [489037.4874999998, 1099278.1130999997], [489036.6798999999, 1099277.896400001], [489042.23620000016, 1099255.5046999995], [489037.6721000001, 1099254.3934000004], [489032.1158999996, 1099276.9200999998], [489028.7423999999, 1099277.2773000002], [489028.54399999976, 1099275.6897999998], [488995.63939999975, 1099279.0735999998], [488996.0440999996, 1099283.0461999997], [488996.13520000037, 1099283.9396000002]], [[489020.57739999983, 1099270.4219000004], [489020.14080000017, 1099265.8181999996], [489000.09860000014, 1099268.0010000002], [489000.5697999997, 1099272.4780000001], [489020.57739999983, 1099270.4219000004]], [[489031.7474999996, 1099252.9949999992], [489026.2446999997, 1099251.6259000003], [489024.49849999975, 1099259.2855999991], [489029.93570000026, 1099260.5556000005], [489031.7474999996, 1099252.9949999992]], [[489031.9676000001, 1099245.4411999993], [489024.64329999965, 1099243.6722], [489023.5460000001, 1099248.4508999996], [489030.8485000003, 1099250.1971000005], [489031.9676000001, 1099245.4411999993]], [[489032.1979, 1099248.4508999996], [489032.2161999997, 1099248.3637000006], [489032.1979, 1099248.3715000004], [489031.5231999997, 1099250.8321000002], [489033.94409999996, 1099251.4671], [489034.53949999996, 1099249.0065000001], [489032.1979, 1099248.4508999996]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
182,196,0,COMPAÑIA DE INVERSIONES PEDRALBES LIMITADA,00000649 M,2,6,00010220 F,00010225 F,080001 00311C,,,SDE,2019-01-30 19:15:01,,{0331B0B4-B61E-408D-B3CA-D0C1D1663BCB},761.5136413574219,205.0326675068229,"{'rings': [[[489093.2193, 1098204.3675999995], [489087.45969999954, 1098166.8534999993], [489081.84800000023, 1098167.4845000003], [489076.3465999998, 1098168.1031999998], [489075.3805999998, 1098168.229699999], [489076.00189999957, 1098172.8242000006], [489077.2274000002, 1098181.8871], [489078.48319999967, 1098191.1741000004], [489079.84810000006, 1098201.2676], [489080.449, 1098205.7116], [489093.2193, 1098204.3675999995]], [[489102.53390000015, 1098176.6053], [489101.3565999996, 1098165.2906999998], [489095.0067999996, 1098166.0047999993], [489088.7171, 1098166.7120999992], [489088.54530000035, 1098166.7314], [489091.4456000002, 1098185.2471999992], [489101.06240000017, 1098184.2507000007], [489100.1582000004, 1098176.8181999996], [489102.53390000015, 1098176.6053]], [[489098.13609999977, 1098203.8499999996], [489097.0076000001, 1098187.4693], [489091.9483000003, 1098187.9724000003], [489094.40780000016, 1098204.2424999997], [489095.54580000043, 1098204.1227000002], [489098.13609999977, 1098203.8499999996]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
183,197,0,CONDOMINIO COCAVI HUMPHREY,00000743 M,3,11,00012106 F,00012116 F,080014 0016 C,,,SDE,2019-01-30 19:15:01,,{E0745087-F013-45CE-AEEB-A6289C122DA4},434.66766357421875,139.37660649954086,"{'rings': [[[488968.50189999957, 1099296.1499000005], [488966.6679999996, 1099280.079500001], [488966.13879999984, 1099275.3594000004], [488972.27720000036, 1099274.8301999997], [488972.1325000003, 1099273.4074000008], [488977.93929999974, 1099272.7770000007], [488977.72759999987, 1099271.0307999998], [488979.0504999999, 1099270.8719999995], [488978.46839999966, 1099266.2683000006], [488977.6747000003, 1099266.3740999997], [488977.3722000001, 1099262.9584999997], [488954.1864, 1099265.2786999997], [488955.1107000001, 1099273.1532000005], [488956.34920000006, 1099273.0944999997], [488956.6138000004, 1099274.9995000008], [488961.85259999987, 1099274.5232999995], [488961.85259999987, 1099275.8462000005], [488964.8688000003, 1099275.6874000002], [488964.8688000003, 1099276.1636999995], [488961.42920000013, 1099276.5340999998], [488961.6409, 1099279.0741000008], [488965.1333999997, 1099278.7037000004], [488965.2922, 1099280.1325000003], [488960.95299999975, 1099280.5558000002], [488960.8471999997, 1099279.867900001], [488958.8892000001, 1099279.9208000004], [488958.8892000001, 1099280.8203999996], [488956.0477999998, 1099281.1360999998], [488957.94049999956, 1099297.2600999996], [488968.50189999957, 1099296.1499000005]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
184,198,0,CONDOMINIO ANDREA,00000801 M,2,6,00013793 F,00013798 F,08000560053 C,,,SDE,2019-01-30 19:15:01,,{CA768C88-E1D5-4889-96BE-C7C34FB63037},669.083251953125,126.71131727780343,"{'rings': [[[488151.62590000033, 1098263.133199999], [488149.95380000025, 1098249.5681999996], [488149.5700000003, 1098246.4546000008], [488108.1545000002, 1098251.5708000008], [488109.35080000013, 1098261.7393999994], [488109.9461000003, 1098261.7393999994], [488110.67370000016, 1098268.2216999996], [488114.3117000004, 1098267.8910000008], [488114.2456, 1098266.1050000004], [488120.6617999999, 1098265.5097000003], [488120.7279000003, 1098266.9649], [488128.0701000001, 1098266.1050000004], [488127.9378000004, 1098264.4514000006], [488134.3540000003, 1098263.7237999998], [488134.42009999976, 1098265.2451000009], [488141.6299999999, 1098264.3851999994], [488141.4315999998, 1098262.797700001], [488147.98000000045, 1098262.1362999994], [488148.11230000015, 1098263.5914999992], [488151.62590000033, 1098263.133199999]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
185,199,0,CONDOMINIO JARDINES DE SEVILLA,00000815 M,2,9,00014348 F,00014356 F,080012 0007 C,,,SDE,2019-01-30 19:15:02,,{6BA36C8E-5544-44E4-ACA8-00708B662165},1047.7245483398438,310.513997757943,"{'rings': [[[488634.2457999997, 1099270.5333999991], [488633.8487999998, 1099262.5756], [488630.01740000024, 1099263.4431999996], [488629.3295, 1099259.5802999996], [488626.63069999963, 1099260.1888999995], [488626.2337999996, 1099258.0722000003], [488628.1124, 1099257.7281999998], [488628.50930000003, 1099256.987400001], [488631.8958999999, 1099256.2466000002], [488630.0438000001, 1099247.5364999995], [488625.8370000003, 1099248.4625000004], [488625.4135999996, 1099245.8695999999], [488629.25009999983, 1099245.1552000009], [488627.6626000004, 1099237.8103999998], [488625.0696999999, 1099238.3131000008], [488624.64630000014, 1099235.9054000005], [488628.5621999996, 1099235.1645], [488626.97470000014, 1099227.7931999993], [488629.17069999967, 1099227.4228000008], [488627.84779999964, 1099219.9086000007], [488623.58800000045, 1099220.8610999994], [488623.0882000001, 1099217.7221000008], [488617.23610000033, 1099218.0099], [488616.2273000004, 1099222.1681999993], [488613.7137000002, 1099222.5649999995], [488614.1900000004, 1099225.5548], [488614.98369999975, 1099225.5019000005], [488615.6980999997, 1099230.3438000008], [488613.02579999994, 1099230.8993999995], [488615.1425000001, 1099240.6678999998], [488613.7401999999, 1099240.9059999995], [488615.8304000003, 1099250.7697], [488617.41789999977, 1099250.5315000005], [488619.2171, 1099259.4798000008], [488620.2753999997, 1099259.2946000006], [488620.6986999996, 1099261.4641999993], [488621.9687000001, 1099261.3319000006], [488623.23869999964, 1099268.3432999998], [488624.66750000045, 1099268.1316999998], [488625.54059999995, 1099272.5395999998], [488634.2457999997, 1099270.5333999991]], [[488613.41779999994, 1099269.1565000005], [488609.9781999998, 1099263.3752999995], [488606.60479999986, 1099265.3597], [488604.8189000003, 1099262.7138999999], [488608.45689999964, 1099260.6633000001], [488601.24700000044, 1099248.757099999], [488597.8074000003, 1099250.6753000002], [488596.2198999999, 1099247.9633000009], [488599.72559999954, 1099245.9127999991], [488595.82299999986, 1099238.9013], [488592.84640000015, 1099240.4888000004], [488593.44180000015, 1099241.8116999995], [488591.2588999998, 1099243.1347000003], [488590.86209999956, 1099242.2748000007], [488589.2746000001, 1099243.2007999998], [488589.73759999964, 1099243.8622999992], [488586.09949999955, 1099245.9789000005], [488585.70270000026, 1099245.4497999996], [488583.20990000013, 1099247.2052999996], [488586.0789000001, 1099251.9375], [488590.46520000044, 1099249.180400001], [488594.0371000003, 1099255.2657999992], [488589.58189999964, 1099257.7153999992], [488594.79839999974, 1099266.3194999993], [488599.1303000003, 1099263.8648000006], [488602.7022000002, 1099269.9502000008], [488598.4040000001, 1099272.2665999997], [488601.0473999996, 1099276.6265999991], [488613.41779999994, 1099269.1565000005]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
186,200,0,CONDOMINIO VILLAS DEL OESTE,00000816 M,2,16,00014357 F,00014364 F,080006A0054 C,,,SDE,2019-01-30 19:15:02,,{E557E6E5-0682-466D-AA2D-73D6FC12F90F},1238.3411865234375,146.70530320560883,"{'rings': [[[487513.03729999997, 1098652.3181999996], [487522.1557, 1098647.4427000005], [487530.95720000006, 1098642.015900001], [487537.8474000003, 1098637.7676], [487535.3435000004, 1098633.7676999997], [487535.4006000003, 1098633.7360999994], [487516.3858000003, 1098603.4842000008], [487512.5279000001, 1098605.9587999992], [487512.34530000016, 1098606.0248000007], [487507.98170000035, 1098607.6008000001], [487506.57770000026, 1098608.1078999992], [487499.19859999977, 1098610.020300001], [487498.17360000033, 1098610.0725999996], [487498.4314000001, 1098612.1873000003], [487498.42819999997, 1098612.1875999998], [487502.6124999998, 1098646.9510999992], [487502.9589999998, 1098649.6676000003], [487503.0005999999, 1098649.6619000006], [487503.91889999993, 1098657.1936000008], [487513.03729999997, 1098652.3181999996]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
187,201,0,CONDOMINIO TENORIO,00000852 M,2,4,00015651 F,00015654 F,080006A0053 C,,,SDE,2019-01-30 19:15:02,,{E2FA6355-2EC7-4010-BAF7-8A190FD2FC96},1283.6800842285156,172.82079601784946,"{'rings': [[[487503.91889999993, 1098657.1936000008], [487498.17360000033, 1098610.0725999996], [487489.67509999964, 1098610.5063000005], [487488.3903000001, 1098610.3469999991], [487487.4534999998, 1098610.2309000008], [487484.0312999999, 1098637.5776000004], [487472.12509999983, 1098638.0538999997], [487469.18489999976, 1098655.6400000006], [487467.5723000001, 1098665.2855999991], [487466.4121000003, 1098672.2249999996], [487467.3685999997, 1098672.2369], [487503.91889999993, 1098657.1936000008]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
188,202,0,CONDOMINO CLAYDERMAN,00000892 M,3,9,00016377 F,00016385 F,08000960011 C,,,SDE,2019-01-30 19:15:02,,{C1AA6636-F221-43EA-8107-FDEFE34E4034},298.77679443359375,97.91860371737799,"{'rings': [[[488126.7265999997, 1099437.3369999994], [488117.0921, 1099410.3698999994], [488114.1632000003, 1099411.5726999994], [488114.56010000035, 1099412.6840000004], [488114.3219999997, 1099412.7369], [488115.00989999995, 1099414.6948000006], [488113.35720000044, 1099415.3146000002], [488108.87150000036, 1099416.9967], [488107.78670000006, 1099413.8746000007], [488106.3315000003, 1099414.3772999998], [488115.97890000045, 1099441.3522999994], [488126.7265999997, 1099437.3369999994]], [[488117.7423999999, 1099422.4448000006], [488114.83189999964, 1099423.5560999997], [488113.9852999998, 1099421.3070999999], [488115.34360000025, 1099420.7324], [488115.3531999998, 1099420.7356000002], [488116.9009999996, 1099420.1561999992], [488117.7423999999, 1099422.4448000006]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
