,OBJECTID,CED_JUR_COND,NOMBRE,MATRIZ,NIVELES,CANT_FF,FF_MENOR,FF_MAYOR,LOCALIZACION,created_user,created_date,last_edited_user,last_edited_date,OBSERVACIONES,GlobalID,SHAPE.STArea(),SHAPE.STLength(),SHAPE
10,11,0,CONDOMINIO OTOYA,00000187 M,3,6,00003313 F,00003318 F,010045 0013 C,,,SDE,2019-01-30 19:14:33,,{8D9FB06B-C2E8-4D1E-B57F-64B6DE8395A8},594.8817749023438,101.11610751694985,"{'rings': [[[492145.7101999996, 1098797.3452000003], [492159.4749999996, 1098812.8915999997], [492180.1437999997, 1098797.1061000004], [492174.8746999996, 1098778.3167000003], [492146.0848000003, 1098797.0011], [492145.7101999996, 1098797.3452000003]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
11,12,0,CONDOMINIO TRAVANCON,00000253 M,0,29,00004211 F,00004241 F,010056 0001 C,,,SDE,2019-01-30 19:14:34,,{BBD76CF6-6A7C-40E1-A18F-77F535CEADD3},557.9175720214844,104.18945396825339,"{'rings': [[[491520.23390000034, 1098935.1870000008], [491530.73199999984, 1098934.4262000006], [491530.28670000006, 1098926.9118000008], [491533.91110000014, 1098926.7204999998], [491533.9751000004, 1098928.2047000006], [491540.2865000004, 1098927.7606000006], [491538.6376, 1098904.702299999], [491536.5736999996, 1098903.1733999997], [491526.88900000043, 1098904.8396000005], [491516.70440000016, 1098906.5999999996], [491519.2187999999, 1098920.6272], [491520.23390000034, 1098935.1870000008]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
12,13,0,CONDOMINIO ARANJUEZ,00000282 M,3,6,00004585 F,00004590 F,010078 0009 C,,,SDE,2019-01-30 19:14:34,,{F12C132F-AC7D-4E71-98B2-8C7EEA547C42},564.7176208496094,95.99917503563384,"{'rings': [[[492440.7488000002, 1098685.33], [492458.61400000006, 1098677.7808999997], [492450.71270000003, 1098651.7763], [492430.0990000004, 1098660.4531999994], [492440.7488000002, 1098685.33]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
13,14,0,CONDOMINIO ANDROS,00000359 M,0,10,00005397 F,00005406 F,010081 00061C,,,SDE,2019-01-30 19:14:34,,{4E97525A-5215-4042-841D-CC0F7D76452B},602.7853698730469,105.05144702316565,"{'rings': [[[492972.6925999997, 1098566.9582000002], [492989.6886, 1098564.9250000007], [492985.1520999996, 1098529.5429999996], [492970.5931000002, 1098531.4330000002], [492968.53110000025, 1098531.7007999998], [492972.6925999997, 1098566.9582000002]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
14,15,0,CONDOMINIO CENTRO COMERCIAL LA ESTACION,00000642 M,1,13,00010066 F,00010078 F,010026 0009 C,,,SDE,2019-01-30 19:14:35,,{33D11D9A-DE39-4285-97E1-45DD6F72CEDA},575.9523620605469,98.8372765596286,"{'rings': [[[492386.7938000001, 1098483.673800001], [492387.7446999997, 1098488.1489000004], [492388.7725999998, 1098492.9860999994], [492389.1803000001, 1098494.9045000002], [492389.8262, 1098497.7970000003], [492391.0011, 1098503.0580000002], [492391.11679999996, 1098503.3502999991], [492392.84609999973, 1098507.7205999997], [492394.58609999996, 1098512.1176999994], [492396.3898, 1098516.6758999992], [492401.1684999997, 1098514.7654], [492409.20189999975, 1098511.5537], [492413.94299999997, 1098509.6582999993], [492413.5044999998, 1098508.6432000007], [492412.28949999996, 1098505.4154000003], [492410.5767999999, 1098500.8654999994], [492408.7385999998, 1098495.9822000004], [492406.98199999984, 1098491.3156000003], [492405.2324999999, 1098486.6678999998], [492403.91640000045, 1098483.171599999], [492396.04590000026, 1098483.4024999999], [492392.6694, 1098483.5014999993], [492386.7938000001, 1098483.673800001]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
15,16,0,CONDOMINIO CRISTAL,00000735 M,5,88,00011950 F,00034919 F,010002 0009 C,,,SDE,2019-01-30 19:14:35,,{E0A25FDA-25D8-4C5D-BAE1-C63274428BB8},1343.2406311035156,147.2003061156531,"{'rings': [[[491453.9994000001, 1098524.2379], [491454.3794999998, 1098529.2214000002], [491464.0025000004, 1098528.2739000004], [491484.74810000043, 1098526.2524999995], [491494.37119999994, 1098525.3988000005], [491493.5480000004, 1098515.0256999992], [491493.0406999998, 1098508.0113999993], [491492.7281999998, 1098508.0117000006], [491491.84640000015, 1098501.4196000006], [491491.534, 1098501.4199], [491490.27699999977, 1098494.6095000003], [491468.02830000035, 1098493.5702999998], [491456.6534000002, 1098492.5042000003], [491451.5292999996, 1098492.7751000002], [491453.9994000001, 1098524.2379]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
16,18,0,CONDONIMIO EBALAR,00001487 M,0,19,00030163 F,00030181 F,010037 0001 C,,,SDE,2019-01-30 19:14:35,,{665B200A-DD9D-488A-9AE5-C6F6439A94A8},808.8652648925781,116.8958447745052,"{'rings': [[[491422.5602000002, 1098758.7766999993], [491445.0563000003, 1098757.3939999994], [491444.92360000033, 1098750.0355999991], [491442.28309999965, 1098734.8837000001], [491443.28280000016, 1098734.7421000004], [491442.7170000002, 1098731.4617999997], [491443.2167999996, 1098731.3674999997], [491442.0854000002, 1098725.1505999994], [491441.76999999955, 1098722.2918999996], [491417.0274, 1098726.832800001], [491422.5602000002, 1098758.7766999993]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
17,19,0,CONDOMINIO RESIDENSIAL AZUR,00000302 M,0,8,00004962 F,00004969 F,010060 0012 C,,,SDE,2019-01-30 19:14:36,,{95F5A531-6DDE-4AA6-9721-1E42D06E3BBC},732.6327209472656,111.46661266147791,"{'rings': [[[491932.01350000035, 1098886.1526999995], [491937.13790000044, 1098886.0848999992], [491958.9554000003, 1098884.4386], [491959.6962000001, 1098884.4052000009], [491967.6048999997, 1098882.4825999998], [491963.3809000002, 1098861.2190000005], [491928.2673000004, 1098868.5048999991], [491932.01350000035, 1098886.1526999995]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
18,20,0,CONDOMINIO LOLITA,00000582 M,0,16,00008971 F,00008986 F,010016 0006 C,,,SDE,2019-01-30 19:14:36,,{7EF33AD0-E892-4BCC-99AF-5E6AB2E6250A},775.9307250976562,125.33736791541148,"{'rings': [[[492908.7648, 1098270.9946999997], [492924.7603000002, 1098268.3845000006], [492919.6727, 1098243.7986999992], [492916.65160000045, 1098223.3509999998], [492898.2832000004, 1098227.7916], [492908.7648, 1098270.9946999997]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
19,21,0,CONDOMINIO SERSE,00001011 M,3,15,00019016 F,00019030 F,010054 0009 C,,,SDE,2019-01-30 19:14:36,,{67818CAA-FD14-49B8-94D2-495B65A7FBA1},173.84268188476562,55.25874697316341,"{'rings': [[[492090.39630000014, 1098790.2787999995], [492103.1425000001, 1098787.9688000008], [492101.57070000004, 1098778.9714000002], [492094.7558000004, 1098775.8850999996], [492093.3800999997, 1098775.1053999998], [492087.6281000003, 1098772.6428999994], [492090.39630000014, 1098790.2787999995]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
