,OBJECTID,ENTIDAD,SUBCATEGORIA,CATEGORIA,NOMBRE,ABREVIADO,TIPO_SEDE,ID_DISTRITO,OBSER_INSTITUCION,SHAPE
10,11,GOBIERNO,PRESIDENCIA DE LA REPÚBLICA,PODER EJECUTIVO,MINISTERIO DE OBRAS PÚBLICAS Y TRANSPORTES,MOPT,OFICINAS ADMINISTRATIVAS,5, ,"{'rings': [[[492495.0722000003, 1096609.2191000003], [492492.70999999996, 1096604.5654000007], [492494.59640000015, 1096603.6236000005], [492492.3822999997, 1096599.1064], [492490.5072999997, 1096600.0064000003], [492488.8169999998, 1096596.3695], [492490.59300000034, 1096595.4557000007], [492487.7400000002, 1096589.6350999996], [492481.81850000005, 1096591.2005000003], [492478.07180000003, 1096592.1908999998], [492478.4184999997, 1096592.7325999998], [492477.13790000044, 1096593.2448999994], [492478.67459999956, 1096596.7281], [492479.5965999998, 1096596.4207000006], [492482.15780000016, 1096600.8772], [492481.13329999987, 1096601.4919000007], [492482.8236999996, 1096604.7190000005], [492484.05310000014, 1096604.3605000004], [492484.3092, 1096605.3849999998], [492483.3360000001, 1096605.8971999995], [492484.9238999998, 1096608.7656999994], [492486.15330000035, 1096608.3047000002], [492487.38269999996, 1096610.7634999994], [492490.5072999997, 1096609.5340999998], [492490.8979000002, 1096610.7213000003], [492495.0722000003, 1096609.2191000003]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
11,12,GOBIERNO,PRESIDENCIA DE LA REPÚBLICA,PODER EJECUTIVO,MINISTERIO DE OBRAS PÚBLICAS Y TRANSPORTES,MOPT,OFICINAS ADMINISTRATIVAS,5, ,"{'rings': [[[492469.90950000007, 1096579.8642999995], [492471.4519999996, 1096579.2094999999], [492471.75939999986, 1096579.8753999993], [492470.27890000027, 1096580.6552000009], [492471.88460000046, 1096584.0923999995], [492473.8082999997, 1096583.205], [492474.11569999997, 1096584.0757999998], [492472.7838000003, 1096584.7416999992], [492474.5253999997, 1096588.1225000005], [492475.8060999997, 1096587.610200001], [492476.2670999998, 1096588.3785999995], [492475.0377000002, 1096588.9933000002], [492476.5744000003, 1096591.9642999992], [492477.59889999963, 1096591.4519999996], [492478.07180000003, 1096592.1908999998], [492481.81850000005, 1096591.2005000003], [492487.7400000002, 1096589.6350999996], [492481.3114, 1096571.6362999994], [492480.3141000001, 1096568.8441000003], [492468.0851999996, 1096573.260399999], [492469.3596000001, 1096576.0284000002], [492468.26609999966, 1096576.3465], [492469.90950000007, 1096579.8642999995]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
12,13,GOBIERNO,PRESIDENCIA DE LA REPÚBLICA,PODER EJECUTIVO,MINISTERIO DE OBRAS PÚBLICAS Y TRANSPORTES,MOPT,OFICINAS ADMINISTRATIVAS,5, ,"{'rings': [[[492546.6021999996, 1096545.978599999], [492537.0432000002, 1096549.519200001], [492544.41920000035, 1096567.2156000007], [492546.07710000034, 1096566.6673000008], [492553.4382999996, 1096564.2328999992], [492553.75349999964, 1096564.1260000002], [492546.6021999996, 1096545.978599999]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
13,14,GOBIERNO,INSTITUCIÓN AUTÓNOMA,SECTOR PÚBLICO DESCENTRALIZADO,INSTITUTO COSTARRICENSE DE ELECTRICIDAD,ICE,OFICINAS ADMINISTRATIVAS,5, ,"{'rings': [[[493862.5998999998, 1097516.8526000008], [493869.83249999955, 1097513.5144999996], [493872.9177000001, 1097514.6777999997], [493874.53610000014, 1097511.7443000004], [493875.61840000004, 1097511.7524999995], [493877.8607999999, 1097505.1958000008], [493880.5828, 1097497.0357000008], [493864.00370000023, 1097490.696799999], [493858.09860000014, 1097487.9729999993], [493852.5351, 1097493.3848], [493856.5092000002, 1097503.2646999992], [493862.5998999998, 1097516.8526000008]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
14,15,GOBIERNO,ÓRGANO DESCONCENTRADO (MH),ÓRGANOS DESCONCENTRADOS (MH),REGISTRO NACIONAL,REGISTRO NACIONAL,OFICINAS ADMINISTRATIVAS,5, ,"{'rings': [[[494439.9820999997, 1096862.8319000006], [494431.8328999998, 1096850.2377000004], [494427.7054000003, 1096852.2485000007], [494419.55620000046, 1096838.2785], [494410.7549999999, 1096843.9564999994], [494416.1787999999, 1096853.4752999991], [494417.0248999996, 1096853.9197000004], [494418.92119999975, 1096852.8835000005], [494437.3015999999, 1096864.570699999], [494439.9820999997, 1096862.8319000006]], [[494442.7337999996, 1096848.0152000003], [494434.2670999998, 1096833.0927000009], [494426.5943999998, 1096837.507099999], [494434.7586000003, 1096852.4290999994], [494442.7337999996, 1096848.0152000003]], [[494452.21889999975, 1096867.1552000009], [494446.82270000037, 1096863.7961], [494444.5898000002, 1096867.1558999997], [494444.32129999995, 1096867.5600000005], [494469.40380000044, 1096883.0461], [494471.62629999965, 1096879.2360999994], [494452.21889999975, 1096867.1552000009]], [[494452.9332999997, 1096842.0895000007], [494445.60140000004, 1096825.9855000004], [494442.8395999996, 1096827.1659999993], [494450.0362999998, 1096842.9352000002], [494452.9332999997, 1096842.0895000007]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
15,16,GOBIERNO,PRESIDENCIA DE LA REPÚBLICA,PODER EJECUTIVO,MINISTERIO DE SEGURIDAD PÚBLICA,MSP,OFICINAS ADMINISTRATIVAS,5, ,"{'rings': [[[492335.60979999974, 1096715.0822], [492339.1024000002, 1096707.6208999995], [492351.64360000007, 1096713.8122000005], [492363.3912000004, 1096693.6509000007], [492349.10360000003, 1096687.9359000009], [492356.08860000037, 1096673.9659000002], [492343.0711000003, 1096667.7745999992], [492322.3496000003, 1096708.7605000008], [492335.60979999974, 1096715.0822]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
16,17,GOBIERNO,PRESIDENCIA DE LA REPÚBLICA,PODER EJECUTIVO,MINISTERIO DE SEGURIDAD PÚBLICA,MSP,OFICINAS ADMINISTRATIVAS,5, ,"{'rings': [[[492400.5387000004, 1096693.6509000007], [492399.11000000034, 1096667.6158000007], [492371.9637000002, 1096668.5682999995], [492373.36259999964, 1096695.3025000002], [492400.5387000004, 1096693.6509000007]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
17,18,GOBIERNO,PRESIDENCIA DE LA REPÚBLICA,PODER EJECUTIVO,MINISTERIO DE SEGURIDAD PÚBLICA,MSP,OFICINAS ADMINISTRATIVAS,5, ,"{'rings': [[[492323.4283999996, 1096675.3099000007], [492325.1322999997, 1096671.9021000005], [492333.5357999997, 1096676.1831], [492334.6255999999, 1096673.976399999], [492324.9946999997, 1096669.1081000008], [492326.6880999999, 1096665.6155999992], [492337.48309999984, 1096670.9072999991], [492340.76389999967, 1096663.8164000008], [492323.5131000001, 1096655.2438999992], [492318.64470000006, 1096665.827299999], [492319.9146999996, 1096666.5680999998], [492316.7396999998, 1096671.8597999997], [492323.4283999996, 1096675.3099000007]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
18,19,GOBIERNO,PRESIDENCIA DE LA REPÚBLICA,PODER EJECUTIVO,MINISTERIO DE SEGURIDAD PÚBLICA,MSP,OFICINAS ADMINISTRATIVAS,5, ,"{'rings': [[[492352.0881000003, 1096667.9439000003], [492354.31060000043, 1096663.1813999992], [492357.16810000036, 1096664.5572999995], [492363.2006999999, 1096652.2806000002], [492345.56180000026, 1096643.8811000008], [492338.22389999963, 1096658.9481000006], [492342.1398, 1096660.6414], [492341.3989000004, 1096662.6522000004], [492352.0881000003, 1096667.9439000003]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
19,20,GOBIERNO,PRESIDENCIA DE LA REPÚBLICA,PODER EJECUTIVO,MINISTERIO DE SEGURIDAD PÚBLICA,MSP,OFICINAS ADMINISTRATIVAS,5, ,"{'rings': [[[492448.2951999996, 1096641.9397], [492447.1046000002, 1096614.4891999997], [492419.8212000001, 1096615.6641000006], [492421.3076999998, 1096643.1964999996], [492448.2951999996, 1096641.9397]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
