,OBJECTID,ENTIDAD,SUBCATEGORIA,CATEGORIA,NOMBRE,ABREVIADO,TIPO_SEDE,ID_DISTRITO,OBSER_INSTITUCION,SHAPE
65,71,GOBIERNO,INSTITUCIÓN AUTÓNOMA,SECTOR PÚBLICO DESCENTRALIZADO,CONSEJO NACIONAL DE PRODUCCIÓN,CNP,OFICINAS ADMINISTRATIVAS,3, ,"{'rings': [[[489483.0893000001, 1098004.9357999992], [489482.4593000002, 1098002.3858000003], [489491.5692999996, 1098000.1358000003], [489492.1593000004, 1098002.6757999994], [489507.55929999985, 1097999.0458000004], [489506.8217000002, 1097996.1698000003], [489510.61930000037, 1097995.1958000008], [489511.6693000002, 1097999.9758000001], [489523.12930000015, 1097997.1657999996], [489521.94930000044, 1097992.4758000001], [489531.2059000004, 1097990.2465000004], [489525.69489999954, 1097967.8443], [489461.7893000003, 1097983.5558000002], [489452.3872999996, 1097985.866800001], [489452.3877999997, 1097985.8690000009], [489458.10929999966, 1098009.1458], [489458.57550000027, 1098011.0108000003], [489458.5887000002, 1098011.0659999996], [489483.0893000001, 1098004.9357999992]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
66,72,GOBIERNO,INSTITUCIÓN AUTÓNOMA,SECTOR PÚBLICO DESCENTRALIZADO,CONSEJO NACIONAL DE PRODUCCIÓN,CNP,OFICINAS ADMINISTRATIVAS,3, ,"{'rings': [[[489567.9400000004, 1098022.796599999], [489565.7945999997, 1098017.4825999998], [489568.17200000025, 1098016.4123999998], [489552.6046000002, 1097979.8099000007], [489549.84449999966, 1097979.8099000007], [489547.41920000035, 1097974.5617999993], [489537.94209999964, 1097978.5313000008], [489540.24069999997, 1097984.019200001], [489537.7655999996, 1097985.0062000006], [489553.8088999996, 1098022.7961999997], [489556.4935999997, 1098021.6564000007], [489558.5883999998, 1098026.8662], [489567.9400000004, 1098022.796599999]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
67,73,GOBIERNO,INSTITUCIÓN AUTÓNOMA,SECTOR PÚBLICO DESCENTRALIZADO,CONSEJO NACIONAL DE PRODUCCIÓN,CNP,OFICINAS ADMINISTRATIVAS,3, ,"{'rings': [[[489484.3706, 1098055.6717000008], [489519.83189999964, 1098036.3348999992], [489506.4028000003, 1098011.3772], [489473.7466000002, 1098029.2540000007], [489471.14269999973, 1098024.1799999997], [489464.8822999997, 1098027.3710999992], [489479.4665999999, 1098057.2919999994], [489484.03550000023, 1098055.0654000007], [489484.3706, 1098055.6717000008]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
68,74,GOBIERNO,INSTITUCIÓN AUTÓNOMA,SECTOR PÚBLICO DESCENTRALIZADO,CONSEJO NACIONAL DE PRODUCCIÓN,CNP,OFICINAS ADMINISTRATIVAS,3, ,"{'rings': [[[489585.96050000004, 1098048.5318999998], [489575.30929999985, 1098023.7289000005], [489555.37129999977, 1098034.4957999997], [489568.1300999997, 1098058.2211000007], [489585.96050000004, 1098048.5318999998]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
69,75,GOBIERNO,INSTITUCIÓN AUTÓNOMA,SECTOR PÚBLICO DESCENTRALIZADO,JUNTA DE PROTECCIÓN SOCIAL,JPS,DEPARTAMENTO DE INSPECTORES,3, ,"{'rings': [[[490164.2117999997, 1098033.7215], [490160.64919999987, 1098022.9969999995], [490156.00150000025, 1098024.8267], [490156.3192999996, 1098025.7326999996], [490154.76609999966, 1098026.4417000003], [490154.40249999985, 1098025.4831000008], [490147.1749, 1098028.4221], [490147.5332000004, 1098029.3877000008], [490146.2697999999, 1098029.9384000003], [490152.0860000001, 1098046.9048999995], [490153.4194, 1098050.7880000006], [490156.0658999998, 1098058.5044999998], [490160.49739999976, 1098071.4385000002], [490174.8272000002, 1098065.6360999998], [490173.19489999954, 1098060.7269000001], [490171.6497999998, 1098056.0885000005], [490170.9157999996, 1098053.886], [490167.2198000001, 1098042.7631], [490164.2117999997, 1098033.7215]], [[490179.53089999966, 1098079.9558000006], [490177.3638000004, 1098073.3435999993], [490163.6508999998, 1098078.8906999994], [490165.27639999986, 1098082.6950000003], [490166.9528000001, 1098085.0832000002], [490179.53089999966, 1098079.9558000006]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
70,76,GOBIERNO,INSTITUCIÓN AUTÓNOMA,SECTOR PÚBLICO DESCENTRALIZADO,CONSEJO NACIONAL DE PRODUCCIÓN,CNP,OFICINAS ADMINISTRATIVAS,3, ,"{'rings': [[[489442.55929999985, 1098077.9957999997], [489444.091, 1098077.1448999997], [489444.4693, 1098077.8257999998], [489464.18929999974, 1098066.8257999998], [489462.56429999974, 1098063.4965000004], [489463.6392999999, 1098062.9157999996], [489459.37930000015, 1098055.2258000001], [489453.8997999998, 1098045.3366999999], [489453.4593000002, 1098045.5808000006], [489453.06549999956, 1098045.8001000006], [489451.35929999966, 1098042.7358], [489449.8431000002, 1098043.5582999997], [489446.80929999985, 1098037.9658000004], [489432.9693, 1098045.4458000008], [489435.79279999994, 1098050.6796000004], [489431.49930000026, 1098052.9957999997], [489432.57930000033, 1098060.1158000007], [489442.55929999985, 1098077.9957999997]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
71,77,GOBIERNO,INSTITUCIÓN AUTÓNOMA,SECTOR PÚBLICO DESCENTRALIZADO,CONSEJO NACIONAL DE PRODUCCIÓN,CNP,OFICINAS ADMINISTRATIVAS,3, ,"{'rings': [[[489501.00930000003, 1098090.2258000001], [489552.68929999974, 1098061.8658000007], [489539.7093000002, 1098040.8858000003], [489489.1492999997, 1098068.5258000009], [489501.00930000003, 1098090.2258000001]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
72,78,GOBIERNO,INSTITUCIÓN AUTÓNOMA,SECTOR PÚBLICO DESCENTRALIZADO,CONSEJO NACIONAL DE PRODUCCIÓN,CNP,OFICINAS ADMINISTRATIVAS,3, ,"{'rings': [[[489480.4593000002, 1098102.2158000004], [489485.59020000044, 1098111.8774999995], [489492.25930000003, 1098108.3357999995], [489487.05929999985, 1098098.5358000007], [489487.73929999955, 1098098.1557999998], [489477.85929999966, 1098080.4558000006], [489466.9792999998, 1098086.5258000009], [489468.8446000004, 1098089.8653999995], [489466.29229999986, 1098091.2909999993], [489470.1501000002, 1098098.1371999998], [489472.84530000016, 1098096.6325000003], [489477.0292999996, 1098104.1358000003], [489478.74430000037, 1098103.1757999994], [489480.4593000002, 1098102.2158000004]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
73,79,GOBIERNO,INSTITUCIÓN AUTÓNOMA,SECTOR PÚBLICO DESCENTRALIZADO,CONSEJO NACIONAL DE PRODUCCIÓN,CNP,OFICINAS ADMINISTRATIVAS,3, ,"{'rings': [[[489568.99930000026, 1098115.4057999998], [489560.89080000017, 1098099.7301000003], [489566.24909999967, 1098096.9580000006], [489567.0893000001, 1098098.5558000002], [489569.00829999987, 1098097.3576999996], [489568.1392999999, 1098095.9658000004], [489571.21279999986, 1098094.3482000008], [489566.6599000003, 1098085.4655000009], [489564.2292999998, 1098080.9357999992], [489563.5692999996, 1098081.2858000007], [489529.0393000003, 1098100.0157999992], [489536.0992999999, 1098112.9858], [489546.7193, 1098107.7758000009], [489552.31740000006, 1098104.7268000003], [489555.70409999974, 1098110.759299999], [489550.1118999999, 1098113.8390999995], [489554.7093000002, 1098122.0558000002], [489555.18929999974, 1098122.9157999996], [489568.99930000026, 1098115.4057999998]], [[489529.60929999966, 1098116.2657999992], [489534.2292999998, 1098113.6458], [489532.75930000003, 1098110.9658000004], [489527.67260000017, 1098101.7678999994], [489523.10929999966, 1098104.3457999993], [489526.0192999998, 1098109.7158000004], [489522.48950000014, 1098111.5262000002], [489524.5493000001, 1098115.6857999992], [489528.2993000001, 1098113.7358], [489529.60929999966, 1098116.2657999992]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
74,80,GOBIERNO,INSTITUCIÓN AUTÓNOMA,SECTOR PÚBLICO DESCENTRALIZADO,CONSEJO NACIONAL DE PRODUCCIÓN,CNP,OFICINAS ADMINISTRATIVAS,3, ,"{'rings': [[[489451.0692999996, 1098130.3858000003], [489459.9693, 1098125.2557999995], [489458.94930000044, 1098123.0358000007], [489460.05929999985, 1098122.5258000009], [489457.82930000033, 1098118.5857999995], [489456.60929999966, 1098119.3357999995], [489456.18929999974, 1098118.7858000007], [489447.5493000001, 1098123.5957999993], [489450.89300000016, 1098130.0458000004], [489451.0692999996, 1098130.3858000003]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
75,81,GOBIERNO,INSTITUCIÓN AUTÓNOMA,SECTOR PÚBLICO DESCENTRALIZADO,CONSEJO NACIONAL DE PRODUCCIÓN,CNP,OFICINAS ADMINISTRATIVAS,3, ,"{'rings': [[[489488.0493000001, 1098142.6557999998], [489495.3962000003, 1098155.9054000005], [489521.73929999955, 1098141.1557999998], [489521.2193, 1098140.1358000003], [489522.48929999955, 1098139.4558000006], [489520.8393000001, 1098136.2958000004], [489519.9093000004, 1098134.3457999993], [489520.29009999987, 1098133.9037999995], [489518.22530000005, 1098130.0458000004], [489516.34300000034, 1098130.8422999997], [489514.7093000002, 1098127.8058000002], [489488.0493000001, 1098142.6557999998]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
76,82,GOBIERNO,PRESIDENCIA DE LA REPÚBLICA,PODER EJECUTIVO,MINISTERIO DE SALUD,MINISTERIO DE SALUD,OFICINAS ADMINISTRATIVAS,3, ,"{'rings': [[[490534.8729999997, 1098177.4222999997], [490534.6842, 1098173.2891000006], [490534.67590000015, 1098173.2892000005], [490534.6229999997, 1098169.644200001], [490530.3092, 1098169.7434999999], [490528.94120000023, 1098169.7753999997], [490528.9308000002, 1098170.8342000004], [490526.93369999994, 1098170.8822000008], [490526.9475999996, 1098171.4414000008], [490527.0898000002, 1098177.1828000005], [490528.3487999998, 1098177.1713999994], [490528.6517000003, 1098194.117900001], [490528.6754999999, 1098195.6557999998], [490530.6727999998, 1098195.6246000007], [490542.4162999997, 1098195.4068], [490554.1599000003, 1098195.1959000006], [490554.0338000003, 1098190.0834], [490554.4615000002, 1098190.0693999995], [490554.2012, 1098182.081700001], [490553.7818999998, 1098182.0954999998], [490553.7243999997, 1098176.8324999996], [490547.35419999994, 1098177.049900001], [490547.13460000046, 1098177.0618999992], [490547.2599999998, 1098182.1044999994], [490534.95720000006, 1098182.3255000003], [490534.8729999997, 1098177.4222999997]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
77,83,GOBIERNO,PRESIDENCIA DE LA REPÚBLICA,PODER EJECUTIVO,MINISTERIO DE SALUD,MINISTERIO DE SALUD,OFICINAS ADMINISTRATIVAS,3, ,"{'rings': [[[490509.9184999997, 1098173.2767999992], [490509.8150000004, 1098160.3399999999], [490504.4572999999, 1098160.4682999998], [490503.6201999998, 1098139.6614999995], [490502.00320000015, 1098139.7760000005], [490495.95239999983, 1098140.0920000002], [490495.95380000025, 1098140.1203000005], [490496.3633000003, 1098140.1165999994], [490496.3766999999, 1098141.6045999993], [490497.44799999986, 1098173.9649999999], [490509.9184999997, 1098173.2767999992]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
78,84,GOBIERNO,PRESIDENCIA DE LA REPÚBLICA,PODER EJECUTIVO,MINISTERIO DE HACIENDA,MINISTERIO DE HACIENDA,DIVISIÓN DE ADEUDOS ESTATALES,3,Piso 4,"{'rings': [[[489967.9916000003, 1098249.7278000005], [489969.99590000045, 1098248.2665], [489967.0632999996, 1098216.6171000004], [489948.0245000003, 1098218.5669], [489946.13850000035, 1098218.7536999993], [489947.1420999998, 1098229.2416999992], [489943.94880000036, 1098229.5502000004], [489944.9135999996, 1098240.1582999993], [489948.59559999965, 1098239.7754999995], [489948.7428000001, 1098242.8103999998], [489949.6880999999, 1098251.2613999993], [489967.9916000003, 1098249.7278000005]], [[489950.4008999998, 1098243.4085000008], [489950.1891999999, 1098240.551000001], [489951.67090000026, 1098240.551000001], [489951.67090000026, 1098238.4343999997], [489954.74010000005, 1098238.2226999998], [489958.7616999997, 1098238.2226999998], [489959.18510000035, 1098240.7627000008], [489959.3967000004, 1098246.9010000005], [489957.91509999987, 1098248.171], [489951.8825000003, 1098248.5943999998], [489951.67090000026, 1098243.6202000007], [489950.4008999998, 1098243.4085000008]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
79,85,GOBIERNO,INSTITUCIÓN AUTÓNOMA,SECTOR PÚBLICO DESCENTRALIZADO,JUNTA DE PROTECCIÓN SOCIAL,JPS,OFICINAS ADMINISTRATIVAS,3, ,"{'rings': [[[490336.99590000045, 1098291.1510000005], [490371.5599999996, 1098286.3742999993], [490371.44379999954, 1098284.5676000006], [490374.5767999999, 1098284.2196999993], [490374.4792999998, 1098283.3716000002], [490377.8728, 1098283.1213000007], [490378.28809999954, 1098285.9739999995], [490383.2577999998, 1098285.5196000002], [490382.9305999996, 1098282.4563999996], [490386.58210000023, 1098282.0239000004], [490386.72530000005, 1098284.6094000004], [490393.2580000004, 1098283.9845000003], [490393.1517000003, 1098282.8734000009], [490400.03550000023, 1098282.0221999995], [490399.71800000034, 1098278.4666000009], [490398.19770000037, 1098265.429300001], [490397.7372000003, 1098259.7805000003], [490391.7927000001, 1098260.5354999993], [490391.50100000016, 1098258.2388000004], [490382.7048000004, 1098259.1017000005], [490383.5022, 1098267.2300000004], [490359.3587999996, 1098270.194599999], [490335.21549999993, 1098273.1592999995], [490336.99590000045, 1098291.1510000005]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
80,86,GOBIERNO,ÓRGANO DESCONCENTRADO (MH),ÓRGANOS DESCONCENTRADOS (MH),DIRECCIÓN NACIONAL DE CENTROS DE EDUCACIÓN Y NUTRICIÓN Y DE CENTROS INFANTILES DE ATENCIÓN INTEGRAL,DIREC. NACIONAL DE CEN-CINAI,OFICINAS CENTRALES,3, ,"{'rings': [[[490607.26999999955, 1098294.2632], [490621.5237999996, 1098292.2069000006], [490622.4989, 1098296.3531], [490627.48280000035, 1098295.6881000008], [490627.25260000024, 1098293.9628999997], [490623.1495000003, 1098294.488], [490622.0351, 1098285.7802000009], [490618.2619000003, 1098286.0240000002], [490618.33380000014, 1098282.9272000007], [490619.6014999999, 1098285.0530999992], [490623.13599999994, 1098284.9312999994], [490623.3635, 1098292.4284000006], [490635.4752000002, 1098292.0609000009], [490635.31709999964, 1098284.5017000008], [490635.7363999998, 1098284.4879], [490637.2204, 1098282.9164000005], [490641.8929000003, 1098282.7244000006], [490642.13040000014, 1098292.4302999992], [490653.33330000006, 1098292.0793999992], [490653.14859999996, 1098283.7913000006], [490654.3668999998, 1098283.770300001], [490653.8605000004, 1098268.6136000007], [490647.7895999998, 1098268.7883000001], [490647.7731999997, 1098270.296599999], [490636.6906000003, 1098270.6963], [490635.13019999955, 1098269.3421], [490619.0362, 1098270.1791999992], [490604.83669999987, 1098272.552100001], [490605.70359999966, 1098278.9662999995], [490607.39109999966, 1098278.7705000006], [490607.5521, 1098280.1580999997], [490605.31769999955, 1098280.4679000005], [490607.26999999955, 1098294.2632]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
81,87,GOBIERNO,PRESIDENCIA DE LA REPÚBLICA,PODER EJECUTIVO,MINISTERIO DE SALUD,MINISTERIO DE SALUD,OFICINAS ADMINISTRATIVAS,3, ,"{'rings': [[[490518.78500000015, 1098225.2086999994], [490518.60059999954, 1098215.4148999993], [490525.9863, 1098215.2758000009], [490526.79480000027, 1098215.2541000005], [490526.8102000002, 1098215.8277000003], [490529.2971999999, 1098215.8352000006], [490529.4620000003, 1098215.2743999995], [490535.97310000006, 1098215.1856999993], [490535.65720000025, 1098200.1171000004], [490530.7440999998, 1098200.1938000005], [490524.2226999998, 1098200.260399999], [490517.6715000002, 1098200.3395000007], [490517.6442, 1098197.3235], [490512.41110000014, 1098197.3706999999], [490512.4442999996, 1098200.3967000004], [490505.1983000003, 1098200.4921000004], [490505.3706, 1098206.3033000007], [490504.84140000027, 1098206.3180999998], [490504.5769999996, 1098198.0506999996], [490499.2154000001, 1098198.2489999998], [490499.6207999997, 1098215.4940000009], [490499.69739999995, 1098218.4396000002], [490499.7396, 1098222.014799999], [490500.54849999957, 1098221.9976000004], [490500.6616000002, 1098225.3510999996], [490518.78500000015, 1098225.2086999994]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
82,88,GOBIERNO,INSTITUCIÓN AUTÓNOMA,SECTOR PÚBLICO DESCENTRALIZADO,JUNTA DE PROTECCIÓN SOCIAL,JPS,OFICINAS ADMINISTRATIVAS,3, ,"{'rings': [[[490358.84509999957, 1098288.5165999997], [490358.83380000014, 1098288.3669000007], [490343.7193999998, 1098290.2412999999], [490344.2712000003, 1098294.9308000002], [490345.00939999986, 1098294.8439000007], [490347.37540000025, 1098316.8354000002], [490346.7768000001, 1098316.9107000008], [490346.8903999999, 1098317.3290999997], [490351.1562000001, 1098316.854699999], [490351.68120000046, 1098321.5003999993], [490352.6102, 1098321.4024], [490348.2977999998, 1098324.977], [490348.61230000015, 1098326.261499999], [490349.00769999996, 1098331.6921999995], [490354.81290000025, 1098334.1667], [490356.60309999995, 1098332.8981999997], [490357.26690000016, 1098333.8348999992], [490359.4397999998, 1098332.2471999992], [490359.9040000001, 1098333.0053000003], [490362.1607999997, 1098331.6234000009], [490362.70830000006, 1098332.5273000002], [490367.3411999997, 1098329.0596999992], [490366.7899000002, 1098323.3117999993], [490360.4721999997, 1098320.4824], [490359.9310999997, 1098315.863], [490367.61369999964, 1098314.9945999999], [490374.9051999999, 1098313.9399999995], [490372.66330000013, 1098294.6241999995], [490373.5323000001, 1098292.4289999995], [490364.67009999976, 1098288.7536999993], [490364.50129999965, 1098287.7664], [490358.84509999957, 1098288.5165999997]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
83,89,GOBIERNO,INSTITUCIÓN AUTÓNOMA,SECTOR PÚBLICO DESCENTRALIZADO,JUNTA DE PROTECCIÓN SOCIAL,JPS,ASOCIACIÓN,3, ,"{'rings': [[[490431.20189999975, 1098337.8614000008], [490429.73220000044, 1098325.5298999995], [490428.56429999974, 1098315.6526999995], [490423.6657999996, 1098274.2281999998], [490406.7026000004, 1098276.3092999998], [490406.8568000002, 1098277.5659999996], [490412.03309999965, 1098320.4788000006], [490416.0889999997, 1098319.9901], [490417.79110000003, 1098334.0417999998], [490418.45239999983, 1098333.9615000002], [490419.3104999997, 1098339.4069999997], [490431.20189999975, 1098337.8614000008]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
84,90,GOBIERNO,INSTITUCIÓN AUTÓNOMA,SECTOR PÚBLICO DESCENTRALIZADO,INSTITUTO NACIONAL DE SEGUROS,INS,OFICINAS ADMINISTRATIVAS,3, ,"{'rings': [[[490830.7291000001, 1098428.6665000003], [490831.30289999954, 1098442.4743000008], [490831.3158999998, 1098442.8037], [490833.30480000004, 1098442.9156], [490833.3870000001, 1098444.2831999995], [490831.37179999985, 1098444.2914000005], [490831.6730000004, 1098452.4485999998], [490841.31740000006, 1098452.0418999996], [490852.1098999996, 1098451.5848999992], [490854.16669999994, 1098451.5064000003], [490855.5991000002, 1098450.8641999997], [490854.8189000003, 1098429.7273999993], [490854.59449999966, 1098428.6506999992], [490853.3521999996, 1098427.1239], [490851.9790000003, 1098426.5769999996], [490850.9051999999, 1098426.5667000003], [490830.7291000001, 1098428.6665000003]], [[490841.67399999965, 1098446.1859000009], [490838.7997000003, 1098446.421599999], [490838.7061999999, 1098441.5984000005], [490839.5351, 1098441.5875000004], [490839.44010000024, 1098434.3906999994], [490844.9386, 1098433.8716000002], [490848.60309999995, 1098437.0844999999], [490848.5892000003, 1098443.2870000005], [490841.6294999998, 1098443.4696999993], [490841.67399999965, 1098446.1859000009]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
85,92,GOBIERNO,INSTITUCIÓN AUTÓNOMA,SECTOR PÚBLICO DESCENTRALIZADO,INSTITUTO NACIONAL DE SEGUROS,INS,OFICINA ADMINISTRATIVA (SUCURSAL),3, ,"{'rings': [[[490832.6375000002, 1098482.9421999995], [490830.4707000004, 1098482.9916999992], [490830.6173999999, 1098485.9667000007], [490830.85780000035, 1098490.4690000005], [490855.24760000035, 1098488.2511999998], [490856.8947999999, 1098485.9591000006], [490855.8504999997, 1098457.6934999991], [490852.15380000044, 1098457.7668999992], [490846.7133999998, 1098457.8659000006], [490841.3909, 1098457.9638999999], [490832.0739000002, 1098458.1379000004], [490832.6375000002, 1098482.9421999995]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
86,93,GOBIERNO,ÓRGANO DESCONCENTRADO (MH),ÓRGANOS DESCONCENTRADOS (MH),REGISTRO NACIONAL,REGISTRO NACIONAL,SEDE REGIONAL,3, ,"{'rings': [[[489392.4193000002, 1098609.6158000007], [489391.55929999985, 1098600.0857999995], [489391.07930000033, 1098594.7958000004], [489391.07600000035, 1098594.7591999993], [489390.0692999996, 1098583.5857999995], [489389.7232999997, 1098580.2706000004], [489373.7692999998, 1098581.9357999992], [489374.43929999974, 1098589.3357999995], [489374.7792999996, 1098593.105799999], [489375.5692999996, 1098601.9057999998], [489376.4193000002, 1098611.2758000009], [489392.4193000002, 1098609.6158000007]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
87,94,GOBIERNO,PRESIDENCIA DE LA REPÚBLICA,PODER EJECUTIVO,MINISTERIO DE HACIENDA,MINISTERIO DE HACIENDA,DIRECCIÓN GENERAL DE PRESUPUESTO NACIONAL,3, ,"{'rings': [[[489409.6786000002, 1098615.2959000003], [489408.74930000026, 1098604.9758000001], [489408.5893000001, 1098603.1458], [489408.58770000003, 1098603.1278000008], [489408.2093000002, 1098598.9957999997], [489408.1593000004, 1098598.4658000004], [489405.4593000002, 1098598.7457999997], [489404.9757000003, 1098593.2948000003], [489407.6693000002, 1098593.0558000002], [489407.11930000037, 1098586.8858000003], [489406.6593000004, 1098581.8658000007], [489390.0692999996, 1098583.5857999995], [489391.07600000035, 1098594.7591999993], [489393.99930000026, 1098594.4957999997], [489394.4792999998, 1098599.7858000007], [489391.55929999985, 1098600.0857999995], [489392.4193000002, 1098609.6158000007], [489393.0881000003, 1098617.0229000002], [489393.9283999996, 1098616.9470000006], [489394.0192999998, 1098617.8058000002], [489409.11930000037, 1098616.2358], [489409.0493000001, 1098615.3658000007], [489409.6786000002, 1098615.2959000003]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
88,95,GOBIERNO,INSTITUCIÓN AUTÓNOMA,SECTOR PÚBLICO DESCENTRALIZADO,CONSEJO NACIONAL DE PRODUCCIÓN,CNP,OFICINAS ADMINISTRATIVAS,3, ,"{'rings': [[[489603.93929999974, 1098090.2657999992], [489601.07930000033, 1098083.7358], [489595.5399000002, 1098070.8355], [489587.94930000044, 1098053.1657999996], [489578.85929999966, 1098058.1757999994], [489582.15670000017, 1098063.8867000006], [489579.8892999999, 1098065.1958000008], [489576.5192999998, 1098058.9658000004], [489566.69930000044, 1098064.6857999992], [489570.0292999996, 1098070.5957999993], [489569.0893000001, 1098071.1857999992], [489571.86930000037, 1098076.2358], [489575.2993000001, 1098074.3758000005], [489575.6805999996, 1098075.0881999992], [489576.2045, 1098074.8078000005], [489577.92929999996, 1098078.0658], [489576.8992999997, 1098078.5757999998], [489577.92929999996, 1098080.4957999997], [489572.68429999985, 1098083.3707999997], [489572.3992999997, 1098082.3858000003], [489566.6599000003, 1098085.4655000009], [489571.21279999986, 1098094.3482000008], [489571.3672000002, 1098094.2668999992], [489571.2193, 1098093.9858], [489571.30289999954, 1098093.9421999995], [489575.18929999974, 1098091.9157999996], [489575.6612, 1098092.7894000001], [489577.3892999999, 1098091.855799999], [489577.0393000003, 1098091.0458000004], [489579.68929999974, 1098089.5558000002], [489580.07930000033, 1098090.4257999994], [489582.3898, 1098089.1681999993], [489592.49930000026, 1098083.6657999996], [489594.3744000001, 1098086.9221], [489595.1492999997, 1098086.4758000001], [489601.2093000002, 1098096.9658000004], [489605.8192999996, 1098094.5458000004], [489603.93929999974, 1098090.2657999992]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
89,96,GOBIERNO,INSTITUCIÓN AUTÓNOMA,SECTOR PÚBLICO DESCENTRALIZADO,JUNTA DE PROTECCIÓN SOCIAL,JPS,CASETA DE SEGURIDAD,3, ,"{'rings': [[[490346.7670999998, 1098354.8553999998], [490359.3348000003, 1098353.929300001], [490358.54110000003, 1098348.1085], [490358.0119000003, 1098342.5522000007], [490350.6035000002, 1098343.8750999998], [490350.3389999997, 1098342.8168000001], [490345.9732999997, 1098343.4782999996], [490346.3701999998, 1098346.7855999991], [490345.57639999967, 1098346.9178999998], [490346.7670999998, 1098354.8553999998]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
90,97,GOBIERNO,PRESIDENCIA DE LA REPÚBLICA,PODER EJECUTIVO,MINISTERIO DE SALUD,MINISTERIO DE SALUD,OFICINAS ADMINISTRATIVAS,3, ,"{'rings': [[[490516.61560000014, 1098171.8936], [490526.9475999996, 1098171.4414000008], [490526.93369999994, 1098170.8822000008], [490528.9308000002, 1098170.8342000004], [490528.94120000023, 1098169.7753999997], [490530.3092, 1098169.7434999999], [490529.88329999987, 1098162.3959999997], [490527.9879999999, 1098129.4837999996], [490514.2862999998, 1098130.2243000008], [490505.6174999997, 1098130.7844999991], [490505.8141999999, 1098134.4359000009], [490508.43570000026, 1098134.2946000006], [490509.8150000004, 1098160.3399999999], [490509.9184999997, 1098173.2767999992], [490510.8646999998, 1098173.2246000003], [490510.8075000001, 1098172.416099999], [490516.61560000014, 1098171.8936]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
91,98,GOBIERNO,PRESIDENCIA DE LA REPÚBLICA,PODER EJECUTIVO,MINISTERIO DE SALUD,MINISTERIO DE SALUD,OFICINAS ADMINISTRATIVAS,3, ,"{'rings': [[[490528.38439999986, 1098267.8113000002], [490531.3476999998, 1098264.9405000005], [490535.15770000033, 1098263.458900001], [490539.81439999957, 1098262.8238999993], [490550.1860999996, 1098262.4004999995], [490556.11280000024, 1098262.6121999994], [490556.11280000024, 1098240.8104999997], [490536.6525999997, 1098241.3529000003], [490530.4260999998, 1098242.521400001], [490524.74629999977, 1098244.3293999992], [490517.7260999996, 1098249.0699000005], [490512.87820000015, 1098252.6001999993], [490528.38439999986, 1098267.8113000002]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
92,99,GOBIERNO,PRESIDENCIA DE LA REPÚBLICA,PODER EJECUTIVO,MINISTERIO DE SALUD,MINISTERIO DE SALUD,OFICINAS ADMINISTRATIVAS,3, ,"{'rings': [[[490513.66029999964, 1098271.4031000007], [490516.95770000014, 1098302.0408999994], [490518.80759999994, 1098301.8504000008], [490517.4127000002, 1098288.9123999998], [490525.88350000046, 1098287.9469000008], [490523.76570000034, 1098266.8921000008], [490513.4201999996, 1098268.1841000002], [490513.66029999964, 1098271.4031000007]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
93,100,GOBIERNO,PRESIDENCIA DE LA REPÚBLICA,PODER EJECUTIVO,MINISTERIO DE SALUD,MINISTERIO DE SALUD,OFICINAS ADMINISTRATIVAS,3, ,"{'rings': [[[490555.1096000001, 1098228.9793999996], [490529.03259999957, 1098230.0859999992], [490529.0270999996, 1098230.1600000001], [490529.1465999996, 1098237.8594000004], [490555.2599999998, 1098237.3838], [490555.1096000001, 1098228.9793999996]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
