,OBJECTID,ID,NOMBRE,CENSO,FINCA,PLANO,created_user,created_date,last_edited_user,last_edited_date,OBSERVACIONES,GlobalID,SHAPE.STArea(),SHAPE.STLength(),SHAPE
0,1,0, ,090424 0001 V, ,,,,114820761,2017-06-13 19:49:00,,{8D14899F-2E90-442D-845A-0C50EF45E04F},236.13143920898438,135.71391549921077,"{'rings': [[[483112.93379999977, 1100739.823999999], [483107.03199999966, 1100728.4342999998], [483106.6085999999, 1100736.333900001], [483117.7993999999, 1100757.2927], [483120.8345999997, 1100763.7752999999], [483126.81400000025, 1100777.1681999993], [483132.51159999985, 1100788.7805000003], [483135.9614000004, 1100787.1472999994], [483130.034, 1100775.0309999995], [483127.6805999996, 1100769.5875000004], [483122.2133999998, 1100758.3027999997], [483117.7887000004, 1100749.1094000004], [483112.93379999977, 1100739.823999999]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
1,2,0, ,090424 0002 V, ,,,,114820761,2017-01-16 17:14:49,,{05553B6B-76A8-4600-BBA1-B1E9EC04A77A},241.07681274414062,138.63145460597391,"{'rings': [[[483170.19070000015, 1100772.5201999992], [483163.2851, 1100758.0846999995], [483156.32799999975, 1100743.7160999998], [483149.78780000005, 1100729.6853999998], [483143.8054999998, 1100716.6964999996], [483142.1816999996, 1100713.0845999997], [483138.9463999998, 1100714.7492999993], [483148.01290000044, 1100734.6627999991], [483156.0164999999, 1100751.4103999995], [483164.9304999998, 1100770.2433000002], [483166.78440000024, 1100774.0801999997], [483170.19070000015, 1100772.5201999992]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
2,3,0, ,090426 0001 V, ,,,,114820761,2017-01-19 15:34:17,,{6493CE6F-B467-4E9F-AFB6-2CEF5938DEB4},389.0349426269531,143.70125306409062,"{'rings': [[[483116.8836000003, 1100565.7049000002], [483129.09300000034, 1100590.1170000006], [483131.48500000034, 1100595.3786999993], [483133.8559999997, 1100600.5754000004], [483136.3132999996, 1100605.9614000004], [483142.3986999998, 1100619.3879000004], [483143.36089999974, 1100618.8355999999], [483146.6980999997, 1100617.1958000008], [483148.0058000004, 1100616.6538999993], [483144.64439999964, 1100609.4579000007], [483142.16860000044, 1100604.1578000002], [483139.65199999977, 1100598.770300001], [483137.18400000036, 1100593.4869999997], [483134.6377999997, 1100588.0362], [483132.0022, 1100582.6755], [483129.5263, 1100577.6451999992], [483126.94689999986, 1100572.4048999995], [483124.22559999954, 1100566.8759000003], [483121.61390000023, 1100561.5699000005], [483118.85670000035, 1100555.9680000003], [483117.14460000023, 1100557.0529999994], [483116.8836000003, 1100565.7049000002]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
3,4,0, ,090426 0002 V, ,,,,114820761,2017-01-19 15:34:23,,{F507926A-D0E6-4A14-A508-454A67F025A9},518.2312316894531,182.73115536121395,"{'rings': [[[483180.0851999996, 1100601.4668000005], [483176.6010999996, 1100594.2794000003], [483174.0409000004, 1100588.9737], [483171.5104, 1100583.5229000002], [483169.1012000004, 1100578.3334], [483166.5379999997, 1100572.8122000005], [483164.2226999998, 1100567.8249999993], [483161.56909999996, 1100562.1094000004], [483159.13889999967, 1100556.8747000005], [483156.43539999984, 1100551.1597000007], [483153.87430000026, 1100545.9412999991], [483151.17650000006, 1100540.4203999992], [483148.5892000003, 1100535.1256000008], [483145.9933000002, 1100529.8129999992], [483143.2832000004, 1100524.2668999992], [483138.22059999965, 1100526.8538000006], [483140.7893000003, 1100532.3588999994], [483143.26690000016, 1100537.6688], [483145.7531000003, 1100542.9971999992], [483148.2525000004, 1100548.353599999], [483150.9928000001, 1100554.2236000001], [483153.5443000002, 1100559.6345000006], [483156.0031000003, 1100564.8489999995], [483158.56709999964, 1100570.2865999993], [483161.02880000044, 1100575.5072000008], [483163.6531999996, 1100581.0727999993], [483166.1118000001, 1100586.2869000006], [483168.6721999999, 1100591.7169000003], [483171.1314000003, 1100596.9320999999], [483174.51290000044, 1100604.1034999993], [483175.6776999999, 1100603.4781], [483178.6283999998, 1100602.0593999997], [483180.0851999996, 1100601.4668000005]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
4,5,0, ,090426 0003 V, ,,,,114820761,2017-01-19 15:34:37,,{07B3DBE9-C3C5-4E5C-9155-74250D7C55E3},470.0370788574219,160.28836805513512,"{'rings': [[[483175.07180000003, 1100522.1696000006], [483177.64609999955, 1100527.75], [483180.2103000004, 1100533.3084999993], [483182.6319000004, 1100538.5581999999], [483185.2081000004, 1100544.1426999997], [483187.67229999974, 1100549.4846], [483190.30140000023, 1100555.057], [483192.83499999996, 1100560.2959000003], [483195.46470000036, 1100565.7334000003], [483198.1003999999, 1100571.1834999993], [483200.6029000003, 1100576.3581000008], [483203.2067999998, 1100581.7423999999], [483206.6524, 1100588.8671000004], [483207.7128999997, 1100588.2526999991], [483211.2463999996, 1100586.5802999996], [483212.3969999999, 1100586.082800001], [483208.9760999996, 1100579.0045999996], [483206.3613999998, 1100573.5943], [483203.90749999974, 1100568.5168999992], [483201.2796, 1100563.079500001], [483198.61950000003, 1100557.5754000004], [483195.9271, 1100551.9990999997], [483193.449, 1100546.6907000002], [483190.9502999997, 1100541.3381999992], [483188.36620000005, 1100535.8026], [483185.9227999998, 1100530.5687000006], [483180.7134999996, 1100519.4094999991], [483175.07180000003, 1100522.1696000006]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
5,6,0, ,090426 0004 V, ,,,,114820761,2017-01-19 15:34:44,,{09AB3293-8C5C-4D5D-9BB5-41DA004F04BA},366.71917724609375,135.68351083477557,"{'rings': [[[483223.96190000046, 1100527.8221000005], [483218.14910000004, 1100515.1279000007], [483212.58779999986, 1100517.7796], [483215.03839999996, 1100522.9856000002], [483217.56010000035, 1100528.3423999995], [483220.12399999984, 1100533.7894000001], [483222.3332000002, 1100538.4824], [483222.72169999965, 1100539.3076000009], [483225.23000000045, 1100544.6363999993], [483227.8931999998, 1100550.2937000003], [483230.4458999997, 1100555.7227999996], [483232.93319999985, 1100561.0134999994], [483235.5532999998, 1100566.5866], [483238.80179999955, 1100573.4964000005], [483239.94880000036, 1100573.0012999997], [483243.26829999965, 1100571.4068], [483244.42530000024, 1100571.0694999993], [483240.9797, 1100564.0406], [483237.4638, 1100556.8676999994], [483233.7156999996, 1100549.1221999992], [483230.5334000001, 1100542.1729000006], [483227.12569999974, 1100534.7311000004], [483223.9960000003, 1100527.8962999992], [483223.96190000046, 1100527.8221000005]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
6,7,0, ,090426 0005 V, ,,,,114820761,2017-01-19 15:34:50,,{F112DE51-FE0E-401D-8D77-FD4C97EB5C6F},290.42401123046875,108.17725733724714,"{'rings': [[[483250.0965999998, 1100515.1543000005], [483253.4598000003, 1100522.3036000002], [483256.81070000026, 1100529.4266], [483260.24739999976, 1100536.7317999993], [483263.6339999996, 1100543.9308000002], [483267.1629999997, 1100551.4323999994], [483270.54870000016, 1100558.6294], [483271.7112999996, 1100558.0746], [483274.83050000016, 1100556.5859999992], [483276.10649999976, 1100555.977], [483272.48840000015, 1100548.3792000003], [483269.0537999999, 1100541.1667], [483265.77440000046, 1100534.2800999992], [483262.22780000046, 1100526.8323999997], [483258.8901000004, 1100519.8235], [483255.45139999967, 1100512.6022999994], [483250.0965999998, 1100515.1543000005]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
7,8,0, ,090425 0001 V, ,,,,114820761,2017-01-16 17:17:42,,{67E36F60-6177-47F7-ACD0-1E2CB450605D},514.1748046875,273.741371708609,"{'rings': [[[483238.08110000007, 1100737.4619999994], [483241.52469999995, 1100735.8746000007], [483184.36259999964, 1100615.7427999992], [483180.8136999998, 1100617.4546000008], [483238.08110000007, 1100737.4619999994]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
8,9,0, ,090425 0002 V, ,,,,114820761,2017-01-16 17:17:50,,{CB5F5C0E-F87A-459F-8423-78D6CB4BFBBA},236.92355346679688,128.8551334934716,"{'rings': [[[483270.6727999998, 1100722.2567999996], [483274.0937999999, 1100720.6278000008], [483247.9483000003, 1100665.9737999998], [483244.3644000003, 1100667.8472000007], [483270.6727999998, 1100722.2567999996]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
9,10,0, ,090425 0003 V, ,,,,114820761,2017-01-16 17:18:22,,{3E403A5E-771B-4F12-8155-044678D2A402},188.57073974609375,105.76936279248315,"{'rings': [[[483240.4534, 1100650.2155000009], [483219.4484000001, 1100605.8629], [483215.93010000046, 1100607.4836], [483236.95419999957, 1100651.7456999999], [483236.9545999998, 1100651.7455000002], [483240.4534, 1100650.2155000009]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
10,11,0, ,090425 0004 V, ,,,,114820761,2017-01-16 17:18:26,,{009DB751-B4D7-4557-BA3C-4066AC0C56E3},235.67153930664062,128.80837193258202,"{'rings': [[[483303.25260000024, 1100707.0241], [483306.77550000045, 1100705.3056000005], [483280.6348000001, 1100650.7445999999], [483277.1485000001, 1100652.4246999994], [483303.25260000024, 1100707.0241]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
