,OBJECTID,NOMBRE,ABREVIADO,CATEGORIA,SUBCATEGOR,PROPIETARIO,ID_DISTRITO,SHAPE
10,11,CENTRO COMERCIAL LA MARGARITA,LA MARGARITA,COMERCIAL,CENTRO COMERCIAL,PRIVADO,6,"{'rings': [[[493364.4905000003, 1096004.6239], [493388.8340999996, 1095998.5899], [493381.46470000036, 1095978.7866999991], [493363.4769000001, 1095984.2862999998], [493363.0576999998, 1095984.4145], [493359.8627000004, 1095985.2169000003], [493354.5871000001, 1095986.5415000003], [493345.7707000002, 1095988.7555], [493337.1375000002, 1095990.9233], [493336.3976999996, 1095991.109099999], [493327.5521, 1095993.3759000003], [493323.5437000003, 1095994.4031000007], [493326.4687000001, 1096013.7235000003], [493332.6074999999, 1096012.2544999998], [493342.5497000003, 1096009.8749000002], [493351.2215, 1096007.7994999997], [493359.7915000003, 1096005.7485000007], [493364.4905000003, 1096004.6239]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
11,12,MULTITIENDA SHOPPERS,SHOPPERS,COMERCIAL,CENTRO COMERCIAL,PRIVADO,5,"{'rings': [[[493287.0800999999, 1096850.023600001], [493316.51209999993, 1096828.0682999995], [493311.7478, 1096814.9507999998], [493307.98950000014, 1096804.5009000003], [493246.4464999996, 1096744.9871999994], [493209.0499, 1096781.0458000004], [493287.0800999999, 1096850.023600001]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
12,13,CENTRO COMERCIAL ZAPOTE,CENTRO COMERCIAL ZAPOTE,COMERCIAL,CENTRO COMERCIAL,PRIVADO,5,"{'rings': [[[494137.8953, 1096742.5135999992], [494137.8821999999, 1096742.4716999996], [494136.4007000001, 1096738.387], [494130.0212000003, 1096720.7975999992], [494129.7103000004, 1096719.9403000008], [494125.8738000002, 1096709.2509000003], [494125.5044999998, 1096708.2217999995], [494105.1001000004, 1096717.8467999995], [494106.73790000007, 1096721.262], [494109.60830000043, 1096719.9307000004], [494110.4550000001, 1096722.3120000008], [494122.73170000035, 1096718.0786000006], [494129.24039999954, 1096735.5941000003], [494098.86620000005, 1096743.7433000002], [494101.5120000001, 1096752.5803999994], [494137.8953, 1096742.5135999992]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
13,14,WALMART SAN SEBASTIÁN,WALLMART,COMERCIAL,SUPERMERCADO,PRIVADO,11,"{'rings': [[[490646.3755999999, 1095687.2371999994], [490730.8646999998, 1095664.8312999997], [490728.06400000025, 1095656.6623999998], [490764.9545, 1095648.1021999996], [490764.5557000004, 1095646.4743000008], [490763.4556999998, 1095641.9846], [490773.2926000003, 1095639.0189999994], [490765.1738, 1095600.1807000004], [490776.1434000004, 1095597.3800000008], [490757.66839999985, 1095527.3101000004], [490721.06209999975, 1095534.5965999998], [490723.39609999955, 1095546.9666000009], [490679.98450000025, 1095556.5358000007], [490676.01680000033, 1095541.8319000006], [490651.9770999998, 1095549.5339000002], [490655.0111999996, 1095564.7046000008], [490617.43460000027, 1095572.4067000002], [490620.00189999957, 1095584.5431999993], [490611.59970000014, 1095586.1769999992], [490631.9051000001, 1095681.6357000005], [490643.80819999985, 1095678.1348], [490646.3755999999, 1095687.2371999994]], [[490820.0535000004, 1095734.4077000003], [490803.0751, 1095664.8614000008], [490770.89520000014, 1095672.1175999995], [490788.06539999973, 1095741.1307999995], [490807.3507000003, 1095737.0957999993], [490820.0535000004, 1095734.4077000003]], [[490718.86539999954, 1095512.0253999997], [490705.13350000046, 1095511.1677], [490704.97470000014, 1095522.1215000004], [490718.2039000001, 1095522.6087999996], [490718.86539999954, 1095512.0253999997]], [[490711.46889999975, 1095755.5022999998], [490709.8814000003, 1095745.5803999994], [490697.2686999999, 1095746.8160999995], [490698.52550000045, 1095756.4071999993], [490711.46889999975, 1095755.5022999998]], [[490648.33389999997, 1095722.0059999991], [490636.4276999999, 1095722.0059999991], [490636.75040000025, 1095732.1659999993], [490648.33389999997, 1095731.5309999995], [490648.33389999997, 1095722.0059999991]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
14,15,SUPERMERCADO MÁS X MENOS ANTIGUO YAOHAN,MAS X MENOS,COMERCIAL,SUPERMERCADO,PRIVADO,2,"{'rings': [[[489265.4453999996, 1099078.2163999993], [489311.90479999967, 1099079.3704000004], [489313.6668999996, 1099008.6459], [489295.9068999998, 1099008.2059000004], [489295.83100000024, 1099011.2257000003], [489267.1467000004, 1099010.5209999997], [489266.0069000004, 1099056.1758999992], [489258.45689999964, 1099056.5259000007], [489258.4068999998, 1099058.8559000008], [489255.76690000016, 1099058.7558999993], [489255.62689999957, 1099065.4659000002], [489265.7368999999, 1099065.7159000002], [489265.4453999996, 1099078.2163999993]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
15,16,CENTRO COMERCIAL SAN JOSÉ 2000,SAN JOSÉ 2000,COMERCIAL,CENTRO COMERCIAL,PRIVADO,7,"{'rings': [[[487879.7932000002, 1100172.2645999994], [487891.0379999997, 1100152.2884999998], [487894.95079999976, 1100154.4001000002], [487898.0593999997, 1100149.0274999999], [487898.7341, 1100149.3450000007], [487904.3300999999, 1100138.9866000004], [487903.6951000001, 1100138.5897000004], [487906.9495000001, 1100133.3112000003], [487902.58380000014, 1100130.9299999997], [487910.92760000005, 1100116.1226000004], [487886.8278999999, 1100103.7440000009], [487881.7478, 1100101.1246000007], [487875.1200000001, 1100113.1103000008], [487874.8025000002, 1100112.9118000008], [487861.00540000014, 1100137.4922000002], [487854.9983999999, 1100148.1941], [487852.33939999994, 1100146.9638], [487849.1643000003, 1100147.8765999991], [487846.11649999954, 1100153.2925000004], [487846.6721999999, 1100154.6000999995], [487848.4512, 1100157.6075], [487850.60780000035, 1100160.1141999997], [487855.91449999996, 1100163.0702999998], [487857.70050000027, 1100159.9614000004], [487861.47080000024, 1100162.1443000007], [487860.8755000001, 1100163.2687], [487866.63019999955, 1100166.7744999994], [487867.2254999997, 1100165.5176999997], [487879.7932000002, 1100172.2645999994]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
16,17,SUPERMERCADO MEGA SUPER CENTRO COMERCIAL SAN JOSÉ 2000,MEGASUPER,COMERCIAL,SUPERMERCADO,PRIVADO,7,"{'rings': [[[487886.8278999999, 1100103.7440000009], [487910.92760000005, 1100116.1226000004], [487913.8551000003, 1100110.9274000004], [487920.31120000035, 1100114.5089999996], [487934.8803000003, 1100086.9011000004], [487895.6010999996, 1100086.4978], [487894.7257000003, 1100088.4245999996], [487891.8682000004, 1100088.3849], [487887.7803999996, 1100095.9651999995], [487890.36010000017, 1100097.3542999998], [487886.8278999999, 1100103.7440000009]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
17,18,SUPERMERCADO AMPM URUCA,AMPM,COMERCIAL,SUPERMERCADO,PRIVADO,7,"{'rings': [[[487214.53220000025, 1100837.9362000003], [487216.4324000003, 1100837.8848], [487219.05539999995, 1100836.0407999996], [487226.01609999966, 1100830.5931000002], [487233.8602, 1100824.6871000007], [487241.70430000033, 1100818.7811999992], [487235.5415000003, 1100800.2701999992], [487228.84389999975, 1100802.4480000008], [487212.0904000001, 1100807.8958], [487203.9146999996, 1100810.554300001], [487206.17119999975, 1100817.5031000003], [487208.0318999998, 1100823.231899999], [487210.46279999986, 1100830.7167000007], [487212.1286000004, 1100835.8456999995], [487213.199, 1100837.3698999994], [487214.53220000025, 1100837.9362000003]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
18,19,CENTRO COMERCIAL PLAZA SAN FRANCISCO,PLAZA SAN FRANCISCO,COMERCIAL,CENTRO COMERCIAL,PRIVADO,7,"{'rings': [[[493391.24399999995, 1095937.9002999999], [493389.57820000034, 1095929.3714000005], [493387.8322999999, 1095920.4192999993], [493385.82189999986, 1095920.6330999993], [493385.1375000002, 1095912.6799999997], [493384.9112999998, 1095910.0517999995], [493384.36319999956, 1095903.4272000007], [493384.0318999998, 1095899.4225999992], [493334.8448000001, 1095901.7343000006], [493335.13910000026, 1095919.4901], [493370.4584999997, 1095919.019200001], [493380.46559999976, 1095957.5173000004], [493395.56340000033, 1095952.5217000004], [493395.1398, 1095951.0877999999], [493391.24399999995, 1095937.9002999999]], [[493370.46669999976, 1095917.2314999998], [493356.84059999976, 1095917.3638000004], [493356.7110000001, 1095904.0087000001], [493370.3371000001, 1095903.8763999995], [493370.46669999976, 1095917.2314999998]], [[493375.4938000003, 1095931.6513], [493372.1292000003, 1095918.0464999992], [493381.8437999999, 1095915.6439999994], [493385.2083999999, 1095929.2488000002], [493375.4938000003, 1095931.6513]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
19,20,SUPERMERCADO AMPM SAN FRANCISCO DE DOS RÍOS,AMPM,COMERCIAL,SUPERMERCADO,PRIVADO,7,"{'rings': [[[493333.6085999999, 1095946.6860000007], [493334.55040000007, 1095957.2818], [493338.0823999997, 1095956.9286000002], [493337.84690000024, 1095960.1074], [493339.8482999997, 1095961.8734000009], [493343.1447999999, 1095961.6379000004], [493343.61569999997, 1095965.052100001], [493354.5647, 1095963.6393], [493363.04140000045, 1095952.3370999992], [493355.7419999996, 1095945.8619], [493356.4484000001, 1095945.1555000003], [493348.56039999984, 1095938.7980000004], [493347.7363, 1095939.7399000004], [493343.3803000003, 1095936.0901999995], [493336.55179999955, 1095944.2137000002], [493335.61000000034, 1095943.8605000004], [493333.6085999999, 1095946.6860000007]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
20,21,SUPERMERCADO MÁS X MENOS CUESTA DE MORAS,MÁS X MENOS,COMERCIAL,SUPERMERCADO,PRIVADO,1,"{'rings': [[[491989.2866000002, 1098444.7408000007], [491985.62320000026, 1098433.9173000008], [491983.77049999963, 1098427.8315999992], [491982.5893000001, 1098425.3303999994], [491981.0921, 1098419.9056000002], [491980.5039999997, 1098416.2608000003], [491972.47580000013, 1098417.3848], [491972.16199999955, 1098413.3839999996], [491972.15419999976, 1098413.3845000006], [491971.33719999995, 1098406.4104999993], [491970.2494000001, 1098397.1118], [491950.06960000005, 1098398.792199999], [491937.4545999998, 1098399.835000001], [491938.4308000002, 1098408.6745999996], [491939.91280000005, 1098422.0952000003], [491940.5005999999, 1098427.4532999992], [491941.2511999998, 1098434.268100001], [491942.04750000034, 1098439.4944000002], [491954.8378999997, 1098437.928200001], [491954.8602999998, 1098437.9254], [491965.4210999999, 1098436.5703999996], [491971.52219999954, 1098435.7875999995], [491971.9277999997, 1098435.7405999992], [491977.3641999997, 1098435.1105000004], [491981.77249999996, 1098447.6851000004], [491989.2866000002, 1098444.7408000007]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
21,22,SUPERMERCADO PERI DE LA GRAN VÍA,PERIMERCADO,COMERCIAL,SUPERMERCADO,PRIVADO,1,"{'rings': [[[491512.45249999966, 1098480.8577999994], [491511.2380999997, 1098461.4027999993], [491503.7379999999, 1098462.0249000005], [491496.23790000007, 1098462.6469], [491495.88960000034, 1098458.7777999993], [491495.5181999998, 1098454.6522000004], [491495.4275000002, 1098453.6454000007], [491495.04980000015, 1098449.4240000006], [491494.6612, 1098445.1029000003], [491494.00569999963, 1098437.7678999994], [491482.61980000045, 1098438.8794999998], [491484.0965999998, 1098456.4144000001], [491484.2427000003, 1098458.2208999991], [491485.4508999996, 1098472.5622000005], [491486.2681, 1098482.3127999995], [491492.56709999964, 1098481.9662999995], [491503.9274000004, 1098481.3343000002], [491512.45249999966, 1098480.8577999994]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
22,23,SUPERMERCADO AUTOMERCADO SAN JOSÉ,AUTOMERCADO,COMERCIAL,SUPERMERCADO,PRIVADO,1,"{'rings': [[[491493.5574000003, 1098678.9837999996], [491497.2599999998, 1098678.6707000006], [491497.0714999996, 1098677.5852000006], [491500.0409000004, 1098677.069599999], [491502.00569999963, 1098676.7283999994], [491505.02809999976, 1098676.2035000008], [491505.3870000001, 1098678.3476], [491514.7921000002, 1098677.2982], [491524.1972000003, 1098676.2488000002], [491521.05179999955, 1098634.5701000001], [491485.94299999997, 1098636.5351], [491487.2455000002, 1098651.3650000002], [491488.12540000025, 1098661.4345999993], [491488.68149999995, 1098667.7117999997], [491489.2229000004, 1098671.2624999993], [491489.45639999956, 1098672.8084999993], [491489.69849999994, 1098674.5671999995], [491490.3831000002, 1098678.9203999992], [491490.4336000001, 1098679.2416999992], [491493.5574000003, 1098678.9837999996]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
23,24,SUPERMERCADO AMPM SABANA NORTE,AMPM,COMERCIAL,SUPERMERCADO,PRIVADO,8,"{'rings': [[[488490.9382999996, 1098934.0207000002], [488492.92260000017, 1098946.4562], [488547.16229999997, 1098943.9426000006], [488545.97169999965, 1098931.3749000002], [488490.9382999996, 1098934.0207000002]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
24,25,SUPERMERCADO AMPM SAN JOSÉ,AMPM,COMERCIAL,SUPERMERCADO,PRIVADO,2,"{'rings': [[[491277.0762, 1098501.6182000004], [491276.6752000004, 1098494.9002], [491276.60560000036, 1098493.7422000002], [491276.17789999954, 1098486.8959999997], [491265.3081, 1098488.0513000004], [491255.04480000027, 1098489.1336000003], [491246.19460000005, 1098490.070699999], [491246.2698999997, 1098491.0391000006], [491247.5733000003, 1098505.0008000005], [491255.6051000003, 1098504.0797000006], [491277.0762, 1098501.6182000004]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
25,26,CENTRO COMERCIAL EDIFICIO ÉXITO BETANCUR,ÉXITO BETANCUR,COMERCIAL,CENTRO COMERCIAL,PRIVADO,2,"{'rings': [[[491312.55700000003, 1098805.456700001], [491313.5569000002, 1098805.3059], [491326.4269000003, 1098803.3559000008], [491349.74629999977, 1098799.8359999992], [491346.6168999998, 1098778.0058999993], [491312.4068999998, 1098782.9158999994], [491313.30680000037, 1098788.9756000005], [491302.8069000002, 1098790.5958999991], [491304.08690000046, 1098798.8258999996], [491305.2868999997, 1098806.5559], [491312.55700000003, 1098805.456700001]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
26,27,CENTRO COMERCIAL,CENTRO COMERCIAL,COMERCIAL,CENTRO COMERCIAL,PRIVADO,2,"{'rings': [[[491222.0097000003, 1098708.6607000008], [491221.8668999998, 1098707.2159000002], [491241.69689999986, 1098705.265900001], [491242.77689999994, 1098703.7259], [491241.83690000046, 1098690.8358999994], [491236.8864000002, 1098691.2993], [491228.77689999994, 1098692.0758999996], [491223.3468000004, 1098692.5946999993], [491221.70330000017, 1098692.7510000002], [491209.70689999964, 1098693.8959], [491210.6309000002, 1098710.6780999992], [491221.5477999998, 1098708.8762999997], [491222.0097000003, 1098708.6607000008]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
27,28,CENTRO COMERCIAL PLAZA DON JORGE,PLAZA DON JORGE,COMERCIAL,CENTRO COMERCIAL,PRIVADO,2,"{'rings': [[[491120.9968999997, 1098694.8358999994], [491118.96949999966, 1098670.9256999996], [491118.89690000005, 1098670.1259000003], [491117.7969000004, 1098657.0958999991], [491099.69689999986, 1098658.3358999994], [491101.6769000003, 1098697.1159000006], [491120.9968999997, 1098694.8358999994]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
28,29,SUPERMERCADO PALÍ BARRIO PITAHAYA,PALÍ,COMERCIAL,SUPERMERCADO,PRIVADO,2,"{'rings': [[[490076.7586000003, 1098615.2657999992], [490076.0508000003, 1098606.6883000005], [490074.5329, 1098587.9052000009], [490074.46300000045, 1098586.8071999997], [490045.3252999997, 1098589.7071000002], [490046.2542000003, 1098598.5577000007], [490047.10649999976, 1098606.4278999995], [490047.6330000004, 1098611.6988999993], [490048.28720000014, 1098617.992900001], [490048.6699000001, 1098621.6373999994], [490058.8372999998, 1098620.5368000008], [490059.05289999954, 1098622.2827000003], [490065.56850000005, 1098621.5845999997], [490065.50549999997, 1098620.137], [490072.4994999999, 1098619.3246999998], [490077.04899999965, 1098618.7842999995], [490076.7586000003, 1098615.2657999992]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
29,30,CENTRO COMERCIAL CONDOMINIO LAS AMÉRICAS,COND. LAS AMÉRICAS,COMERCIAL,CENTRO COMERCIAL,PRIVADO,3,"{'rings': [[[491086.81620000023, 1098357.179300001], [491085.98319999967, 1098348.9968999997], [491083.5588999996, 1098349.2984999996], [491083.0669999998, 1098343.4901], [491076.1531999996, 1098344.3315999992], [491076.0673000002, 1098343.8465999998], [491085.35759999976, 1098342.7602999993], [491084.94209999964, 1098338.6181000005], [491084.9307000004, 1098338.6193000004], [491084.21719999984, 1098330.3959], [491082.44689999986, 1098310.1269000005], [491082.44600000046, 1098310.1170000006], [491080.95320000034, 1098293.0116000008], [491060.9116000002, 1098295.6195999999], [491065.3979000002, 1098327.8991], [491067.21300000045, 1098340.8767000008], [491067.51719999965, 1098344.039999999], [491071.0548999999, 1098343.5322999991], [491071.2536000004, 1098344.9173000008], [491064.8995000003, 1098345.7017], [491068.08889999986, 1098371.5109], [491086.0575000001, 1098369.3911000006], [491084.76099999994, 1098357.4276], [491086.81620000023, 1098357.179300001]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
30,31,SUPERMERCADO PALÍ BARRIO LOS ÁNGELES,PALÍ,COMERCIAL,SUPERMERCADO,PRIVADO,3,"{'rings': [[[490970.0853000004, 1098035.8918999992], [490970.4779000003, 1098031.8034000006], [490963.0526999999, 1098031.3212000001], [490963.04030000046, 1098031.3203999996], [490963.21050000004, 1098023.3596], [490962.3213999998, 1098023.3376000002], [490959.9042999996, 1098023.2523999996], [490957.25659999996, 1098023.2236000001], [490957.43649999984, 1098019.9159999993], [490957.88599999994, 1098019.9220000003], [490957.9064999996, 1098015.5571999997], [490957.40759999957, 1098015.5463999994], [490957.40380000044, 1098015.5462999996], [490946.4286000002, 1098015.3312], [490941.7037000004, 1098015.2441000007], [490941.7006999999, 1098015.2440000009], [490941.72279999964, 1098014.0481000002], [490936.82100000046, 1098013.9699000008], [490937.9434000002, 1098039.0286999997], [490944.4172, 1098039.2299000006], [490959.6928000003, 1098039.7212000005], [490960.0724999998, 1098039.7377000004], [490969.53809999954, 1098041.6597000007], [490970.0853000004, 1098035.8918999992]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
31,32,SUPERMERCADO SUPERFÁCIL,SUPERFÁCIL,COMERCIAL,SUPERMERCADO,PRIVADO,3,"{'rings': [[[490851.09049999993, 1098014.2712999992], [490877.9451000001, 1098013.1333000008], [490876.1644000001, 1097991.3351000007], [490850.95749999955, 1097991.5698000006], [490850.1595999999, 1097992.9498999994], [490851.09049999993, 1098014.2712999992]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
32,33,SUPERMERCADO 24/7 AVENIDA SEGUNDA,SUPER 24/7,COMERCIAL,SUPERMERCADO,PRIVADO,3,"{'rings': [[[490890.2408999996, 1098448.0544000007], [490889.21160000004, 1098440.2533999998], [490888.4187000003, 1098434.2979000006], [490886.67140000034, 1098421.0701000001], [490877.64159999974, 1098422.0804999992], [490879.94909999985, 1098437.6004000008], [490881.47020000033, 1098447.8839999996], [490885.06340000033, 1098447.6217999998], [490885.30790000036, 1098448.5826999992], [490885.3119000001, 1098448.5983000007], [490890.2408999996, 1098448.0544000007]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
33,34,SUPERMERCADO PLAZA MERCADOS LA MERCED,PLAZA LA MERCED,COMERCIAL,SUPERMERCADO,PRIVADO,3,"{'rings': [[[490841.65299999993, 1098167.7875999995], [490841.26219999976, 1098162.1324000005], [490822.4582000002, 1098165.5592], [490820.0684000002, 1098165.9947999995], [490800.84389999975, 1098167.4297000002], [490801.7082000002, 1098177.9788000006], [490802.3585999999, 1098182.3243000004], [490802.3886000002, 1098183.3451000005], [490804.1528000003, 1098183.2402], [490842.59499999974, 1098181.4188], [490841.65299999993, 1098167.7875999995]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
34,35,SUPERMERCADO LOS ÁNGELES,SUPER LOS ÁNGELES,COMERCIAL,SUPERMERCADO,PRIVADO,3,"{'rings': [[[490791.61560000014, 1097704.0857999995], [490791.4522000002, 1097695.9474], [490784.9293999998, 1097696.477], [490778.2260999996, 1097696.7759000007], [490755.4771999996, 1097698.2098999992], [490755.76219999976, 1097706.7470999993], [490755.9837999996, 1097713.386499999], [490771.0639000004, 1097714.3589999992], [490777.3898, 1097714.7711999994], [490785.1168999998, 1097714.4017999992], [490791.81539999973, 1097714.0417], [490791.63630000036, 1097705.2642], [490791.6392000001, 1097705.2640000004], [490791.61560000014, 1097704.0857999995]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
35,36,SUPERMERCADO PALÍ BARRIO CUBA,PALÍ,COMERCIAL,SUPERMERCADO,PRIVADO,3,"{'rings': [[[489913.1255000001, 1097236.6586000007], [489911.6858999999, 1097233.0042000003], [489907.0027999999, 1097234.9886000007], [489892.08029999956, 1097241.2591999993], [489893.5451999996, 1097245.7261999995], [489897.3616000004, 1097257.3641], [489917.8772, 1097248.7204999998], [489913.1255000001, 1097236.6586000007]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
36,37,CENTRO COMERCIAL GALERÍA CENTRAL,GALERÍA CENTRAL,COMERCIAL,CENTRO COMERCIAL,PRIVADO,4,"{'rings': [[[491636.2281999998, 1098323.2656999994], [491642.0493000001, 1098367.5562999994], [491646.4464999996, 1098367.0248000007], [491646.4464999996, 1098368.7676], [491650.53479999956, 1098368.1097999997], [491660.23060000036, 1098366.5494999997], [491659.9441999998, 1098365.1173], [491659.8304000003, 1098365.0523000006], [491659.01970000006, 1098355.5448000003], [491650.6178000001, 1098356.5030000005], [491648.9963999996, 1098347.2903000005], [491646.1146, 1098347.668299999], [491644.5005999999, 1098347.8798999991], [491640.9439000003, 1098322.6653000005], [491636.2281999998, 1098323.2656999994]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
37,38,SUPERMERCADO PALÍ BARRIO GONZÁLEZ VÍQUEZ,PALÍ,COMERCIAL,SUPERMERCADO,PRIVADO,4,"{'rings': [[[491716.7187999999, 1097716.0704999994], [491716.4053999996, 1097713.1356000006], [491715.20749999955, 1097705.1097999997], [491709.33210000023, 1097705.8643999994], [491673.13609999977, 1097709.5428999998], [491670.5999999996, 1097709.8005999997], [491670.4923999999, 1097709.8114999998], [491670.62150000036, 1097710.8852999993], [491671.8936999999, 1097721.4673999995], [491716.7187999999, 1097716.0704999994]], [[491695.5703999996, 1097708.875], [491698.4840000002, 1097708.6668999996], [491699.10840000026, 1097713.7656999994], [491696.0906999996, 1097714.2860000003], [491695.5703999996, 1097708.875]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
38,39,SUPERMERCADO PALÍ PLAZA GONZÁLEZ VÍQUEZ  SUR,PALÍ,COMERCIAL,SUPERMERCADO,PRIVADO,4,"{'rings': [[[491827.56039999984, 1097238.6404], [491826.6319000004, 1097228.5956999995], [491820.2335000001, 1097229.2830999997], [491820.8914000001, 1097235.7802000009], [491813.48979999963, 1097236.0269000009], [491813.65419999976, 1097240.0567000005], [491813.4923999999, 1097240.069599999], [491813.6774000004, 1097240.2545999996], [491815.38570000045, 1097257.9995000008], [491817.3195000002, 1097278.0852000006], [491831.1183000002, 1097277.1298999991], [491829.44049999956, 1097258.9792], [491828.81159999967, 1097252.1757999994], [491828.4587000003, 1097248.3575], [491827.56039999984, 1097238.6404]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
39,40,CENTRO COMERCIAL TERRAZA,CENTRO COMERCIAL TERRAZA,COMERCIAL,CENTRO COMERCIAL,PRIVADO,4,"{'rings': [[[492280.87590000033, 1096575.8802000005], [492270.14609999955, 1096570.2036000006], [492261.20940000005, 1096565.4756000005], [492250.3048999999, 1096559.7065999992], [492250.22080000024, 1096559.7148000002], [492250.40419999976, 1096559.8058000002], [492246.4343999997, 1096567.4476999994], [492254.0762, 1096571.1196999997], [492249.6102, 1096582.7314], [492232.9321999997, 1096576.7135000005], [492229.99010000005, 1096582.6818000004], [492229.2137000002, 1096582.4247999992], [492229.33299999963, 1096582.6818000004], [492267.6891000001, 1096597.0975000001], [492269.6972000003, 1096597.8521999996], [492280.87590000033, 1096575.8802000005]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
40,41,SUPERMERCADO PALÍ ZAPOTE,PALÍ,COMERCIAL,SUPERMERCADO,PRIVADO,5,"{'rings': [[[492552.4642000003, 1097004.5744000003], [492553.5724999998, 1097009.4480000008], [492552.07579999976, 1097009.7473000009], [492554.5454000002, 1097019.9996000007], [492555.96719999984, 1097019.4758000001], [492557.38910000026, 1097025.4625000004], [492553.7400000002, 1097026.3454], [492554.24480000045, 1097028.1053], [492585.02300000004, 1097019.5034999996], [492585.1138000004, 1097019.4755000006], [492591.6434000004, 1097017.458900001], [492586.48390000034, 1096997.1816000007], [492577.5064000003, 1096999.1325000003], [492552.4642000003, 1097004.5744000003]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
41,42,CENTRO COMERCIAL PASEO DEL PARQUE,PASEO DEL PARQUE,COMERCIAL,CENTRO COMERCIAL,PRIVADO,5,"{'rings': [[[493163.36560000014, 1096860.7153999992], [493169.4117999999, 1096859.8111000005], [493168.5645000003, 1096860.7213000003], [493169.62480000034, 1096861.9417000003], [493176.4769000001, 1096864.0022999998], [493184.5192999998, 1096852.7391], [493183.62909999955, 1096849.9382000007], [493180.89829999954, 1096847.237400001], [493181.6785000004, 1096846.2671000008], [493150.1294, 1096817.0782999992], [493152.88019999955, 1096814.1675000004], [493148.4689999996, 1096809.9861999992], [493145.6381000001, 1096812.9770999998], [493127.3230999997, 1096796.4286000002], [493115.80929999985, 1096808.9356999993], [493116.20940000005, 1096817.7883000001], [493130.1562000001, 1096831.3347999994], [493128.7132000001, 1096833.0364999995], [493132.4940999998, 1096836.5538999997], [493134.3646, 1096834.6133999992], [493163.36560000014, 1096860.7153999992]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
42,43,SUPERMERCADO MEGASUPER SAN FRANCISCO DE DOS RÍOS,MEGASUPER,COMERCIAL,SUPERMERCADO,PRIVADO,6,"{'rings': [[[493161.7142000003, 1095992.8263000008], [493162.5027999999, 1095971.2800999992], [493162.7717000004, 1095963.9332999997], [493163.18429999985, 1095952.6592999995], [493163.3602999998, 1095947.8504000008], [493163.10610000044, 1095947.862400001], [493156.9631000003, 1095948.1523000002], [493144.4353, 1095948.7127], [493144.42899999954, 1095949.5075000003], [493144.43599999975, 1095956.2155000009], [493144.4467000002, 1095966.4389999993], [493144.25179999974, 1095982.4712000005], [493144.21860000025, 1095986.0880999994], [493144.15500000026, 1095993.018100001], [493156.9227999998, 1095993.0899999999], [493161.7142000003, 1095992.8263000008]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
43,44,SUPERMERCADO PALÍ SAN FRANCISCO DE DOS RÍOS,PALÍ,COMERCIAL,SUPERMERCADO,PRIVADO,6,"{'rings': [[[493931.6205000002, 1095621.791099999], [493939.9863, 1095653.3972999994], [493944.1704000002, 1095669.4022000004], [493944.58829999994, 1095671.0008000005], [493967.4992000004, 1095664.3781000003], [493956.15199999977, 1095622.4508999996], [493960.5828, 1095621.3175000008], [493958.3276000004, 1095613.8465999998], [493931.6205000002, 1095621.791099999]]], 'spatialReference': {'wkid': 102305, 'latestWkid': 5367}}"
